numActiveSessions:vector baselineTestQoS.hostFDO[24].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[24].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[24].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[24].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[24].tcp.conn-1916 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[24].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[24].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080249368,51,0.080249368,800,0.1671032112,0.086853843200000002,0.1672347472,1452,0.1672347472,0.044650549599999991
0,1,0.080249368,47,0.1671032112,47,,,,,0.2475117912,1452,0.2475117912,0.124927593599999997
0.1672347472,0,0.080249744,847,0.1672347472,1499,,,,,0.445997592,1452,0.445997592,0.323413394399999941
,,0.1672347472,47,0.2475117912,1499,,,,,0.858212349022,1452,0.858212349022,0.735628151421999995
,,0.1672351232,47,0.445997592,1499,,,,,1.257932269022,1452,1.257932269022,1.135348071421999888
,,0.2475117912,47,0.8455819552,47,,,,,1.657732269022,1452,1.657732269022,1.535148071421999821
,,0.445997592,47,0.858212349022,1499,,,,,2.057397924222,1452,2.057397924222,1.934813726622000012
,,0.858212349022,47,1.257932269022,1499,,,,,2.457191145022,1452,2.457191145022,2.33460694742199947
,,1.257932269022,47,1.657732269022,1499,,,,,2.85685342458,1452,2.85685342458,2.734269226979999512
,,1.657732269022,47,2.057397924222,1499,,,,,3.25667685578,1452,3.25667685578,3.134092658180000142
,,2.057397924222,47,2.457191145022,1499,,,,,3.65638759898,1452,3.65638759898,3.53380340138000014
,,2.457191145022,47,2.85685342458,1499,,,,,4.056050122925,1452,4.056050122925,3.933465925324999707
,,2.85685342458,47,3.25667685578,1499,,,,,4.4558926384,1452,4.4558926384,4.333308440799999755
,,3.25667685578,47,3.65638759898,1499,,,,,4.85558376,1452,4.85558376,4.73299956239999984
,,3.65638759898,47,4.056050122925,1499,,,,,,,,
,,4.056050122925,47,4.4558926384,1499,,,,,,,,
,,4.4558926384,47,4.85558376,1499,,,,,,,,
,,4.85558376,47,,,,,,,,,,
