numActiveSessions:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostVID[2].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[2].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostVID[2].tcp.conn-2594 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostVID[2].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,372,0,360,1,0,1,51,1.080024968,51,1.1602960104,0.080271042399999991,1.1604275464,0.040337428799999991
1,1,,,,,,,,,,,1.080024968,47,1.1602960104,47,,,1.2406664304,0.120576312800000001
,,,,,,,,,,,,1.080025344,247,1.1604275464,1499,,,1.996474109022,0.87638399142199996
,,,,,,,,,,,,1.1604275464,47,1.2406664304,1499,,,3.195694029022,2.075603911422000175
,,,,,,,,,,,,1.2406664304,47,1.996474109022,1499,,,4.394859542844,3.27476942524400004
,,,,,,,,,,,,1.996474109022,47,3.195694029022,1499,,,,
,,,,,,,,,,,,3.195694029022,47,4.394859542844,1499,,,,
,,,,,,,,,,,,4.394859542844,47,,,,,,
