numActiveSessions:vector baselineTestQoS.hostFDO[72].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[72].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[72].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[72].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[72].tcp.conn-1964 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[72].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[72].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080445208,51,0.080445208,800,0.1730398512,0.092594643199999992,0.1731713872,1452,0.1731713872,0.047154229599999999
0,1,0.080445208,47,0.1730398512,47,,,,,0.2533916312,1452,0.2533916312,0.127374473599999981
0.1731713872,0,0.080445584,847,0.1731713872,1499,,,,,0.451877432,1452,0.451877432,0.325860274399999981
,,0.1731713872,47,0.2533916312,1499,,,,,0.864208349022,1452,0.864208349022,0.738191191421999844
,,0.1731717632,47,0.451877432,1499,,,,,1.263920349022,1452,1.263920349022,1.137903191421999688
,,0.2533916312,47,0.851484014613,47,,,,,1.663714349022,1452,1.663714349022,1.537697191421999668
,,0.451877432,47,0.864208349022,1499,,,,,2.063411924222,1452,2.063411924222,1.937394766621999932
,,0.864208349022,47,1.263920349022,1499,,,,,2.463079225022,1452,2.463079225022,2.337062067421999945
,,1.263920349022,47,1.663714349022,1499,,,,,2.86284150458,1452,2.86284150458,2.736824346979999752
,,1.663714349022,47,2.063411924222,1499,,,,,3.26257093578,1452,3.26257093578,3.13655377817999968
,,2.063411924222,47,2.463079225022,1499,,,,,3.66238167898,1452,3.66238167898,3.536364521379999445
,,2.463079225022,47,2.86284150458,1499,,,,,4.062044202925,1452,4.062044202925,3.936027045324999905
,,2.86284150458,47,3.26257093578,1499,,,,,4.4617867184,1452,4.4617867184,4.335769560799999295
,,3.26257093578,47,3.66238167898,1499,,,,,4.86152104,1452,4.86152104,4.73550388239999973
,,3.66238167898,47,4.062044202925,1499,,,,,,,,
,,4.062044202925,47,4.4617867184,1499,,,,,,,,
,,4.4617867184,47,4.86152104,1499,,,,,,,,
,,4.86152104,47,,,,,,,,,,
