numActiveSessions:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[114].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[114].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[114].tcp.conn-1876 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[114].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,109,0,240,0,0,0,51,0.0886436176,51,0.0886436176,0.088643617600000001,0.614706493022,0.526062875422000029,0.614938029022,0.410032668222000017
0,1,,,,,,,,,,,0.0886436176,47,0.614706493022,47,,,,,1.5704538872,1.365548526400000012
,,,,,,,,,,,,0.0886439936,247,0.614938029022,1499,,,,,1.575773153022,1.370867792222000051
,,,,,,,,,,,,0.614938029022,47,1.5704538872,1499,,,,,3.510709235644,3.30580387484399994
,,,,,,,,,,,,1.5704538872,47,1.575773153022,1499,,,,,3.516088605822,3.311183245021999775
,,,,,,,,,,,,1.575773153022,47,3.510709235644,1499,,,,,3.5214033696,3.3164980088
,,,,,,,,,,,,3.510709235644,47,3.516088605822,1499,,,,,3.526757235222,3.321851874421999345
,,,,,,,,,,,,3.516088605822,47,3.5214033696,1499,,,,,,
,,,,,,,,,,,,3.5214033696,47,3.526757235222,1499,,,,,,
,,,,,,,,,,,,3.526757235222,47,,,,,,,,
