numActiveSessions:vector baselineTestQoS.hostSSH[91].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[91].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[91].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[91].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[91].tcp.conn-2067 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[91].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[91].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080865448,51,1.080865448,40,1.1652148104,0.084349362399999988,1.1652220904,40,1.1652220904,0.04379314079999999
0,1,0.080865448,47,1.1652148104,47,1.130865448,40,1.2454348944,0.080220083999999996,1.2454421744,40,1.2454421744,0.040212478400000001
,,1.080865448,87,1.1652220904,87,1.180865448,40,1.3257491456,0.080314251199999991,1.3257599456,80,1.3257599456,0.0400189336
,,1.1652148104,87,1.2454348944,47,1.230865448,40,1.4057657648,0.080016619199999999,1.4057730448,40,1.3257599456,0.0400189336
,,1.1652220904,47,1.2454421744,87,1.280865448,40,1.485799056,0.080033291199999994,1.485809856,80,1.4057730448,0.040012213599999998
,,1.2454348944,127,1.3257491456,47,1.330865448,40,1.5658288272,0.080029771199999988,1.5658396272,80,1.485809856,0.0400189336
,,1.2454421744,47,1.3257599456,127,1.380865448,40,1.6458454464,0.080016619199999999,1.6458527264,40,1.485809856,0.0400189336
,,1.3257491456,87,1.4057657648,47,1.430865448,40,1.729104376,0.083258929600000003,1.7291546,528,1.5658396272,0.0400189336
,,1.3257599456,47,1.4057730448,87,1.480865448,40,2.8091748496,0.080020249599999981,2.8091821296,40,1.5658396272,0.0400189336
,,1.4057657648,127,1.485799056,47,1.530865448,40,2.8891978688,0.080023019199999989,2.8892051488,40,1.6458527264,0.040012213599999998
,,1.4057730448,47,1.485809856,127,1.580865448,40,2.96922412,0.080026251199999981,2.96923492,80,1.7291546,0.043297467999999991
,,1.485799056,127,1.5658288272,47,2.7291546,40,3.0492471392,0.080023019199999989,3.0492544192,40,2.8091821296,0.040011723200000001
,,1.485809856,47,1.5658396272,127,2.7791546,40,3.1292769104,0.080029771199999988,3.1292877104,80,2.8892051488,0.040015413599999993
,,1.5658288272,87,1.6458454464,47,2.8291546,40,3.2093066816,0.080029771199999988,3.2093174816,80,2.96923492,0.0400189336
,,1.5658396272,47,1.6458527264,87,2.8791546,40,3.2893297008,0.080023019199999989,3.2893369808,40,2.96923492,0.0400189336
,,1.6458454464,87,1.729104376,47,2.9291546,40,3.3695404552,0.0802107544,3.3695906792,528,3.0492544192,0.040018613600000002
,,1.6458527264,47,1.7291546,575,2.9791546,40,4.449613768,0.080023088800000002,4.449621048,40,3.1292877104,0.04002533359999999
,,1.7291546,47,2.8091748496,47,3.0291546,40,4.5296367872,0.080023019199999989,4.5296440672,40,3.1292877104,0.04002533359999999
,,2.7291546,87,2.8091821296,87,3.0791546,40,4.6096662384,0.080029451199999989,4.6096770384,80,3.2093174816,0.04002533359999999
,,2.8091748496,87,2.8891978688,47,3.1291546,40,4.6896860576,0.08001981919999998,4.6898893376,40,3.2093174816,0.04002533359999999
,,2.8091821296,47,2.8892051488,87,3.1791546,40,4.7697190288,0.080032971199999996,4.7699309488,80,3.2893369808,0.040018613600000002
,,2.8891978688,127,2.96922412,47,3.2291546,40,4.8497488,0.080029771199999988,4.84996072,80,3.3695906792,0.040249292800000002
,,2.8892051488,47,2.96923492,127,4.3695906792,40,4.9297686192,0.08001981919999998,4.9299834192,40,4.449621048,0.040015483199999993
,,2.96922412,87,3.0492471392,47,4.4195906792,40,,,,,4.5296440672,0.040015413599999993
,,2.96923492,47,3.0492544192,87,4.4695906792,40,,,,,4.6096770384,0.0400189336
,,3.0492471392,127,3.1292769104,47,4.5195906792,40,,,,,4.6096770384,0.0400189336
,,3.0492544192,47,3.1292877104,127,4.5695906792,40,,,,,4.6898893376,0.04021461359999999
,,3.1292769104,127,3.2093066816,47,4.6195906792,40,,,,,4.7699309488,0.040226453600000003
