numActiveSessions:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[102].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[102].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[102].tcp.conn-1864 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[102].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,127,0,240,0,0,0,51,0.0863946576,51,0.0863946576,0.086394657599999979,0.548428568,0.462033910399999967,0.548660104,0.356278832799999943
0,1,,,,,,,,,,,0.0863946576,47,0.548428568,47,,,,,1.4419079104,1.24952663919999995
,,,,,,,,,,,,0.0863950336,247,0.548660104,1499,,,,,1.4473190024,1.254937731200000067
,,,,,,,,,,,,0.548660104,47,1.4419079104,1499,,,,,3.25391269578,3.061531424580000037
,,,,,,,,,,,,1.4419079104,47,1.4473190024,1499,,,,,3.25931509578,3.066933824579999507
,,,,,,,,,,,,1.4473190024,47,3.25391269578,1499,,,,,3.26445344618,3.07207217497999972
,,,,,,,,,,,,3.25391269578,47,3.25931509578,1499,,,,,3.269793782844,3.077412511643999857
,,,,,,,,,,,,3.25931509578,47,3.26445344618,1499,,,,,,
,,,,,,,,,,,,3.26445344618,47,3.269793782844,1499,,,,,,
,,,,,,,,,,,,3.269793782844,47,,,,,,,,
