numActiveSessions:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[108].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[108].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[108].tcp.conn-1870 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[108].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,111,0,240,0,0,0,51,0.0875191376,51,0.0875191376,0.08751913759999999,0.5815671512,0.494048013599999944,0.5817986872,0.383176296000000025
0,1,,,,,,,,,,,0.0875191376,47,0.5815671512,47,,,,,1.506154921822,1.307532530621999806
,,,,,,,,,,,,0.0875195136,247,0.5817986872,1499,,,,,1.511562063422,1.312939672221999913
,,,,,,,,,,,,0.5817986872,47,1.506154921822,1499,,,,,3.382300018622,3.183677627421999987
,,,,,,,,,,,,1.506154921822,47,1.511562063422,1499,,,,,3.387624754622,3.189002363421999482
,,,,,,,,,,,,1.511562063422,47,3.382300018622,1499,,,,,3.392969572444,3.194347181243999842
,,,,,,,,,,,,3.382300018622,47,3.387624754622,1499,,,,,3.398451789022,3.199829397821999582
,,,,,,,,,,,,3.387624754622,47,3.392969572444,1499,,,,,,
,,,,,,,,,,,,3.392969572444,47,3.398451789022,1499,,,,,,
,,,,,,,,,,,,3.398451789022,47,,,,,,,,
