numActiveSessions:vector baselineTestQoS.hostSSH[37].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[37].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[37].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[37].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[37].tcp.conn-2013 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[37].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[37].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080645128,51,1.080645128,40,1.1646359304,0.08399080239999998,1.1646432104,40,1.1646432104,0.043590100800000003
0,1,0.080645128,47,1.1646359304,47,1.130645128,40,1.2448560144,0.080220083999999996,1.2448632944,40,1.2448632944,0.040212478400000001
,,1.080645128,87,1.1646432104,87,1.180645128,40,1.3249974656,0.08014145119999999,1.3250082656,80,1.3250082656,0.0400189336
,,1.1646359304,87,1.2448560144,47,1.230645128,40,1.4050204848,0.080023019199999989,1.4050277648,40,1.3250082656,0.0400189336
,,1.1646432104,47,1.2448632944,87,1.280645128,40,1.485047376,0.080026891200000005,1.485058176,80,1.4050277648,0.040018613600000002
,,1.2448560144,127,1.3249974656,47,1.330645128,40,1.5650771472,0.080029771199999988,1.5650879472,80,1.485058176,0.0400189336
,,1.2448632944,47,1.3250082656,127,1.380645128,40,1.6451001664,0.080023019199999989,1.6451074464,40,1.485058176,0.0400189336
,,1.3249974656,87,1.4050204848,47,1.430645128,40,1.726417336,0.081317169599999988,1.72646756,528,1.5650879472,0.0400189336
,,1.3250082656,47,1.4050277648,87,1.480645128,40,2.8065296888,0.080062128799999992,2.8065369688,40,1.5650879472,0.0400189336
,,1.4050204848,127,1.485047376,47,1.530645128,40,2.886552708,0.080023019199999989,2.886559988,40,1.6451074464,0.040018613600000002
,,1.4050277648,47,1.485058176,127,1.580645128,40,2.9665789592,0.080026251199999981,2.9665897592,80,1.72646756,0.04135570799999999
