numActiveSessions:vector baselineTestQoS.hostFDO[18].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[18].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[18].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[18].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[18].tcp.conn-1910 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[18].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[18].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080224888,51,0.080224888,800,0.1663611312,0.086136243199999989,0.1664926672,1452,0.1664926672,0.04433758959999999
0,1,0.080224888,47,0.1663611312,47,,,,,0.2467922712,1452,0.2467922712,0.1246371936
0.1664926672,0,0.080225264,847,0.1664926672,1499,,,,,0.445278072,1452,0.445278072,0.323122994399999917
,,0.1664926672,47,0.2467922712,1499,,,,,0.857492829022,1452,0.857492829022,0.73533775142199986
,,0.1664930432,47,0.445278072,1499,,,,,1.257212749022,1452,1.257212749022,1.135057671421999976
,,0.2467922712,47,0.8448593952,47,,,,,1.657012749022,1452,1.657012749022,1.534857671421999907
,,0.445278072,47,0.857492829022,1499,,,,,2.056678404222,1452,2.056678404222,1.934523326622000097
,,0.857492829022,47,1.257212749022,1499,,,,,2.456371625022,1452,2.456371625022,2.334216547421999785
,,1.257212749022,47,1.657012749022,1499,,,,,2.85613390458,1452,2.85613390458,2.7339788269799996
,,1.657012749022,47,2.056678404222,1499,,,,,3.25595133578,1452,3.25595133578,3.133796258179999392
,,2.056678404222,47,2.456371625022,1499,,,,,3.65566807898,1452,3.65566807898,3.53351300137999934
,,2.456371625022,47,2.85613390458,1499,,,,,4.055330602925,1452,4.055330602925,3.933175525324999795
,,2.85613390458,47,3.25595133578,1499,,,,,4.4551731184,1452,4.4551731184,4.333018040799998957
,,3.25595133578,47,3.65566807898,1499,,,,,4.85486424,1452,4.85486424,4.732709162399999045
,,3.65566807898,47,4.055330602925,1499,,,,,,,,
,,4.055330602925,47,4.4551731184,1499,,,,,,,,
,,4.4551731184,47,4.85486424,1499,,,,,,,,
,,4.85486424,47,,,,,,,,,,
