numActiveSessions:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[101].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[101].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[101].tcp.conn-1863 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[101].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,92,0,240,0,0,0,51,0.0861905776,51,0.0861905776,0.086190577599999984,0.542870319685,0.45667974208499995,0.543201855685,0.351944104485000018
0,1,,,,,,,,,,,0.0861905776,47,0.542870319685,47,,,,,1.431223179422,1.239965428221999838
,,,,,,,,,,,,0.0861909536,247,0.543201855685,1499,,,,,1.436573153022,1.24531540182199984
,,,,,,,,,,,,0.543201855685,47,1.431223179422,1499,,,,,3.232393003644,3.041135252443999607
,,,,,,,,,,,,1.431223179422,47,1.436573153022,1499,,,,,3.237752166844,3.04649441564400013
,,,,,,,,,,,,1.436573153022,47,3.232393003644,1499,,,,,3.2431140216,3.051856270400000057
,,,,,,,,,,,,3.232393003644,47,3.237752166844,1499,,,,,3.2484656648,3.05720791360000009
,,,,,,,,,,,,3.237752166844,47,3.2431140216,1499,,,,,,
,,,,,,,,,,,,3.2431140216,47,3.2484656648,1499,,,,,,
,,,,,,,,,,,,3.2484656648,47,,,,,,,,
