numActiveSessions:vector baselineTestQoS.hostSSH[41].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[41].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[41].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[41].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[41].tcp.conn-2017 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[41].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[41].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080661448,51,1.080661448,40,1.1646788104,0.084017362399999989,1.1646860904,40,1.1646860904,0.043605140799999997
0,1,0.080661448,47,1.1646788104,47,1.130661448,40,1.2448988944,0.080220083999999996,1.2449061744,40,1.2449061744,0.040212478400000001
,,1.080661448,87,1.1646860904,87,1.180661448,40,1.3250531456,0.080154251199999998,1.3250639456,80,1.3250639456,0.0400189336
,,1.1646788104,87,1.2448988944,47,1.230661448,40,1.4050761648,0.080023019199999989,1.4050834448,40,1.3250639456,0.0400189336
,,1.1646860904,47,1.2449061744,87,1.280661448,40,1.485103056,0.080026891200000005,1.485113856,80,1.4050834448,0.040018613600000002
,,1.2448988944,127,1.3250531456,47,1.330661448,40,1.5651328272,0.080029771199999988,1.5651436272,80,1.485113856,0.0400189336
,,1.2449061744,47,1.3250639456,127,1.380661448,40,1.6451558464,0.080023019199999989,1.6451631264,40,1.485113856,0.0400189336
,,1.3250531456,87,1.4050761648,47,1.430661448,40,1.726616376,0.081460529599999997,1.7266666,528,1.5651436272,0.0400189336
,,1.3250639456,47,1.4050834448,87,1.480661448,40,2.8067287288,0.080062128799999992,2.8067360088,40,1.5651436272,0.0400189336
,,1.4050761648,127,1.485103056,47,1.530661448,40,2.886751748,0.080023019199999989,2.886759028,40,1.6451631264,0.040018613600000002
,,1.4050834448,47,1.485113856,127,1.580661448,40,2.9667779992,0.080026251199999981,2.9667887992,80,1.7266666,0.041499068
,,1.485103056,127,1.5651328272,47,2.7266666,40,3.0468010184,0.080023019199999989,3.0468082984,40,2.8067360088,0.040011723200000001
,,1.485113856,47,1.5651436272,127,2.7766666,40,3.1268307896,0.080029771199999988,3.1268415896,80,2.886759028,0.040015413599999993
,,1.5651328272,87,1.6451558464,47,2.8266666,40,3.2068605608,0.080029771199999988,3.2068713608,80,2.9667887992,0.0400189336
,,1.5651436272,47,1.6451631264,87,2.8766666,40,3.28688358,0.080023019199999989,3.28689086,40,2.9667887992,0.0400189336
,,1.6451558464,87,1.726616376,47,2.9266666,40,3.3670524552,0.080168875199999988,3.3671026792,528,3.0468082984,0.040018613600000002
,,1.6451631264,47,1.7266666,575,2.9766666,40,4.447164808,0.080062128799999992,4.447172088,40,3.1268415896,0.04002533359999999
,,1.7266666,47,2.8067287288,47,3.0266666,40,4.5271878272,0.080023019199999989,4.5271951072,40,3.1268415896,0.04002533359999999
,,2.7266666,87,2.8067360088,87,3.0766666,40,4.6072140784,0.080026251199999981,4.6072248784,80,3.2068713608,0.04002533359999999
,,2.8067287288,87,2.886751748,47,3.1266666,40,4.6872406176,0.080026539199999996,4.6872478976,40,3.2068713608,0.04002533359999999
,,2.8067360088,47,2.886759028,87,3.1766666,40,4.7672668688,0.080026251199999981,4.7672776688,80,3.28689086,0.040018613600000002
,,2.886751748,127,2.9667779992,47,3.2266666,40,4.84729664,0.080029771199999988,4.84730744,80,3.3671026792,0.040207413599999991
,,2.886759028,47,2.9667887992,127,4.3671026792,40,4.9273231792,0.080026539199999996,4.9273304592,40,4.447172088,0.040011723200000001
,,2.9667779992,87,3.0468010184,47,4.4171026792,40,,,,,4.5271951072,0.040015413599999993
,,2.9667887992,47,3.0468082984,87,4.4671026792,40,,,,,4.6072248784,0.0400189336
,,3.0468010184,127,3.1268307896,47,4.5171026792,40,,,,,4.6072248784,0.0400189336
,,3.0468082984,47,3.1268415896,127,4.5671026792,40,,,,,4.6872478976,0.040015413599999993
,,3.1268307896,127,3.2068605608,47,4.6171026792,40,,,,,4.7672776688,0.0400189336
,,3.1268415896,47,3.2068713608,127,4.6671026792,40,,,,,4.7672776688,0.0400189336
,,3.2068605608,87,3.28688358,47,4.7171026792,40,,,,,4.84730744,0.0400189336
,,3.2068713608,47,3.28689086,87,4.7671026792,40,,,,,4.84730744,0.0400189336
,,3.28688358,87,3.3670524552,47,4.8171026792,40,,,,,4.9273304592,0.040015413599999993
,,3.28689086,47,3.3671026792,575,4.8671026792,40,,,,,,
,,3.3671026792,47,4.447164808,47,,,,,,,,
,,4.3671026792,87,4.447172088,87,,,,,,,,
,,4.447164808,87,4.5271878272,47,,,,,,,,
,,4.447172088,47,4.5271951072,87,,,,,,,,
,,4.5271878272,127,4.6072140784,47,,,,,,,,
,,4.5271951072,47,4.6072248784,127,,,,,,,,
,,4.6072140784,87,4.6872406176,47,,,,,,,,
,,4.6072248784,47,4.6872478976,87,,,,,,,,
,,4.6872406176,127,4.7672668688,47,,,,,,,,
,,4.6872478976,47,4.7672776688,127,,,,,,,,
,,4.7672668688,127,4.84729664,47,,,,,,,,
,,4.7672776688,47,4.84730744,127,,,,,,,,
,,4.84729664,87,4.9273231792,47,,,,,,,,
,,4.84730744,47,4.9273304592,87,,,,,,,,
,,4.9273231792,87,,,,,,,,,,
,,4.9273304592,47,,,,,,,,,,
