numActiveSessions:vector baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[9].tcp.conn-1985 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080530888,51,1.080530888,40,1.1643357704,0.083804882400000002,1.1643430504,40,1.1643430504,0.04348482079999999
0,1,0.080530888,47,1.1643357704,47,1.130530888,40,1.2445558544,0.080220083999999996,1.2445631344,40,1.2445631344,0.040212478400000001
,,1.080530888,87,1.1643430504,87,1.180530888,40,1.3246077056,0.080051851199999995,1.3246185056,80,1.3246185056,0.0400189336
,,1.1643357704,87,1.2445558544,47,1.230530888,40,1.4046307248,0.080023019199999989,1.4046380048,40,1.3246185056,0.0400189336
,,1.1643430504,47,1.2445631344,87,1.280530888,40,1.484657616,0.080026891200000005,1.484668416,80,1.4046380048,0.040018613600000002
,,1.2445558544,127,1.3246077056,47,1.330530888,40,1.5646873872,0.080029771199999988,1.5646981872,80,1.484668416,0.0400189336
,,1.2445631344,47,1.3246185056,127,1.380530888,40,1.6447104064,0.080023019199999989,1.6447176864,40,1.484668416,0.0400189336
,,1.3246077056,87,1.4046307248,47,1.430530888,40,1.725024056,0.08031364959999998,1.72507428,528,1.5646981872,0.0400189336
,,1.3246185056,47,1.4046380048,87,1.480530888,40,2.8051364088,0.080062128799999992,2.8051436888,40,1.5646981872,0.0400189336
,,1.4046307248,127,1.484657616,47,1.530530888,40,2.885159428,0.080023019199999989,2.885166708,40,1.6447176864,0.040018613600000002
,,1.4046380048,47,1.484668416,127,1.580530888,40,2.9651856792,0.080026251199999981,2.9651964792,80,1.72507428,0.040352187999999996
,,1.484657616,127,1.5646873872,47,2.72507428,40,3.0452086984,0.080023019199999989,3.0452159784,40,2.8051436888,0.040011723200000001
,,1.484668416,47,1.5646981872,127,2.77507428,40,3.1252765496,0.080067851199999983,3.1252873496,80,2.885166708,0.040015413599999993
,,1.5646873872,87,1.6447104064,47,2.82507428,40,3.2053033768,0.080026827199999983,3.2053141768,80,2.9651964792,0.0400189336
,,1.5646981872,47,1.6447176864,87,2.87507428,40,3.285319996,0.080016619199999999,3.285327276,40,2.9651964792,0.0400189336
,,1.6447104064,87,1.725024056,47,2.92507428,40,3.3654601352,0.080140139199999987,3.3655103592,528,3.0452159784,0.040018613600000002
,,1.6447176864,47,1.72507428,575,2.97507428,40,4.445572488,0.080062128799999992,4.445579768,40,3.1252873496,0.0400634136
,,1.72507428,47,2.8051364088,47,3.02507428,40,4.5255955072,0.080023019199999989,4.5256027872,40,3.1252873496,0.0400634136
,,2.72507428,87,2.8051436888,87,3.07507428,40,4.6056217584,0.080026251199999981,4.6056325584,80,3.2053141768,0.04002533359999999
,,2.8051364088,87,2.885159428,47,3.12507428,40,4.6856482976,0.080026539199999996,4.6856555776,40,3.2053141768,0.04002533359999999
,,2.8051436888,47,2.885166708,87,3.17507428,40,4.7656745488,0.080026251199999981,4.7656853488,80,3.285327276,0.040012213599999998
,,2.885159428,127,2.9651856792,47,3.22507428,40,4.84570432,0.080029771199999988,4.84571512,80,3.3655103592,0.040178677599999989
,,2.885166708,47,2.9651964792,127,4.3655103592,40,4.9257308592,0.080026539199999996,4.9257381392,40,4.445579768,0.040011723200000001
,,2.9651856792,87,3.0452086984,47,4.4155103592,40,,,,,4.5256027872,0.040015413599999993
,,2.9651964792,47,3.0452159784,87,4.4655103592,40,,,,,4.6056325584,0.0400189336
,,3.0452086984,127,3.1252765496,47,4.5155103592,40,,,,,4.6056325584,0.0400189336
,,3.0452159784,47,3.1252873496,127,4.5655103592,40,,,,,4.6856555776,0.040015413599999993
,,3.1252765496,127,3.2053033768,47,4.6155103592,40,,,,,4.7656853488,0.0400189336
,,3.1252873496,47,3.2053141768,127,4.6655103592,40,,,,,4.7656853488,0.0400189336
,,3.2053033768,87,3.285319996,47,4.7155103592,40,,,,,4.84571512,0.0400189336
,,3.2053141768,47,3.285327276,87,4.7655103592,40,,,,,4.84571512,0.0400189336
,,3.285319996,87,3.3654601352,47,4.8155103592,40,,,,,4.9257381392,0.040015413599999993
,,3.285327276,47,3.3655103592,575,4.8655103592,40,,,,,,
,,3.3655103592,47,4.445572488,47,,,,,,,,
,,4.3655103592,87,4.445579768,87,,,,,,,,
,,4.445572488,87,4.5255955072,47,,,,,,,,
,,4.445579768,47,4.5256027872,87,,,,,,,,
,,4.5255955072,127,4.6056217584,47,,,,,,,,
,,4.5256027872,47,4.6056325584,127,,,,,,,,
,,4.6056217584,87,4.6856482976,47,,,,,,,,
,,4.6056325584,47,4.6856555776,87,,,,,,,,
,,4.6856482976,127,4.7656745488,47,,,,,,,,
,,4.6856555776,47,4.7656853488,127,,,,,,,,
,,4.7656745488,127,4.84570432,47,,,,,,,,
,,4.7656853488,47,4.84571512,127,,,,,,,,
,,4.84570432,87,4.9257308592,47,,,,,,,,
,,4.84571512,47,4.9257381392,87,,,,,,,,
,,4.9257308592,87,,,,,,,,,,
,,4.9257381392,47,,,,,,,,,,
