numActiveSessions:vector baselineTestQoS.hostSSH[13].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[13].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[13].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[13].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[13].tcp.conn-1989 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[13].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[13].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080547208,51,1.080547208,40,1.1643786504,0.083831442399999983,1.1643859304,40,1.1643859304,0.043499860799999997
0,1,0.080547208,47,1.1643786504,47,1.130547208,40,1.2445987344,0.080220083999999996,1.2446060144,40,1.2446060144,0.040212478400000001
,,1.080547208,87,1.1643859304,87,1.180547208,40,1.3246633856,0.080064651200000002,1.3246741856,80,1.3246741856,0.0400189336
,,1.1643786504,87,1.2445987344,47,1.230547208,40,1.4046864048,0.080023019199999989,1.4046936848,40,1.3246741856,0.0400189336
,,1.1643859304,47,1.2446060144,87,1.280547208,40,1.484713296,0.080026891200000005,1.484724096,80,1.4046936848,0.040018613600000002
,,1.2445987344,127,1.3246633856,47,1.330547208,40,1.5647430672,0.080029771199999988,1.5647538672,80,1.484724096,0.0400189336
,,1.2446060144,47,1.3246741856,127,1.380547208,40,1.6447660864,0.080023019199999989,1.6447733664,40,1.484724096,0.0400189336
,,1.3246633856,87,1.4046864048,47,1.430547208,40,1.725223096,0.080457009599999989,1.72527332,528,1.5647538672,0.0400189336
,,1.3246741856,47,1.4046936848,87,1.480547208,40,2.8053354488,0.080062128799999992,2.8053427288,40,1.5647538672,0.0400189336
,,1.4046864048,127,1.484713296,47,1.530547208,40,2.885358468,0.080023019199999989,2.885365748,40,1.6447733664,0.040018613600000002
,,1.4046936848,47,1.484724096,127,1.580547208,40,2.9653847192,0.080026251199999981,2.9653955192,80,1.72527332,0.040495547999999992
,,1.484713296,127,1.5647430672,47,2.72527332,40,3.0454077384,0.080023019199999989,3.0454150184,40,2.8053427288,0.040011723200000001
,,1.484724096,47,1.5647538672,127,2.77527332,40,3.1254375096,0.080029771199999988,3.1254483096,80,2.885365748,0.040015413599999993
,,1.5647430672,87,1.6447660864,47,2.82527332,40,3.2055770408,0.080139531200000002,3.2055878408,80,2.9653955192,0.0400189336
,,1.5647538672,47,1.6447733664,87,2.87527332,40,3.285597436,0.080020395199999982,3.285604716,40,2.9653955192,0.0400189336
,,1.6447660864,87,1.725223096,47,2.92527332,40,3.3656591752,0.080061739199999981,3.3657093992,528,3.0454150184,0.040018613600000002
,,1.6447733664,47,1.72527332,575,2.97527332,40,4.445771528,0.080062128799999992,4.445778808,40,3.1254483096,0.04002533359999999
,,1.72527332,47,2.8053354488,47,3.02527332,40,4.5257945472,0.080023019199999989,4.5258018272,40,3.1254483096,0.04002533359999999
,,2.72527332,87,2.8053427288,87,3.07527332,40,4.6058207984,0.080026251199999981,4.6058315984,80,3.2055878408,0.04013509359999999
,,2.8053354488,87,2.885358468,47,3.12527332,40,4.6858473376,0.080026539199999996,4.6858546176,40,3.2055878408,0.04013509359999999
,,2.8053427288,47,2.885365748,87,3.17527332,40,4.7658735888,0.080026251199999981,4.7658843888,80,3.285604716,0.040018613600000002
,,2.885358468,127,2.9653847192,47,3.22527332,40,4.84590272,0.080029131199999991,4.84591352,80,3.3657093992,0.040100277599999997
,,2.885365748,47,2.9653955192,127,4.3657093992,40,4.9259191632,0.080016443199999981,4.9259362192,40,4.445778808,0.040011723200000001
,,2.9653847192,87,3.0454077384,47,4.4157093992,40,,,,,4.5258018272,0.040015413599999993
,,2.9653955192,47,3.0454150184,87,4.4657093992,40,,,,,4.6058315984,0.0400189336
,,3.0454077384,127,3.1254375096,47,4.5157093992,40,,,,,4.6058315984,0.0400189336
,,3.0454150184,47,3.1254483096,127,4.5657093992,40,,,,,4.6858546176,0.040015413599999993
