txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0.000779788,51,0.08077518,51
0.000783868,51,0.08077926,51
0.000787948,51,0.08078334,51
0.000792028,51,0.08078742,51
0.000796108,51,0.0807915,51
0.000800188,51,0.08079558,51
0.000804268,51,0.08079966,51
0.000808348,51,0.08080374,51
0.000812428,51,0.08080782,51
0.000816508,51,0.0808119,51
0.000820588,51,0.08081598,51
0.000824668,51,0.08082006,51
0.000828748,51,0.08082414,51
0.000832828,51,0.08082822,51
0.000836908,51,0.0808323,51
0.000840988,51,0.08083638,51
0.000845068,51,0.08084046,51
0.000849148,51,0.08084454,51
0.000853228,51,0.08084862,51
0.000857308,51,0.0808527,51
0.000861388,51,0.08085678,51
0.000865468,51,0.08086086,51
0.000869548,51,0.08086494,51
0.000873628,51,0.08086902,51
0.000877708,51,0.0808731,51
0.000881788,51,0.08087718,51
0.000885868,51,0.08088126,51
0.000889948,51,0.08088534,51
0.000894028,51,0.08088942,51
0.000898108,51,0.0808935,51
0.000902188,51,0.08089758,51
0.000906268,51,0.08090166,51
0.000910348,51,0.08090574,51
0.000914428,51,0.08090982,51
0.000918508,51,0.0809139,51
0.000922588,51,0.08091798,51
0.000926668,51,0.08092206,51
0.000930748,51,0.08092614,51
0.000934828,51,0.08093022,51
0.000938908,51,0.0809343,51
0.000942988,51,0.08093838,51
0.000947068,51,0.08094246,51
0.000951148,51,0.08094654,51
0.000955228,51,0.08095062,51
0.000959308,51,0.0809547,51
0.000963388,51,0.08095878,51
0.000967468,51,0.08096286,51
0.000971548,51,0.08096694,51
0.000975628,51,0.08097102,51
0.000979708,51,0.0809751,51
0.000983788,51,0.08097918,51
0.000987868,51,0.08098326,51
0.000991948,51,0.08098734,51
0.000996028,51,0.08099142,51
0.001000108,51,0.0809955,51
0.001004188,51,0.08099958,51
0.001008268,51,0.08100366,51
0.001012348,51,0.08100774,51
0.001016428,51,0.08101182,51
0.001020508,51,0.0810159,51
0.001024588,51,0.08101998,51
0.001028668,51,0.08102406,51
0.001032748,51,0.08102814,51
0.001036828,51,0.08103222,51
0.001040908,51,0.0810363,51
0.001044988,51,0.08104038,51
0.001049068,51,0.08104446,51
0.001053148,51,0.08104854,51
0.001057228,51,0.08105262,51
0.001061308,51,0.0810567,51
0.001065388,51,0.08106078,51
0.001069468,51,0.08106486,51
0.001073548,51,0.08106894,51
0.001077628,51,0.08107302,51
0.001081708,51,0.0810771,51
0.001085788,51,0.08108118,51
0.001089868,51,0.08108526,51
0.001093948,51,0.08108934,51
0.001098028,51,0.08109342,51
0.001102108,51,0.0810975,51
0.001106188,51,0.08110158,51
0.001110268,51,0.08110566,51
0.001114348,51,0.08110974,51
0.001118428,51,0.08111382,51
0.001122508,51,0.0811179,51
0.001126588,51,0.08112198,51
0.001130668,51,0.08112606,51
0.001134748,51,0.08113014,51
0.001138828,51,0.08113422,51
0.001142908,51,0.0811383,51
0.001146988,51,0.08114238,51
0.001151068,51,0.08114646,51
0.001155148,51,0.08115054,51
0.001159228,51,0.08115462,51
0.001163308,51,0.0811587,51
0.001167388,51,0.08116278,51
0.001171468,51,0.08116686,51
0.001375548,51,0.08117094,51
0.001579628,51,0.08117502,51
0.001783708,51,0.0811791,51
0.001887788,51,0.08118318,51
0.002091868,51,0.08118726,51
0.002295948,51,0.0814839896,51
0.002500028,51,0.0816880696,51
0.002704108,51,0.0818921496,51
0.002808188,51,0.0819962296,51
0.003012268,51,0.0822003096,51
0.003216348,51,0.0824043896,51
0.003420428,51,0.0826084696,51
0.003524508,51,0.0828125496,51
0.003728588,51,0.0829166296,51
0.003932668,51,0.0831207096,51
0.004136748,51,0.0833247896,51
0.004340828,51,0.0835288696,51
0.004444908,51,0.0836329496,51
0.004648988,51,0.0838370296,51
0.004853068,51,0.0840411096,51
0.005057148,51,0.0842451896,51
0.005161228,51,0.0844492696,51
0.005365308,51,0.0845533496,51
0.005569388,51,0.0847574296,51
0.005773468,51,0.0849615096,51
0.005977548,51,0.0851655896,51
0.006081628,51,0.0852696696,51
0.006285708,51,0.0854737496,51
0.006489788,51,0.0856778296,51
0.006693868,51,0.0858819096,51
0.006797948,51,0.0860859896,51
0.007002028,51,0.0861900696,51
0.007206108,51,0.0863941496,51
0.007410188,51,0.0865982296,51
0.007614268,51,0.0868023096,51
0.007718348,51,0.0869063896,51
0.007922428,51,0.0871104696,51
0.008126508,51,0.0873145496,51
0.008330588,51,0.0875186296,51
0.008534668,51,0.0877227096,51
0.008638748,51,0.0878267896,51
0.008842828,51,0.0880308696,51
0.009046908,51,0.0882349496,51
0.009250988,51,0.0884390296,51
0.009355068,51,0.0886431096,51
0.009559148,51,0.0887471896,51
0.009763228,51,0.0889512696,51
0.009967308,51,0.0891553496,51
0.010171388,51,0.0893594296,51
0.010275468,51,0.0894635096,51
0.010479548,51,0.0896675896,51
0.010683628,51,0.0898716696,51
0.010887708,51,0.0900757496,51
0.010991788,51,0.0902798296,51
0.011195868,51,0.0903839096,51
0.011399948,51,0.0905879896,51
0.011604028,51,0.0907920696,51
0.011808108,51,0.0909961496,51
0.011912188,51,0.0911002296,51
0.012116268,51,0.0913043096,51
0.012320348,51,0.0915083896,51
0.012524428,51,0.0917124696,51
0.012628508,51,0.0919165496,51
0.012832588,51,0.0920206296,51
0.013036668,51,0.0922247096,51
0.013240748,51,0.0924287896,51
0.013444828,51,0.0926328696,51
0.013548908,51,0.0927369496,51
0.013752988,51,0.0929410296,51
0.013957068,51,0.0931451096,51
0.014161148,51,0.0933491896,51
0.014365228,51,0.0935532696,51
0.014469308,51,0.0936573496,51
0.014673388,51,0.0938614296,51
0.014877468,51,0.0940655096,51
0.015081548,51,0.0942695896,51
0.015185628,51,0.0944736696,51
0.015389708,51,0.0945777496,51
0.015593788,51,0.0947818296,51
0.015797868,51,0.0949859096,51
0.016001948,51,0.0951899896,51
0.016106028,51,0.0952940696,51
0.016310108,51,0.0954981496,51
0.016514188,51,0.0957022296,51
0.016718268,51,0.0959063096,51
0.016822348,51,0.0961103896,51
0.017026428,51,0.0962144696,51
0.017230508,51,0.0964185496,51
0.017434588,51,0.0966226296,51
0.017638668,51,0.0968267096,51
0.017742748,51,0.0969307896,51
0.017946828,51,0.0971348696,51
0.018150908,51,0.0973389496,51
0.018354988,51,0.0975430296,51
0.018459068,51,0.0977471096,51
0.018663148,51,0.0978511896,51
0.018867228,51,0.0980552696,51
0.019071308,51,0.0982593496,51
0.019275388,51,0.0984634296,51
0.019379468,51,0.0985675096,51
0.019583548,51,0.0987715896,51
0.019787628,51,0.0989756696,51
0.019991708,51,0.0991797496,51
0.020095788,51,0.0993838296,51
0.020299868,51,0.0994879096,51
0.020503948,51,0.0996919896,51
0.020708028,51,0.0998960696,51
0.020912108,51,0.10000424,51
0.021016188,51,0.10001024,75
0.021220268,51,0.10001624,75
0.021424348,51,0.1002042296,51
0.021628428,51,0.1004083096,51
0.021832508,51,0.1006123896,51
0.021936588,51,0.1008164696,51
0.022140668,51,0.1010205496,51
0.022344748,51,0.1011246296,51
0.022548828,51,0.1013287096,51
0.022652908,51,0.1015327896,51
0.022856988,51,0.1017368696,51
0.023061068,51,0.1019409496,51
0.023265148,51,0.1020450296,51
0.023469228,51,0.1022491096,51
0.023573308,51,0.1024531896,51
0.023777388,51,0.1026572696,51
0.023981468,51,0.1027613496,51
0.024185548,51,0.1029654296,51
0.024289628,51,0.1031695096,51
0.08001926,47,0.1033735896,51
0.08002302,247,0.1035776696,51
0.08004278,47,0.1036817496,51
0.08004654,247,0.1038858296,51
0.0800663,47,0.1040899096,51
0.08007006,247,0.1042939896,51
0.08008982,47,0.1043980696,51
0.08009358,247,0.12000622,75
0.08011334,47,0.12001222,75
0.0801171,247,0.14000622,75
0.08013686,47,0.14001222,75
0.08014062,247,0.1600492152,75
0.08016038,47,0.1600529752,47
0.08016414,247,0.1601728952,1499
0.0801839,47,0.1601766552,47
0.08018766,247,0.1602965752,1499
0.08020742,47,0.1603003352,47
0.08021118,247,0.1604202552,1499
0.08023094,47,0.1604240152,47
0.0802347,247,0.1605439352,1499
0.08025446,47,0.1605476952,47
0.08025822,247,0.1606676152,1499
0.08027798,47,0.1606713752,47
0.08028174,247,0.1607912952,1499
0.0803015,47,0.1607950552,47
0.08030526,247,0.1609149752,1499
0.08032502,47,0.1609187352,47
0.08032878,247,0.1610386552,1499
0.08034854,47,0.1610424152,47
0.0803523,247,0.1611623352,1499
0.08037206,47,0.1611660952,47
0.08037582,247,0.1612860152,1499
0.08039558,47,0.1612897752,47
0.08039934,247,0.1614096952,1499
0.0804191,47,0.1614134552,47
0.08042286,247,0.1615333752,1499
0.08044262,47,0.1615371352,47
0.08044638,247,0.1616570552,1499
0.08046614,47,0.1616608152,47
0.0804699,247,0.1617807352,1499
0.08048966,47,0.1617844952,47
0.08049342,247,0.1619044152,1499
0.08051318,47,0.1619081752,47
0.08051694,247,0.1620280952,1499
0.0805367,47,0.1620318552,47
0.08054046,247,0.1621517752,1499
0.08056022,47,0.1621555352,47
0.08056398,247,0.1622754552,1499
0.08058374,47,0.1622792152,47
0.0805875,247,0.1623991352,1499
0.08060726,47,0.1624028952,47
0.08061102,247,0.1625228152,1499
0.08063078,47,0.1625265752,47
0.08063454,247,0.1626464952,1499
0.0806543,47,0.1626502552,47
0.08065806,247,0.1627701752,1499
0.08067782,47,0.1627739352,47
0.08068158,247,0.1628938552,1499
0.08070134,47,0.1628976152,47
0.0807051,247,0.1630175352,1499
0.08072486,47,0.1630212952,47
0.08072862,247,0.1631412152,1499
0.08074838,47,0.1631449752,47
0.08075214,247,0.1632648952,1499
0.0807719,47,0.1632686552,47
0.08077566,247,0.1633885752,1499
0.08079542,47,0.1633923352,47
0.08079918,847,0.1635122552,1499
0.08086694,47,0.1635160152,47
