numActiveSessions:vector baselineTestQoS.hostSSH[115].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[115].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[115].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[115].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[115].tcp.conn-2091 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[115].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[115].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080963368,51,1.080963368,40,1.1654720904,0.084508722399999985,1.1654793704,40,1.1654793704,0.043883380799999996
0,1,0.080963368,47,1.1654720904,47,1.130963368,40,1.2456921744,0.080220083999999996,1.2456994544,40,1.2456994544,0.040212478400000001
,,1.080963368,87,1.1654793704,87,1.180963368,40,1.3260832256,0.080391051199999979,1.3260940256,80,1.3260940256,0.0400189336
,,1.1654720904,87,1.2456921744,47,1.230963368,40,1.4060998448,0.080016619199999999,1.4061071248,40,1.3260940256,0.0400189336
,,1.1654793704,47,1.2456994544,87,1.280963368,40,1.486133136,0.080033291199999994,1.486143936,80,1.4061071248,0.040012213599999998
,,1.2456921744,127,1.3260832256,47,1.330963368,40,1.5661629072,0.080029771199999988,1.5661737072,80,1.486143936,0.0400189336
,,1.2456994544,47,1.3260940256,127,1.380963368,40,1.6461795264,0.080016619199999999,1.6461868064,40,1.486143936,0.0400189336
,,1.3260832256,87,1.4060998448,47,1.430963368,40,1.730298616,0.084119089600000001,1.73034884,528,1.5661737072,0.0400189336
,,1.3260940256,47,1.4061071248,87,1.480963368,40,2.8103719288,0.080023088800000002,2.8103792088,40,1.5661737072,0.0400189336
,,1.4060998448,127,1.486133136,47,1.530963368,40,2.890394948,0.080023019199999989,2.890402228,40,1.6461868064,0.040012213599999998
,,1.4061071248,47,1.486143936,127,1.580963368,40,2.9704243992,0.080029451199999989,2.9704351992,80,1.73034884,0.04415762799999999
,,1.486133136,127,1.5661629072,47,2.73034884,40,3.0504442184,0.08001981919999998,3.0505295784,40,2.8103792088,0.040015483199999993
,,1.486143936,47,1.5661737072,127,2.78034884,40,3.1304771896,0.080032971199999996,3.1306079096,80,2.890402228,0.040015413599999993
