numActiveSessions:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[119].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[119].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[119].tcp.conn-1881 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,106,0,240,0,0,0,51,0.0894640176,51,0.0894640176,0.0894640176,0.642302224,0.552838206399999918,0.64253376,0.43232594319999995
0,1,,,,,,,,,,,0.0894640176,47,0.642302224,47,,,,,1.623911345535,1.413703528734999707
,,,,,,,,,,,,0.0894643936,247,0.64253376,1499,,,,,1.6293031424,1.419095325599999837
,,,,,,,,,,,,0.64253376,47,1.623911345535,1499,,,,,3.61776934458,3.407561527779999532
,,,,,,,,,,,,1.623911345535,47,1.6293031424,1499,,,,,3.623215471422,3.413007654621999607
,,,,,,,,,,,,1.6293031424,47,3.61776934458,1499,,,,,3.628540207422,3.41833239062199999
,,,,,,,,,,,,3.61776934458,47,3.623215471422,1499,,,,,3.633885025244,3.423677208443999462
,,,,,,,,,,,,3.623215471422,47,3.628540207422,1499,,,,,,
,,,,,,,,,,,,3.628540207422,47,3.633885025244,1499,,,,,,
,,,,,,,,,,,,3.633885025244,47,,,,,,,,
