numActiveSessions:vector baselineTestQoS.hostSSH[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[8].tcp.conn-1984 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080526808,51,1.080526808,40,1.1643250504,0.0837982424,1.1643323304,40,1.1643323304,0.043481060799999998
0,1,0.080526808,47,1.1643250504,47,1.130526808,40,1.2445451344,0.080220083999999996,1.2445524144,40,1.2445524144,0.040212478400000001
,,1.080526808,87,1.1643323304,87,1.180526808,40,1.3245937856,0.080048651199999986,1.3246045856,80,1.3246045856,0.0400189336
,,1.1643250504,87,1.2445451344,47,1.230526808,40,1.4046072048,0.08001341919999999,1.4046272848,40,1.3246045856,0.0400189336
,,1.1643323304,47,1.2445524144,87,1.280526808,40,1.484643696,0.080036491200000003,1.484654496,80,1.4046272848,0.040025013599999992
,,1.2445451344,127,1.3245937856,47,1.330526808,40,1.5646734672,0.080029771199999988,1.5646842672,80,1.484654496,0.0400189336
,,1.2445524144,47,1.3246045856,127,1.380526808,40,1.6446868864,0.08001341919999999,1.6447069664,40,1.484654496,0.0400189336
,,1.3245937856,87,1.4046072048,47,1.430526808,40,1.724974296,0.080287409599999997,1.72502452,528,1.5646842672,0.0400189336
,,1.3246045856,47,1.4046272848,87,1.480526808,40,2.8050476088,0.080023088800000002,2.8050548888,40,1.5646842672,0.0400189336
,,1.4046072048,127,1.484643696,47,1.530526808,40,2.885070628,0.080023019199999989,2.885077908,40,1.6447069664,0.040025013599999992
,,1.4046272848,47,1.484654496,127,1.580526808,40,2.9651000792,0.080029451199999989,2.9651108792,80,1.72502452,0.040325948
,,1.484643696,127,1.5646734672,47,2.72502452,40,3.0451198984,0.08001981919999998,3.0452052584,40,2.8050548888,0.040015483199999993
,,1.484654496,47,1.5646842672,127,2.77502452,40,3.1252626296,0.080142731199999983,3.1252734296,80,2.885077908,0.040015413599999993
,,1.5646734672,87,1.6446868864,47,2.82502452,40,3.2052894568,0.080026827199999983,3.2053002568,80,2.9651108792,0.0400189336
,,1.5646842672,47,1.6447069664,87,2.87502452,40,3.285309276,0.08001981919999998,3.285316556,40,2.9651108792,0.0400189336
,,1.6446868864,87,1.724974296,47,2.92502452,40,3.3654103752,0.080101099199999997,3.3654605992,528,3.0452052584,0.040096693599999996
,,1.6447069664,47,1.72502452,575,2.97502452,40,4.445483688,0.080023088800000002,4.445490968,40,3.1252734296,0.04013509359999999
,,1.72502452,47,2.8050476088,47,3.02502452,40,4.5255067072,0.080023019199999989,4.5255139872,40,3.1252734296,0.04013509359999999
,,2.72502452,87,2.8050548888,87,3.07502452,40,4.6055361584,0.080029451199999989,4.6055469584,80,3.2053002568,0.04002533359999999
,,2.8050476088,87,2.885070628,47,3.12502452,40,4.6855594976,0.080023339199999987,4.6855667776,40,3.2053002568,0.04002533359999999
,,2.8050548888,47,2.885077908,87,3.17502452,40,4.7655889488,0.080029451199999989,4.7655997488,80,3.285316556,0.040018613600000002
,,2.885070628,127,2.9651000792,47,3.22502452,40,4.84561872,0.080029771199999988,4.84562952,80,3.3654605992,0.040139637599999999
,,2.885077908,47,2.9651108792,127,4.3654605992,40,4.9256420592,0.080023339199999987,4.9256493392,40,4.445490968,0.040015483199999993
,,2.9651000792,87,3.0451198984,47,4.4154605992,40,,,,,4.5255139872,0.040015413599999993
,,2.9651108792,47,3.0452052584,87,4.4654605992,40,,,,,4.6055469584,0.0400189336
,,3.0451198984,127,3.1252626296,47,4.5154605992,40,,,,,4.6055469584,0.0400189336
,,3.0452052584,47,3.1252734296,127,4.5654605992,40,,,,,4.6855667776,0.040015413599999993
,,3.1252626296,127,3.2052894568,47,4.6154605992,40,,,,,4.7655997488,0.0400189336
,,3.1252734296,47,3.2053002568,127,4.6654605992,40,,,,,4.7655997488,0.0400189336
,,3.2052894568,87,3.285309276,47,4.7154605992,40,,,,,4.84562952,0.0400189336
,,3.2053002568,47,3.285316556,87,4.7654605992,40,,,,,4.84562952,0.0400189336
,,3.285309276,87,3.3654103752,47,4.8154605992,40,,,,,4.9256493392,0.040015413599999993
,,3.285316556,47,3.3654605992,575,4.8654605992,40,,,,,,
,,3.3654605992,47,4.445483688,47,,,,,,,,
,,4.3654605992,87,4.445490968,87,,,,,,,,
,,4.445483688,87,4.5255067072,47,,,,,,,,
,,4.445490968,47,4.5255139872,87,,,,,,,,
,,4.5255067072,127,4.6055361584,47,,,,,,,,
,,4.5255139872,47,4.6055469584,127,,,,,,,,
