numActiveSessions:vector baselineTestQoS.hostSSH[134].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[134].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[134].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[134].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[134].tcp.conn-2110 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[134].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[134].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.0924292976,51,1.0924292976,40,2.525610813822,1.433181516222000068,2.525818093822,40,2.525818093822,1.393280870621999672
0,1,0.0924292976,47,2.525610813822,47,1.1424292976,40,4.630974343222,2.105363529399999925,4.631256247222,888,4.631256247222,2.065505539800000171
,,1.0924292976,87,2.525818093822,87,1.1924292976,40,,,,,4.631256247222,2.065505539800000171
,,2.525610813822,447,4.630974343222,47,1.2424292976,40,,,,,4.631256247222,2.065505539800000171
,,2.525818093822,47,4.631256247222,935,1.2924292976,40,,,,,4.631256247222,2.065505539800000171
,,4.631256247222,47,,,1.3424292976,40,,,,,4.631256247222,2.065505539800000171
,,,,,,1.3924292976,40,,,,,4.631256247222,2.065505539800000171
,,,,,,1.4424292976,40,,,,,4.631256247222,2.065505539800000171
,,,,,,1.4924292976,40,,,,,4.631256247222,2.065505539800000171
,,,,,,1.5424292976,40,,,,,4.631256247222,2.065505539800000171
,,,,,,1.5924292976,40,,,,,4.631256247222,2.065505539800000171
