numActiveSessions:vector baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[6].tcp.conn-1982 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080518648,51,1.080518648,40,1.1643036104,0.083784962399999995,1.1643108904,40,1.1643108904,0.043473540800000001
0,1,0.080518648,47,1.1643036104,47,1.130518648,40,1.2445236944,0.080220083999999996,1.2445309744,40,1.2445309744,0.040212478400000001
,,1.080518648,87,1.1643108904,87,1.180518648,40,1.3245659456,0.080042251199999997,1.3245767456,80,1.3245767456,0.0400189336
,,1.1643036104,87,1.2445236944,47,1.230518648,40,1.4045857648,0.08001981919999998,1.4045930448,40,1.3245767456,0.0400189336
,,1.1643108904,47,1.2445309744,87,1.280518648,40,1.484615856,0.080030091199999986,1.484626656,80,1.4045930448,0.040018613600000002
,,1.2445236944,127,1.3245659456,47,1.330518648,40,1.5646456272,0.080029771199999988,1.5646564272,80,1.484626656,0.0400189336
,,1.2445309744,47,1.3245767456,127,1.380518648,40,1.6446654464,0.08001981919999998,1.6446727264,40,1.484626656,0.0400189336
,,1.3245659456,87,1.4045857648,47,1.430518648,40,1.724874776,0.080209329599999989,1.724925,528,1.5646564272,0.0400189336
,,1.3245767456,47,1.4045930448,87,1.480518648,40,2.8049480888,0.080023088800000002,2.8049553688,40,1.5646564272,0.0400189336
,,1.4045857648,127,1.484615856,47,1.530518648,40,2.884971108,0.080023019199999989,2.884978388,40,1.6446727264,0.040018613600000002
,,1.4045930448,47,1.484626656,127,1.580518648,40,2.9650005592,0.080029451199999989,2.9650113592,80,1.724925,0.040247867999999992
,,1.484615856,127,1.5646456272,47,2.724925,40,3.0450203784,0.08001981919999998,3.0451057384,40,2.8049553688,0.040015483199999993
,,1.484626656,47,1.5646564272,127,2.774925,40,3.1250533496,0.080032971199999996,3.1252455896,80,2.884978388,0.040015413599999993
,,1.5646456272,87,1.6446654464,47,2.824925,40,3.2050831208,0.080029771199999988,3.2052724168,80,2.9650113592,0.0400189336
,,1.5646564272,47,1.6446727264,87,2.874925,40,3.28510294,0.08001981919999998,3.285295116,40,2.9650113592,0.0400189336
,,1.6446654464,87,1.724874776,47,2.924925,40,3.3652865896,0.080183649599999989,3.3653610792,528,3.0451057384,0.040096693599999996
,,1.6446727264,47,1.724925,575,2.974925,40,4.445384168,0.080023088800000002,4.445391448,40,3.1252455896,0.040206773599999995
,,1.724925,47,2.8049480888,47,3.024925,40,4.5254071872,0.080023019199999989,4.5254144672,40,3.1252455896,0.040206773599999995
,,2.724925,87,2.8049553688,87,3.074925,40,4.6054366384,0.080029451199999989,4.6054474384,80,3.2052724168,0.04020382959999999
,,2.8049480888,87,2.884971108,47,3.124925,40,4.6854599776,0.080023339199999987,4.6854672576,40,3.2052724168,0.04020382959999999
,,2.8049553688,47,2.884978388,87,3.174925,40,4.7654894288,0.080029451199999989,4.7655002288,80,3.285295116,0.040203509599999992
,,2.884971108,127,2.9650005592,47,3.224925,40,4.8455192,0.080029771199999988,4.84553,80,3.3653610792,0.040246453599999995
,,2.884978388,47,2.9650113592,127,4.3653610792,40,4.9255425392,0.080023339199999987,4.9255498192,40,4.445391448,0.040015483199999993
,,2.9650005592,87,3.0450203784,47,4.4153610792,40,,,,,4.5254144672,0.040015413599999993
,,2.9650113592,47,3.0451057384,87,4.4653610792,40,,,,,4.6054474384,0.0400189336
,,3.0450203784,127,3.1250533496,47,4.5153610792,40,,,,,4.6054474384,0.0400189336
,,3.0451057384,47,3.1252455896,127,4.5653610792,40,,,,,4.6854672576,0.040015413599999993
,,3.1250533496,127,3.2050831208,47,4.6153610792,40,,,,,4.7655002288,0.0400189336
,,3.1252455896,47,3.2052724168,127,4.6653610792,40,,,,,4.7655002288,0.0400189336
,,3.2050831208,87,3.28510294,47,4.7153610792,40,,,,,4.84553,0.0400189336
,,3.2052724168,47,3.285295116,87,4.7653610792,40,,,,,4.84553,0.0400189336
,,3.28510294,87,3.3652865896,47,4.8153610792,40,,,,,4.9255498192,0.040015413599999993
,,3.285295116,47,3.3653610792,575,4.8653610792,40,,,,,,
,,3.3653610792,47,4.445384168,47,,,,,,,,
,,4.3653610792,87,4.445391448,87,,,,,,,,
,,4.445384168,87,4.5254071872,47,,,,,,,,
,,4.445391448,47,4.5254144672,87,,,,,,,,
,,4.5254071872,127,4.6054366384,47,,,,,,,,
,,4.5254144672,47,4.6054474384,127,,,,,,,,
,,4.6054366384,87,4.6854599776,47,,,,,,,,
,,4.6054474384,47,4.6854672576,87,,,,,,,,
,,4.6854599776,127,4.7654894288,47,,,,,,,,
,,4.6854672576,47,4.7655002288,127,,,,,,,,
,,4.7654894288,127,4.8455192,47,,,,,,,,
,,4.7655002288,47,4.84553,127,,,,,,,,
,,4.8455192,87,4.9255425392,47,,,,,,,,
,,4.84553,47,4.9255498192,87,,,,,,,,
,,4.9255425392,87,,,,,,,,,,
,,4.9255498192,47,,,,,,,,,,
