numActiveSessions:vector baselineTestQoS.hostFDO[64].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[64].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[64].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[64].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[64].tcp.conn-1956 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[64].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[64].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080412568,51,0.080412568,800,0.1720504112,0.091637843199999985,0.1721819472,1452,0.1721819472,0.046736949599999993
0,1,0.080412568,47,0.1720504112,47,,,,,0.2524322712,1452,0.2524322712,0.126987273600000005
0.1721819472,0,0.080412944,847,0.1721819472,1499,,,,,0.450918072,1452,0.450918072,0.325473074399999949
,,0.1721819472,47,0.2524322712,1499,,,,,0.863129069022,1452,0.863129069022,0.737684071421999871
,,0.1721823232,47,0.450918072,1499,,,,,1.262960989022,1452,1.262960989022,1.137515991422000101
,,0.2524322712,47,0.850453934613,47,,,,,1.662754989022,1452,1.662754989022,1.537309991422000082
,,0.450918072,47,0.863129069022,1499,,,,,2.062332644222,1452,2.062332644222,1.936887646621999962
,,0.863129069022,47,1.262960989022,1499,,,,,2.462119865022,1452,2.462119865022,2.336674867421999472
,,1.262960989022,47,1.662754989022,1499,,,,,2.86178214458,1452,2.86178214458,2.736337146979999512
,,1.662754989022,47,2.062332644222,1499,,,,,3.26161157578,1452,3.26161157578,3.136166578180000095
,,2.062332644222,47,2.462119865022,1499,,,,,3.66142231898,1452,3.66142231898,3.535977321379999857
,,2.462119865022,47,2.86178214458,1499,,,,,4.060984842925,1452,4.060984842925,3.935539845324999657
,,2.86178214458,47,3.26161157578,1499,,,,,4.4608273584,1452,4.4608273584,4.335382360799998815
,,3.26161157578,47,3.66142231898,1499,,,,,4.86056168,1452,4.86056168,4.735116682399999255
,,3.66142231898,47,4.060984842925,1499,,,,,,,,
,,4.060984842925,47,4.4608273584,1499,,,,,,,,
,,4.4608273584,47,4.86056168,1499,,,,,,,,
,,4.86056168,47,,,,,,,,,,
