numActiveSessions:vector baselineTestQoS.hostSSH[120].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[120].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[120].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[120].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[120].tcp.conn-2096 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[120].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[120].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080983768,51,1.080983768,40,1.1655256904,0.084541922399999996,1.1655329704,40,1.1655329704,0.043902180799999995
0,1,0.080983768,47,1.1655256904,47,1.130983768,40,1.2457457744,0.080220083999999996,1.2457530544,40,1.2457530544,0.040212478400000001
,,1.080983768,87,1.1655329704,87,1.180983768,40,1.3261528256,0.080407051199999995,1.3261636256,80,1.3261636256,0.0400189336
,,1.1655256904,87,1.2457457744,47,1.230983768,40,1.4061662448,0.08001341919999999,1.4061863248,40,1.3261636256,0.0400189336
,,1.1655329704,47,1.2457530544,87,1.280983768,40,1.486202736,0.080036491200000003,1.486213536,80,1.4061863248,0.040025013599999992
,,1.2457457744,127,1.3261528256,47,1.330983768,40,1.5662325072,0.080029771199999988,1.5662433072,80,1.486213536,0.0400189336
,,1.2457530544,47,1.3261636256,127,1.380983768,40,1.6462459264,0.08001341919999999,1.6462660064,40,1.486213536,0.0400189336
,,1.3261528256,87,1.4061662448,47,1.430983768,40,1.730547416,0.0843014896,1.73059764,528,1.5662433072,0.0400189336
,,1.3261636256,47,1.4061863248,87,1.480983768,40,2.8106597688,0.080062128799999992,2.8106670488,40,1.5662433072,0.0400189336
,,1.4061662448,127,1.486202736,47,1.530983768,40,2.890682788,0.080023019199999989,2.890690068,40,1.6462660064,0.040025013599999992
,,1.4061863248,47,1.486213536,127,1.580983768,40,2.9707090392,0.080026251199999981,2.9707198392,80,1.73059764,0.044340027999999989
,,1.486202736,127,1.5662325072,47,2.73059764,40,3.0507320584,0.080023019199999989,3.0507393384,40,2.8106670488,0.040011723200000001
,,1.486213536,47,1.5662433072,127,2.78059764,40,3.1307618296,0.080029771199999988,3.1307726296,80,2.890690068,0.040015413599999993
,,1.5662325072,87,1.6462459264,47,2.83059764,40,3.2109013608,0.080139531200000002,3.2109121608,80,2.9707198392,0.0400189336
,,1.5662433072,47,1.6462660064,87,2.88059764,40,3.290921756,0.080020395199999982,3.290929036,40,2.9707198392,0.0400189336
,,1.6462459264,87,1.730547416,47,2.93059764,40,3.3711094152,0.080187659199999982,3.3711596392,528,3.0507393384,0.040018613600000002
,,1.6462660064,47,1.73059764,575,2.98059764,40,4.451221768,0.080062128799999992,4.451229048,40,3.1307726296,0.04002533359999999
,,1.73059764,47,2.8106597688,47,3.03059764,40,4.5312447872,0.080023019199999989,4.5312520672,40,3.1307726296,0.04002533359999999
,,2.73059764,87,2.8106670488,87,3.08059764,40,4.6112710384,0.080026251199999981,4.6112818384,80,3.2109121608,0.04013509359999999
,,2.8106597688,87,2.890682788,47,3.13059764,40,4.6912975776,0.080026539199999996,4.6913048576,40,3.2109121608,0.04013509359999999
,,2.8106670488,47,2.890690068,87,3.18059764,40,4.7713238288,0.080026251199999981,4.7713346288,80,3.290929036,0.040018613600000002
,,2.890682788,127,2.9707090392,47,3.23059764,40,4.8513536,0.080029771199999988,4.8513644,80,3.3711596392,0.040226197599999999
,,2.890690068,47,2.9707198392,127,4.3711596392,40,4.9313766192,0.080023019199999989,4.9313838992,40,4.451229048,0.040011723200000001
,,2.9707090392,87,3.0507320584,47,4.4211596392,40,,,,,4.5312520672,0.040015413599999993
,,2.9707198392,47,3.0507393384,87,4.4711596392,40,,,,,4.6112818384,0.0400189336
,,3.0507320584,127,3.1307618296,47,4.5211596392,40,,,,,4.6112818384,0.0400189336
,,3.0507393384,47,3.1307726296,127,4.5711596392,40,,,,,4.6913048576,0.040015413599999993
,,3.1307618296,127,3.2109013608,47,4.6211596392,40,,,,,4.7713346288,0.0400189336
,,3.1307726296,47,3.2109121608,127,4.6711596392,40,,,,,4.7713346288,0.0400189336
,,3.2109013608,87,3.290921756,47,4.7211596392,40,,,,,4.8513644,0.0400189336
,,3.2109121608,47,3.290929036,87,4.7711596392,40,,,,,4.8513644,0.0400189336
,,3.290921756,87,3.3711094152,47,4.8211596392,40,,,,,4.9313838992,0.040018613600000002
,,3.290929036,47,3.3711596392,575,4.8711596392,40,,,,,,
,,3.3711596392,47,4.451221768,47,,,,,,,,
,,4.3711596392,87,4.451229048,87,,,,,,,,
,,4.451221768,87,4.5312447872,47,,,,,,,,
,,4.451229048,47,4.5312520672,87,,,,,,,,
,,4.5312447872,127,4.6112710384,47,,,,,,,,
,,4.5312520672,47,4.6112818384,127,,,,,,,,
,,4.6112710384,87,4.6912975776,47,,,,,,,,
,,4.6112818384,47,4.6913048576,87,,,,,,,,
,,4.6912975776,127,4.7713238288,47,,,,,,,,
,,4.6913048576,47,4.7713346288,127,,,,,,,,
,,4.7713238288,127,4.8513536,47,,,,,,,,
,,4.7713346288,47,4.8513644,127,,,,,,,,
,,4.8513536,87,4.9313766192,47,,,,,,,,
,,4.8513644,47,4.9313838992,87,,,,,,,,
,,4.9313766192,87,,,,,,,,,,
,,4.9313838992,47,,,,,,,,,,
