numActiveSessions:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[33].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[33].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[33].tcp.conn-1795 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[33].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,124,0,240,0,0,0,51,0.080494168,51,0.080494168,0.080494168000000004,0.1745240112,0.09402984319999999,0.1746555472,0.047828629599999991
0,1,,,,,,,,,,,0.080494168,47,0.1745240112,47,,,,,0.703144404,0.57631748640000002
,,,,,,,,,,,,0.080494544,247,0.1746555472,1499,,,,,0.708483383685,0.581656466084999875
,,,,,,,,,,,,0.1746555472,47,0.703144404,1499,,,,,1.741774753022,1.614947835421999926
,,,,,,,,,,,,0.703144404,47,0.708483383685,1499,,,,,1.747070374622,1.620243457021999671
,,,,,,,,,,,,0.708483383685,47,1.741774753022,1499,,,,,1.752477516222,1.625650598621999781
,,,,,,,,,,,,1.741774753022,47,1.747070374622,1499,,,,,1.757812037022,1.630985119421999743
,,,,,,,,,,,,1.747070374622,47,1.752477516222,1499,,,,,3.757004058622,3.630177141022000045
,,,,,,,,,,,,1.752477516222,47,1.757812037022,1499,,,,,3.7623188224,3.635491904799999377
,,,,,,,,,,,,1.757812037022,47,3.757004058622,1499,,,,,,
,,,,,,,,,,,,3.757004058622,47,3.7623188224,1499,,,,,,
,,,,,,,,,,,,3.7623188224,47,3.767719550422,1499,,,,,,
,,,,,,,,,,,,3.767719550422,47,3.773023214044,1499,,,,,,
,,,,,,,,,,,,3.773023214044,47,3.778443134044,1499,,,,,,
,,,,,,,,,,,,3.778443134044,47,,,,,,,,
