numActiveSessions:vector baselineTestQoS.hostSSH[95].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[95].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[95].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[95].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[95].tcp.conn-2071 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[95].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[95].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080881768,51,1.080881768,40,1.1652576904,0.084375922399999997,1.1652649704,40,1.1652649704,0.043808180799999998
0,1,0.080881768,47,1.1652576904,47,1.130881768,40,1.2454777744,0.080220083999999996,1.2454850544,40,1.2454850544,0.040212478400000001
,,1.080881768,87,1.1652649704,87,1.180881768,40,1.3258048256,0.080327051199999998,1.3258156256,80,1.3258156256,0.0400189336
,,1.1652576904,87,1.2454777744,47,1.230881768,40,1.4058214448,0.080016619199999999,1.4058287248,40,1.3258156256,0.0400189336
,,1.1652649704,47,1.2454850544,87,1.280881768,40,1.485854736,0.080033291199999994,1.485865536,80,1.4058287248,0.040012213599999998
,,1.2454777744,127,1.3258048256,47,1.330881768,40,1.5658845072,0.080029771199999988,1.5658953072,80,1.485865536,0.0400189336
,,1.2454850544,47,1.3258156256,127,1.380881768,40,1.6459011264,0.080016619199999999,1.6459084064,40,1.485865536,0.0400189336
,,1.3258048256,87,1.4058214448,47,1.430881768,40,1.729303416,0.083402289599999984,1.72935364,528,1.5658953072,0.0400189336
,,1.3258156256,47,1.4058287248,87,1.480881768,40,2.8094184992,0.080064859200000004,2.8094257792,40,1.5658953072,0.0400189336
,,1.4058214448,127,1.485854736,47,1.530881768,40,2.8894415184,0.080023019199999989,2.8894487984,40,1.6459084064,0.040012213599999998
,,1.4058287248,47,1.485865536,127,1.580881768,40,2.9694773696,0.080035851199999979,2.9694881696,80,1.72935364,0.043440828
,,1.485854736,127,1.5658845072,47,2.72935364,40,3.0494943088,0.080016939199999997,3.0495343784,40,2.8094257792,0.040057253599999995
,,1.485865536,47,1.5658953072,127,2.77935364,40,3.12953016,0.080035851199999979,3.1295644696,80,2.8894487984,0.040015413599999993
,,1.5658845072,87,1.6459011264,47,2.82935364,40,3.2095599312,0.080029771199999988,3.2095942408,80,2.9694881696,0.0400189336
,,1.5658953072,47,1.6459084064,87,2.87935364,40,3.2895768704,0.080016939199999997,3.28961694,40,2.9694881696,0.0400189336
,,1.6459011264,87,1.729303416,47,2.92935364,40,3.3698654152,0.080288544799999999,3.3699156392,528,3.0495343784,0.040048203199999993
,,1.6459084064,47,1.72935364,575,2.97935364,40,4.449938728,0.080023088800000002,4.449946008,40,3.1295644696,0.040042443199999999
,,1.72935364,47,2.8094184992,47,3.02935364,40,4.5299617472,0.080023019199999989,4.5299690272,40,3.1295644696,0.040042443199999999
,,2.72935364,87,2.8094257792,87,3.07935364,40,4.6099911984,0.080029451199999989,4.6100019984,80,3.2095942408,0.040042443199999999
,,2.8094184992,87,2.8894415184,47,3.12935364,40,4.6900145376,0.080023339199999987,4.6900218176,40,3.2095942408,0.040042443199999999
,,2.8094257792,47,2.8894487984,87,3.17935364,40,4.7700439888,0.080029451199999989,4.7700547888,80,3.28961694,0.040048203199999993
,,2.8894415184,127,2.9694773696,47,3.22935364,40,4.85007376,0.080029771199999988,4.85008456,80,3.3699156392,0.040323883199999993
,,2.8894487984,47,2.9694881696,127,4.3699156392,40,4.9300935792,0.08001981919999998,4.9301789392,40,4.449946008,0.040015483199999993
,,2.9694773696,87,3.0494943088,47,4.4199156392,40,,,,,4.5299690272,0.040015413599999993
,,2.9694881696,47,3.0495343784,87,4.4699156392,40,,,,,4.6100019984,0.0400189336
,,3.0494943088,127,3.12953016,47,4.5199156392,40,,,,,4.6100019984,0.0400189336
,,3.0495343784,47,3.1295644696,127,4.5699156392,40,,,,,4.6900218176,0.040015413599999993
,,3.12953016,127,3.2095599312,47,4.6199156392,40,,,,,4.7700547888,0.0400189336
,,3.1295644696,47,3.2095942408,127,4.6699156392,40,,,,,4.7700547888,0.0400189336
,,3.2095599312,87,3.2895768704,47,4.7199156392,40,,,,,4.85008456,0.0400189336
,,3.2095942408,47,3.28961694,87,4.7699156392,40,,,,,4.85008456,0.0400189336
,,3.2895768704,87,3.3698654152,47,4.8199156392,40,,,,,4.9301789392,0.040096693599999996
,,3.28961694,47,3.3699156392,575,4.8699156392,40,,,,,,
,,3.3699156392,47,4.449938728,47,,,,,,,,
,,4.3699156392,87,4.449946008,87,,,,,,,,
,,4.449938728,87,4.5299617472,47,,,,,,,,
,,4.449946008,47,4.5299690272,87,,,,,,,,
,,4.5299617472,127,4.6099911984,47,,,,,,,,
,,4.5299690272,47,4.6100019984,127,,,,,,,,
,,4.6099911984,87,4.6900145376,47,,,,,,,,
,,4.6100019984,47,4.6900218176,87,,,,,,,,
,,4.6900145376,127,4.7700439888,47,,,,,,,,
,,4.6900218176,47,4.7700547888,127,,,,,,,,
,,4.7700439888,127,4.85007376,47,,,,,,,,
,,4.7700547888,47,4.85008456,127,,,,,,,,
,,4.85007376,87,4.9300935792,47,,,,,,,,
,,4.85008456,47,4.9301789392,87,,,,,,,,
,,4.9300935792,87,,,,,,,,,,
,,4.9301789392,47,,,,,,,,,,
