numActiveSessions:vector baselineTestQoS.hostFDO[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[79].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[79].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[79].tcp.conn-1971 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080473768,51,0.080473768,800,0.1739056112,0.093431843200000002,0.1740371472,1452,0.1740371472,0.047519349599999996
0,1,0.080473768,47,0.1739056112,47,,,,,0.2542310712,1452,0.2542310712,0.127713273600000009
0.1740371472,0,0.080474144,847,0.1740371472,1499,,,,,0.452716872,1452,0.452716872,0.326199074399999954
,,0.1740371472,47,0.2542310712,1499,,,,,0.865047789022,1452,0.865047789022,0.738529991422000038
,,0.1740375232,47,0.452716872,1499,,,,,1.264759789022,1452,1.264759789022,1.138241991421999884
,,0.2542310712,47,0.852310334613,47,,,,,1.664553789022,1452,1.664553789022,1.538035991421999865
,,0.452716872,47,0.865047789022,1499,,,,,2.064251364222,1452,2.064251364222,1.937733566621999683
,,0.865047789022,47,1.264759789022,1499,,,,,2.463918665022,1452,2.463918665022,2.3374008674219997
,,1.264759789022,47,1.664553789022,1499,,,,,2.86380086458,1452,2.86380086458,2.73728306697999989
,,1.664553789022,47,2.064251364222,1499,,,,,3.26341037578,1452,3.26341037578,3.136892578179999437
,,2.064251364222,47,2.463918665022,1499,,,,,3.66322111898,1452,3.66322111898,3.536703321380000077
,,2.463918665022,47,2.86380086458,1499,,,,,4.063003562925,1452,4.063003562925,3.936485765325000032
,,2.86380086458,47,3.26341037578,1499,,,,,4.4626261584,1452,4.4626261584,4.33610836079999904
,,3.26341037578,47,3.66322111898,1499,,,,,4.86236048,1452,4.86236048,4.73584268239999949
,,3.66322111898,47,4.063003562925,1499,,,,,,,,
,,4.063003562925,47,4.4626261584,1499,,,,,,,,
,,4.4626261584,47,4.86236048,1499,,,,,,,,
,,4.86236048,47,,,,,,,,,,
