numActiveSessions:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[79].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[79].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[79].tcp.conn-1841 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[79].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,101,0,240,0,0,0,51,0.0822008176,51,0.0822008176,0.082200817600000003,0.4213943816,0.339193564000000001,0.4217259176,0.253485606399999951
0,1,,,,,,,,,,,0.0822008176,47,0.4213943816,47,,,,,1.1956725376,1.027432226399999755
,,,,,,,,,,,,0.0822011936,247,0.4217259176,1499,,,,,1.2009924576,1.032752146400000011
,,,,,,,,,,,,0.4217259176,47,1.1956725376,1499,,,,,2.761283116,2.593042804799999592
,,,,,,,,,,,,1.1956725376,47,1.2009924576,1499,,,,,2.7666347592,2.598394447999999627
,,,,,,,,,,,,1.2009924576,47,2.761283116,1499,,,,,2.77191054058,2.60367022937999958
,,,,,,,,,,,,2.761283116,47,2.7666347592,1499,,,,,2.77726218378,2.60902187257999961
,,,,,,,,,,,,2.7666347592,47,2.77191054058,1499,,,,,,
,,,,,,,,,,,,2.77191054058,47,2.77726218378,1499,,,,,,
,,,,,,,,,,,,2.77726218378,47,,,,,,,,
