numActiveSessions:vector baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[12].tcp.conn-1988 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080543128,51,1.080543128,40,1.1643679304,0.083824802399999981,1.1643752104,40,1.1643752104,0.043496100799999992
0,1,0.080543128,47,1.1643679304,47,1.130543128,40,1.2445880144,0.080220083999999996,1.2445952944,40,1.2445952944,0.040212478400000001
,,1.080543128,87,1.1643752104,87,1.180543128,40,1.3246494656,0.080061451199999993,1.3246602656,80,1.3246602656,0.0400189336
,,1.1643679304,87,1.2445880144,47,1.230543128,40,1.4046628848,0.08001341919999999,1.4046829648,40,1.3246602656,0.0400189336
,,1.1643752104,47,1.2445952944,87,1.280543128,40,1.484699376,0.080036491200000003,1.484710176,80,1.4046829648,0.040025013599999992
,,1.2445880144,127,1.3246494656,47,1.330543128,40,1.5647291472,0.080029771199999988,1.5647399472,80,1.484710176,0.0400189336
,,1.2445952944,47,1.3246602656,127,1.380543128,40,1.6447425664,0.08001341919999999,1.6447626464,40,1.484710176,0.0400189336
,,1.3246494656,87,1.4046628848,47,1.430543128,40,1.725173336,0.080430769599999978,1.72522356,528,1.5647399472,0.0400189336
,,1.3246602656,47,1.4046829648,87,1.480543128,40,2.8052466488,0.080023088800000002,2.8052539288,40,1.5647399472,0.0400189336
,,1.4046628848,127,1.484699376,47,1.530543128,40,2.885269668,0.080023019199999989,2.885276948,40,1.6447626464,0.040025013599999992
