numActiveSessions:vector baselineTestQoS.hostSSH[83].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[83].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[83].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[83].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[83].tcp.conn-2059 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[83].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[83].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080832808,51,1.080832808,40,1.1651290504,0.084296242399999998,1.1651363304,40,1.1651363304,0.043763060800000003
0,1,0.080832808,47,1.1651290504,47,1.130832808,40,1.2453491344,0.080220083999999996,1.2453564144,40,1.2453564144,0.040212478400000001
,,1.080832808,87,1.1651363304,87,1.180832808,40,1.3256377856,0.080288651200000004,1.3256485856,80,1.3256485856,0.0400189336
,,1.1651290504,87,1.2453491344,47,1.230832808,40,1.4056544048,0.080016619199999999,1.4056616848,40,1.3256485856,0.0400189336
,,1.1651363304,47,1.2453564144,87,1.280832808,40,1.485687696,0.080033291199999994,1.485698496,80,1.4056616848,0.040012213599999998
,,1.2453491344,127,1.3256377856,47,1.330832808,40,1.5657174672,0.080029771199999988,1.5657282672,80,1.485698496,0.0400189336
,,1.2453564144,47,1.3256485856,127,1.380832808,40,1.6457340864,0.080016619199999999,1.6457413664,40,1.485698496,0.0400189336
,,1.3256377856,87,1.4056544048,47,1.430832808,40,1.728706296,0.082972209599999985,1.72875652,528,1.5657282672,0.0400189336
,,1.3256485856,47,1.4056616848,87,1.480832808,40,2.8088186488,0.080062128799999992,2.8088259288,40,1.5657282672,0.0400189336
,,1.4056544048,127,1.485687696,47,1.530832808,40,2.888841668,0.080023019199999989,2.888848948,40,1.6457413664,0.040012213599999998
,,1.4056616848,47,1.485698496,127,1.580832808,40,2.9688679192,0.080026251199999981,2.9688787192,80,1.72875652,0.043010748000000001
,,1.485687696,127,1.5657174672,47,2.72875652,40,3.0488909384,0.080023019199999989,3.0488982184,40,2.8088259288,0.040011723200000001
,,1.485698496,47,1.5657282672,127,2.77875652,40,3.1289207096,0.080029771199999988,3.1289315096,80,2.888848948,0.040015413599999993
