numActiveSessions:vector baselineTestQoS.hostSSH[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[119].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[119].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[119].tcp.conn-2095 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[119].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080979688,51,1.080979688,40,1.1655149704,0.084535282399999994,1.1655222504,40,1.1655222504,0.04389842079999999
0,1,0.080979688,47,1.1655149704,47,1.130979688,40,1.2457350544,0.080220083999999996,1.2457423344,40,1.2457423344,0.040212478400000001
,,1.080979688,87,1.1655222504,87,1.180979688,40,1.3261389056,0.080403851199999986,1.3261497056,80,1.3261497056,0.0400189336
,,1.1655149704,87,1.2457350544,47,1.230979688,40,1.4061555248,0.080016619199999999,1.4061628048,40,1.3261497056,0.0400189336
,,1.1655222504,47,1.2457423344,87,1.280979688,40,1.486188816,0.080033291199999994,1.486199616,80,1.4061628048,0.040012213599999998
,,1.2457350544,127,1.3261389056,47,1.330979688,40,1.5662185872,0.080029771199999988,1.5662293872,80,1.486199616,0.0400189336
,,1.2457423344,47,1.3261497056,127,1.380979688,40,1.6462352064,0.080016619199999999,1.6462424864,40,1.486199616,0.0400189336
,,1.3261389056,87,1.4061555248,47,1.430979688,40,1.730497656,0.084262449599999982,1.73054788,528,1.5662293872,0.0400189336
,,1.3261497056,47,1.4061628048,87,1.480979688,40,2.8105768992,0.080029019199999995,2.8105841792,40,1.5662293872,0.0400189336
,,1.4061555248,127,1.486188816,47,1.530979688,40,2.8906021584,0.080025259200000003,2.8906094384,40,1.6462424864,0.040012213599999998
,,1.4061628048,47,1.486199616,127,1.580979688,40,2.9706338496,0.080031691200000004,2.9706446496,80,1.73054788,0.044300987999999999
,,1.486188816,127,1.5662185872,47,2.73054788,40,3.0506536688,0.08001981919999998,3.0507286184,40,2.8105841792,0.040021413599999999
,,1.486199616,47,1.5662293872,127,2.78054788,40,3.13068664,0.080032971199999996,3.1307587096,80,2.8906094384,0.040017653599999994
,,1.5662185872,87,1.6462352064,47,2.83054788,40,3.2107164112,0.080029771199999988,3.2108982408,80,2.9706446496,0.040021173600000001
,,1.5662293872,47,1.6462424864,87,2.88054788,40,3.2907362304,0.08001981919999998,3.290918316,40,2.9706446496,0.040021173600000001
,,1.6462352064,87,1.730497656,47,2.93054788,40,3.3710596552,0.080323424799999986,3.3711098792,528,3.0507286184,0.040086283200000002
,,1.6462424864,47,1.73054788,575,2.98054788,40,4.451132968,0.080023088800000002,4.451140248,40,3.1307587096,0.0400866032
,,1.73054788,47,2.8105768992,47,3.03054788,40,4.5311559872,0.080023019199999989,4.5311632672,40,3.1307587096,0.0400866032
,,2.73054788,87,2.8105841792,87,3.08054788,40,4.6111854384,0.080029451199999989,4.6111962384,80,3.2108982408,0.040196363200000001
,,2.8105768992,87,2.8906021584,47,3.13054788,40,4.6912054976,0.080020059199999993,4.6912127776,40,3.2108982408,0.040196363200000001
,,2.8105841792,47,2.8906094384,87,3.18054788,40,4.7712310128,0.08002551519999998,4.7712418128,80,3.290918316,0.040193419199999996
,,2.8906021584,127,2.9706338496,47,3.23054788,40,4.851260784,0.080029771199999988,4.851271584,80,3.3711098792,0.040361963200000003
,,2.8906094384,47,2.9706446496,127,4.3711098792,40,4.9312806032,0.08001981919999998,4.9313731792,40,4.451140248,0.040015483199999993
,,2.9706338496,87,3.0506536688,47,4.4211098792,40,,,,,4.5311632672,0.040015413599999993
,,2.9706446496,47,3.0507286184,87,4.4711098792,40,,,,,4.6111962384,0.0400189336
,,3.0506536688,127,3.13068664,47,4.5211098792,40,,,,,4.6111962384,0.0400189336
,,3.0507286184,47,3.1307587096,127,4.5711098792,40,,,,,4.6912127776,0.040012133599999999
,,3.13068664,127,3.2107164112,47,4.6211098792,40,,,,,4.7712418128,0.0400189336
,,3.1307587096,47,3.2108982408,127,4.6711098792,40,,,,,4.7712418128,0.0400189336
,,3.2107164112,87,3.2907362304,47,4.7211098792,40,,,,,4.851271584,0.0400189336
,,3.2108982408,47,3.290918316,87,4.7711098792,40,,,,,4.851271584,0.0400189336
,,3.2907362304,87,3.3710596552,47,4.8211098792,40,,,,,4.9313731792,0.0401039096
,,3.290918316,47,3.3711098792,575,4.8711098792,40,,,,,,
,,3.3711098792,47,4.451132968,47,,,,,,,,
,,4.3711098792,87,4.451140248,87,,,,,,,,
,,4.451132968,87,4.5311559872,47,,,,,,,,
,,4.451140248,47,4.5311632672,87,,,,,,,,
,,4.5311559872,127,4.6111854384,47,,,,,,,,
,,4.5311632672,47,4.6111962384,127,,,,,,,,
,,4.6111854384,87,4.6912054976,47,,,,,,,,
,,4.6111962384,47,4.6912127776,87,,,,,,,,
,,4.6912054976,127,4.7712310128,47,,,,,,,,
,,4.6912127776,47,4.7712418128,127,,,,,,,,
,,4.7712310128,127,4.851260784,47,,,,,,,,
,,4.7712418128,47,4.851271584,127,,,,,,,,
,,4.851260784,87,4.9312806032,47,,,,,,,,
,,4.851271584,47,4.9313731792,87,,,,,,,,
,,4.9312806032,87,,,,,,,,,,
,,4.9313731792,47,,,,,,,,,,
