numActiveSessions:vector baselineTestQoS.hostFDO[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[67].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[67].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[67].tcp.conn-1959 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080424808,51,0.080424808,800,0.1724214512,0.091996643200000005,0.1725529872,1452,0.1725529872,0.046893429599999994
0,1,0.080424808,47,0.1724214512,47,,,,,0.2527920312,1452,0.2527920312,0.127132473599999961
0.1725529872,0,0.080425184,847,0.1725529872,1499,,,,,0.451277832,1452,0.451277832,0.325618274400000017
,,0.1725529872,47,0.2527920312,1499,,,,,0.863488829022,1452,0.863488829022,0.737829271422000051
,,0.1725533632,47,0.451277832,1499,,,,,1.263320749022,1452,1.263320749022,1.13766119142200006
,,0.2527920312,47,0.850865214613,47,,,,,1.663114749022,1452,1.663114749022,1.537455191422000035
,,0.451277832,47,0.863488829022,1499,,,,,2.062692404222,1452,2.062692404222,1.937032846621999918
,,0.863488829022,47,1.263320749022,1499,,,,,2.462479625022,1452,2.462479625022,2.33682006742199987
,,1.263320749022,47,1.663114749022,1499,,,,,2.86224190458,1452,2.86224190458,2.736582346979999677
,,1.663114749022,47,2.062692404222,1499,,,,,3.26197133578,1452,3.26197133578,3.136311778179999607
,,2.062692404222,47,2.462479625022,1499,,,,,3.66178207898,1452,3.66178207898,3.536122521379999367
,,2.462479625022,47,2.86224190458,1499,,,,,4.061444602925,1452,4.061444602925,3.93578504532499983
,,2.86224190458,47,3.26197133578,1499,,,,,4.4611871184,1452,4.4611871184,4.335527560799999217
,,3.26197133578,47,3.66178207898,1499,,,,,4.86092144,1452,4.86092144,4.735261882399999655
,,3.66178207898,47,4.061444602925,1499,,,,,,,,
,,4.061444602925,47,4.4611871184,1499,,,,,,,,
,,4.4611871184,47,4.86092144,1499,,,,,,,,
,,4.86092144,47,,,,,,,,,,
