numActiveSessions:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[67].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[67].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[67].tcp.conn-1829 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[67].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,118,0,240,0,0,0,51,0.081159208,51,0.081159208,0.081159207999999982,0.3551445704,0.273985362399999931,0.3554761064,0.199918035200000009
0,1,,,,,,,,,,,0.081159208,47,0.3551445704,47,,,,,1.0671333528,0.911575281600000004
,,,,,,,,,,,,0.081159584,247,0.3554761064,1499,,,,,1.0725470704,0.916988999199999985
,,,,,,,,,,,,0.3554761064,47,1.0671333528,1499,,,,,2.469816733022,2.314258661821999565
,,,,,,,,,,,,1.0671333528,47,1.0725470704,1499,,,,,2.475206037022,2.319647965821999932
,,,,,,,,,,,,1.0725470704,47,2.469816733022,1499,,,,,2.4804819168,2.324923845599999862
,,,,,,,,,,,,2.469816733022,47,2.475206037022,1499,,,,,2.4859086056,2.33035053439999994
,,,,,,,,,,,,2.475206037022,47,2.4804819168,1499,,,,,4.506519550422,4.350961479221998805
,,,,,,,,,,,,2.4804819168,47,2.4859086056,1499,,,,,4.511823214044,4.356265142844000217
,,,,,,,,,,,,2.4859086056,47,4.506519550422,1499,,,,,4.517197470844,4.361639399643999925
,,,,,,,,,,,,4.506519550422,47,4.511823214044,1499,,,,,4.5225208008,4.36696272959999908
,,,,,,,,,,,,4.511823214044,47,4.517197470844,1499,,,,,4.5278844032,4.37232633200000008
,,,,,,,,,,,,4.517197470844,47,4.5225208008,1499,,,,,4.5332335224,4.3776754512
,,,,,,,,,,,,4.5225208008,47,4.5278844032,1499,,,,,4.5386299224,4.383071851200000412
,,,,,,,,,,,,4.5278844032,47,4.5332335224,1499,,,,,4.5439447224,4.388386651199999357
,,,,,,,,,,,,4.5332335224,47,4.5386299224,1499,,,,,,
,,,,,,,,,,,,4.5386299224,47,4.5439447224,1499,,,,,,
,,,,,,,,,,,,4.5439447224,47,,,,,,,,
