numActiveSessions:vector baselineTestQoS.hostSSH[127].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[127].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[127].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[127].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[127].tcp.conn-2103 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[127].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[127].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.081012328,51,1.081012328,40,1.1656007304,0.084588402399999984,1.1656080104,40,1.1656080104,0.043928500799999991
0,1,0.081012328,47,1.1656007304,47,1.131012328,40,1.2458208144,0.080220083999999996,1.2458280944,40,1.2458280944,0.040212478400000001
,,1.081012328,87,1.1656080104,87,1.181012328,40,1.3262502656,0.080429451200000001,1.3262610656,80,1.3262610656,0.0400189336
,,1.1656007304,87,1.2458208144,47,1.231012328,40,1.4062668848,0.080016619199999999,1.4062741648,40,1.3262610656,0.0400189336
,,1.1656080104,47,1.2458280944,87,1.281012328,40,1.486300176,0.080033291199999994,1.486310976,80,1.4062741648,0.040012213599999998
,,1.2458208144,127,1.3262502656,47,1.331012328,40,1.5663299472,0.080029771199999988,1.5663407472,80,1.486310976,0.0400189336
,,1.2458280944,47,1.3262610656,127,1.381012328,40,1.6463465664,0.080016619199999999,1.6463538464,40,1.486310976,0.0400189336
,,1.3262502656,87,1.4062668848,47,1.431012328,40,1.730895736,0.084549169600000001,1.73094596,528,1.5663407472,0.0400189336
,,1.3262610656,47,1.4062741648,87,1.481012328,40,2.8109690488,0.080023088800000002,2.8109763288,40,1.5663407472,0.0400189336
,,1.4062668848,127,1.486300176,47,1.531012328,40,2.890992068,0.080023019199999989,2.890999348,40,1.6463538464,0.040012213599999998
,,1.4062741648,47,1.486310976,127,1.581012328,40,2.9710215192,0.080029451199999989,2.9710323192,80,1.73094596,0.044587707999999989
,,1.486300176,127,1.5663299472,47,2.73094596,40,3.0510413384,0.08001981919999998,3.0511266984,40,2.8109763288,0.040015483199999993
,,1.486310976,47,1.5663407472,127,2.78094596,40,3.1310743096,0.080032971199999996,3.1311567896,80,2.890999348,0.040015413599999993
,,1.5663299472,87,1.6463465664,47,2.83094596,40,3.2111040808,0.080029771199999988,3.2111865608,80,2.9710323192,0.0400189336
,,1.5663407472,47,1.6463538464,87,2.88094596,40,3.29123686,0.080132779200000003,3.29124414,40,2.9710323192,0.0400189336
,,1.6463465664,87,1.730895736,47,2.93094596,40,3.3714577352,0.080220875199999985,3.3715079592,528,3.0511266984,0.040096693599999996
,,1.6463538464,47,1.73094596,575,2.98094596,40,4.451531048,0.080023088800000002,4.451538328,40,3.1311567896,0.040097013599999994
,,1.73094596,47,2.8109690488,47,3.03094596,40,4.5315540672,0.080023019199999989,4.5315613472,40,3.1311567896,0.040097013599999994
,,2.73094596,87,2.8109763288,87,3.08094596,40,4.6115835184,0.080029451199999989,4.6115943184,80,3.2111865608,0.040097013599999994
,,2.8109690488,87,2.890992068,47,3.13094596,40,4.6916068576,0.080023339199999987,4.6916141376,40,3.2111865608,0.040097013599999994
,,2.8109763288,47,2.890999348,87,3.18094596,40,4.7716363088,0.080029451199999989,4.7716471088,80,3.29124414,0.040131573599999997
,,2.890992068,127,2.9710215192,47,3.23094596,40,4.85166608,0.080029771199999988,4.85167688,80,3.3715079592,0.040259413600000001
,,2.890999348,47,2.9710323192,127,4.3715079592,40,4.9316858992,0.08001981919999998,4.9318891792,40,4.451538328,0.040015483199999993
,,2.9710215192,87,3.0510413384,47,4.4215079592,40,,,,,4.5315613472,0.040015413599999993
,,2.9710323192,47,3.0511266984,87,4.4715079592,40,,,,,4.6115943184,0.0400189336
,,3.0510413384,127,3.1310743096,47,4.5215079592,40,,,,,4.6115943184,0.0400189336
,,3.0511266984,47,3.1311567896,127,4.5715079592,40,,,,,4.6916141376,0.040015413599999993
,,3.1310743096,127,3.2111040808,47,4.6215079592,40,,,,,4.7716471088,0.0400189336
,,3.1311567896,47,3.2111865608,127,4.6715079592,40,,,,,4.7716471088,0.0400189336
,,3.2111040808,87,3.29123686,47,4.7215079592,40,,,,,4.85167688,0.0400189336
,,3.2111865608,47,3.29124414,87,4.7715079592,40,,,,,4.85167688,0.0400189336
,,3.29123686,87,3.3714577352,47,4.8215079592,40,,,,,4.9318891792,0.04021461359999999
,,3.29124414,47,3.3715079592,575,4.8715079592,40,,,,,,
,,3.3715079592,47,4.451531048,47,,,,,,,,
,,4.3715079592,87,4.451538328,87,,,,,,,,
,,4.451531048,87,4.5315540672,47,,,,,,,,
,,4.451538328,47,4.5315613472,87,,,,,,,,
,,4.5315540672,127,4.6115835184,47,,,,,,,,
,,4.5315613472,47,4.6115943184,127,,,,,,,,
,,4.6115835184,87,4.6916068576,47,,,,,,,,
,,4.6115943184,47,4.6916141376,87,,,,,,,,
,,4.6916068576,127,4.7716363088,47,,,,,,,,
,,4.6916141376,47,4.7716471088,127,,,,,,,,
,,4.7716363088,127,4.85166608,47,,,,,,,,
,,4.7716471088,47,4.85167688,127,,,,,,,,
,,4.85166608,87,4.9316858992,47,,,,,,,,
,,4.85167688,47,4.9318891792,87,,,,,,,,
,,4.9316858992,87,,,,,,,,,,
,,4.9318891792,47,,,,,,,,,,
