numActiveSessions:vector baselineTestQoS.hostFDO[10].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[10].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[10].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[10].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[10].tcp.conn-1902 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[10].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[10].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080192248,51,0.080192248,800,0.1653716912,0.085179443199999982,0.1655032272,1452,0.1655032272,0.043920309599999998
0,1,0.080192248,47,0.1653716912,47,,,,,0.2458329112,1452,0.2458329112,0.124249993599999996
0.1655032272,0,0.080192624,847,0.1655032272,1499,,,,,0.444318712,1452,0.444318712,0.322735794399999996
,,0.1655032272,47,0.2458329112,1499,,,,,0.856433469022,1452,0.856433469022,0.734850551421999839
,,0.1655036032,47,0.444318712,1499,,,,,1.256253389022,1452,1.256253389022,1.134670471421999945
,,0.2458329112,47,0.8438293152,47,,,,,1.655933469022,1452,1.655933469022,1.534350551421999935
,,0.444318712,47,0.856433469022,1499,,,,,2.055719044222,1452,2.055719044222,1.934136126622000063
,,0.856433469022,47,1.256253389022,1499,,,,,2.455412265022,1452,2.455412265022,2.333829347422000205
,,1.256253389022,47,1.655933469022,1499,,,,,2.85517454458,1452,2.85517454458,2.73359162698000001
,,1.655933469022,47,2.055719044222,1499,,,,,3.25499197578,1452,3.25499197578,3.133409058179999805
,,2.055719044222,47,2.455412265022,1499,,,,,3.6545828064,1452,3.6545828064,3.53299988880000003
,,2.455412265022,47,2.85517454458,1499,,,,,4.054371242925,1452,4.054371242925,3.932788325324999317
,,2.85517454458,47,3.25499197578,1499,,,,,4.4542137584,1452,4.4542137584,4.332630840800000255
,,3.25499197578,47,3.6545828064,1499,,,,,4.85389888,1452,4.85389888,4.7323159623999995
,,3.6545828064,47,4.054371242925,1499,,,,,,,,
,,4.054371242925,47,4.4542137584,1499,,,,,,,,
,,4.4542137584,47,4.85389888,1499,,,,,,,,
,,4.85389888,47,,,,,,,,,,
