numActiveSessions:vector baselineTestQoS.hostSSH[5].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[5].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[5].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[5].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostSSH[5].tcp.conn-1981 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[5].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostSSH[5].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080514568,51,1.080514568,40,1.1642928904,0.083778322399999993,1.1643001704,40,1.1643001704,0.043469780799999996
0,1,0.080514568,47,1.1642928904,47,1.130514568,40,1.2445129744,0.080220083999999996,1.2445202544,40,1.2445202544,0.040212478400000001
,,1.080514568,87,1.1643001704,87,1.180514568,40,1.3245520256,0.080039051199999988,1.3245628256,80,1.3245628256,0.0400189336
,,1.1642928904,87,1.2445129744,47,1.230514568,40,1.4045750448,0.080023019199999989,1.4045823248,40,1.3245628256,0.0400189336
,,1.1643001704,47,1.2445202544,87,1.280514568,40,1.484601936,0.080026891200000005,1.484612736,80,1.4045823248,0.040018613600000002
,,1.2445129744,127,1.3245520256,47,1.330514568,40,1.5646317072,0.080029771199999988,1.5646425072,80,1.484612736,0.0400189336
,,1.2445202544,47,1.3245628256,127,1.380514568,40,1.6446547264,0.080023019199999989,1.6446620064,40,1.484612736,0.0400189336
,,1.3245520256,87,1.4045750448,47,1.430514568,40,1.724825016,0.080170289599999999,1.72487524,528,1.5646425072,0.0400189336
,,1.3245628256,47,1.4045823248,87,1.480514568,40,2.8049373688,0.080062128799999992,2.8049446488,40,1.5646425072,0.0400189336
,,1.4045750448,127,1.484601936,47,1.530514568,40,2.884960388,0.080023019199999989,2.884967668,40,1.6446620064,0.040018613600000002
,,1.4045823248,47,1.484612736,127,1.580514568,40,2.9649866392,0.080026251199999981,2.9649974392,80,1.72487524,0.040208828000000001
,,1.484601936,127,1.5646317072,47,2.72487524,40,3.0450096584,0.080023019199999989,3.0450169384,40,2.8049446488,0.040011723200000001
,,1.484612736,47,1.5646425072,127,2.77487524,40,3.1250394296,0.080029771199999988,3.1250502296,80,2.884967668,0.040015413599999993
,,1.5646317072,87,1.6446547264,47,2.82487524,40,3.2050692008,0.080029771199999988,3.2050800008,80,2.9649974392,0.0400189336
,,1.5646425072,47,1.6446620064,87,2.87487524,40,3.28509222,0.080023019199999989,3.2850995,40,2.9649974392,0.0400189336
,,1.6446547264,87,1.724825016,47,2.92487524,40,3.3652368296,0.080144609599999999,3.3652870536,528,3.0450169384,0.040018613600000002
,,1.6446620064,47,1.72487524,575,2.97487524,40,4.445373448,0.080086394399999982,4.445380728,40,3.1250502296,0.04002533359999999
,,1.72487524,47,2.8049373688,47,3.02487524,40,4.5253964672,0.080023019199999989,4.5254037472,40,3.1250502296,0.04002533359999999
,,2.72487524,87,2.8049446488,87,3.07487524,40,4.6054227184,0.080026251199999981,4.6054335184,80,3.2050800008,0.04002533359999999
,,2.8049373688,87,2.884960388,47,3.12487524,40,4.6854492576,0.080026539199999996,4.6854565376,40,3.2050800008,0.04002533359999999
,,2.8049446488,47,2.884967668,87,3.17487524,40,4.7654755088,0.080026251199999981,4.7654863088,80,3.2850995,0.040018613600000002
,,2.884960388,127,2.9649866392,47,3.22487524,40,4.84550528,0.080029771199999988,4.84551608,80,3.3652870536,0.040183148000000001
,,2.884967668,47,2.9649974392,127,4.3652870536,40,4.9255318192,0.080026539199999996,4.9255390992,40,4.445380728,0.040011723200000001
,,2.9649866392,87,3.0450096584,47,4.4152870536,40,,,,,4.5254037472,0.040015413599999993
,,2.9649974392,47,3.0450169384,87,4.4652870536,40,,,,,4.6054335184,0.0400189336
,,3.0450096584,127,3.1250394296,47,4.5152870536,40,,,,,4.6054335184,0.0400189336
,,3.0450169384,47,3.1250502296,127,4.5652870536,40,,,,,4.6854565376,0.040015413599999993
,,3.1250394296,127,3.2050692008,47,4.6152870536,40,,,,,4.7654863088,0.0400189336
,,3.1250502296,47,3.2050800008,127,4.6652870536,40,,,,,4.7654863088,0.0400189336
,,3.2050692008,87,3.28509222,47,4.7152870536,40,,,,,4.84551608,0.0400189336
,,3.2050800008,47,3.2850995,87,4.7652870536,40,,,,,4.84551608,0.0400189336
,,3.28509222,87,3.3652368296,47,4.8152870536,40,,,,,4.9255390992,0.040015413599999993
,,3.2850995,47,3.3652870536,575,4.8652870536,40,,,,,,
,,3.3652870536,47,4.445373448,47,,,,,,,,
,,4.3652870536,87,4.445380728,87,,,,,,,,
,,4.445373448,87,4.5253964672,47,,,,,,,,
,,4.445380728,47,4.5254037472,87,,,,,,,,
,,4.5253964672,127,4.6054227184,47,,,,,,,,
,,4.5254037472,47,4.6054335184,127,,,,,,,,
,,4.6054227184,87,4.6854492576,47,,,,,,,,
,,4.6054335184,47,4.6854565376,87,,,,,,,,
,,4.6854492576,127,4.7654755088,47,,,,,,,,
,,4.6854565376,47,4.7654863088,127,,,,,,,,
,,4.7654755088,127,4.84550528,47,,,,,,,,
,,4.7654863088,47,4.84551608,127,,,,,,,,
,,4.84550528,87,4.9255318192,47,,,,,,,,
,,4.84551608,47,4.9255390992,87,,,,,,,,
,,4.9255318192,87,,,,,,,,,,
,,4.9255390992,47,,,,,,,,,,
