numActiveSessions:vector baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostFDO[8].tcp.conn-1900 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,51,0.080184088,51,0.080184088,800,0.1651243312,0.084940243199999987,0.1652558672,1452,0.1652558672,0.043815989599999993
0,1,0.080184088,47,0.1651243312,47,,,,,0.2455930712,1452,0.2455930712,0.124153193599999988
0.1652558672,0,0.080184464,847,0.1652558672,1499,,,,,0.444078872,1452,0.444078872,0.322638994399999988
,,0.1652558672,47,0.2455930712,1499,,,,,0.856193629022,1452,0.856193629022,0.734753751421999941
,,0.1652562432,47,0.444078872,1499,,,,,1.256013549022,1452,1.256013549022,1.134573671421999825
,,0.2455930712,47,0.8436217952,47,,,,,1.655693629022,1452,1.655693629022,1.534253751421999816
,,0.444078872,47,0.856193629022,1499,,,,,2.055479204222,1452,2.055479204222,1.934039326621999946
,,0.856193629022,47,1.256013549022,1499,,,,,2.455172425022,1452,2.455172425022,2.33373254742199964
,,1.256013549022,47,1.655693629022,1499,,,,,2.85493470458,1452,2.85493470458,2.733494826979999447
,,1.655693629022,47,2.055479204222,1499,,,,,3.25475213578,1452,3.25475213578,3.133312258180000127
,,2.055479204222,47,2.455172425022,1499,,,,,3.6543429664,1452,3.6543429664,3.532903088799999462
,,2.455172425022,47,2.85493470458,1499,,,,,4.054131402925,1452,4.054131402925,3.932691525324999645
,,2.85493470458,47,3.25475213578,1499,,,,,4.4539739184,1452,4.4539739184,4.332534040799998805
,,3.25475213578,47,3.6543429664,1499,,,,,4.85365904,1452,4.85365904,4.73221916239999983
,,3.6543429664,47,4.054131402925,1499,,,,,,,,
,,4.054131402925,47,4.4539739184,1499,,,,,,,,
,,4.4539739184,47,4.85365904,1499,,,,,,,,
,,4.85365904,47,,,,,,,,,,
