numActiveSessions:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[71].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[71].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[71].tcp.conn-1833 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[71].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,137,0,240,0,0,0,51,0.081175528,51,0.081175528,0.081175527999999996,0.377201732,0.296026204000000013,0.377533268,0.217781116800000006
0,1,,,,,,,,,,,0.081175528,47,0.377201732,47,,,,,1.109964041822,0.95021189062199984
,,,,,,,,,,,,0.081175904,247,0.377533268,1499,,,,,1.1153336536,0.955581502399999834
,,,,,,,,,,,,0.377533268,47,1.109964041822,1499,,,,,2.589923214044,2.430171062843999852
,,,,,,,,,,,,1.109964041822,47,1.1153336536,1499,,,,,2.595234269022,2.435482117821999627
,,,,,,,,,,,,1.1153336536,47,2.589923214044,1499,,,,,2.600644232,2.440892080799999412
,,,,,,,,,,,,2.589923214044,47,2.595234269022,1499,,,,,2.605982857022,2.446230705821999852
,,,,,,,,,,,,2.595234269022,47,2.600644232,1499,,,,,,
,,,,,,,,,,,,2.600644232,47,2.605982857022,1499,,,,,,
,,,,,,,,,,,,2.605982857022,47,,,,,,,,
