numActiveSessions:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[11].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[11].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[11].tcp.conn-1773 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[11].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,113,0,240,0,0,0,51,0.080061688,51,0.080061688,0.080061687999999991,0.1614139312,0.081352243199999979,0.1615454672,0.04124366959999999
0,1,,,,,,,,,,,0.080061688,47,0.1614139312,47,,,,,0.2417843512,0.121482553599999986
,,,,,,,,,,,,0.080062064,247,0.1615454672,1499,,,,,0.997553389022,0.877251591422000038
,,,,,,,,,,,,0.1615454672,47,0.2417843512,1499,,,,,2.196753389022,2.076451591421999858
,,,,,,,,,,,,0.2417843512,47,0.997553389022,1499,,,,,3.395953389022,3.275651591422000117
,,,,,,,,,,,,0.997553389022,47,2.196753389022,1499,,,,,4.595207138044,4.47490534044399977
,,,,,,,,,,,,2.196753389022,47,3.395953389022,1499,,,,,,
,,,,,,,,,,,,3.395953389022,47,4.595207138044,1499,,,,,,
,,,,,,,,,,,,4.595207138044,47,,,,,,,,
