numActiveSessions:vector baselineTestQoS.hostFDO[21].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[21].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[21].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[21].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rtt:vector baselineTestQoS.hostFDO[21].tcp.conn-208 (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[21].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,endToEndDelay:vector baselineTestQoS.hostFDO[21].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),
0,0,0.652964290578,51,0.733026470527,51,0.733026470527,800,0.813141801727,0.0801153312,0.813273337727,1452,0.813273337727,0.040170333599999996
0.652964290578,1,0.733026470527,47,0.813141801727,47,,,,,0.893440568333,1452,0.893440568333,0.120337564206000002
0.813273337727,0,0.733026846527,847,0.813273337727,1499,,,,,0.893680408333,1452,0.893680408333,0.120577404205999993
,,0.813273337727,47,0.893440568333,1499,,,,,0.973778253133,1452,0.973778253133,0.200675249005999977
,,0.813273713727,47,0.893680408333,1499,,,,,0.974138013133,1452,0.974138013133,0.201035009005999964
,,0.893440568333,47,0.895355192333,47,,,,,0.977375853133,1452,0.977375853133,0.204272849006000011
,,0.893680408333,47,0.973778253133,1499,,,,,0.979298333133,1452,0.979298333133,0.20619532900599996
,,0.973778253133,47,0.974138013133,1499,,,,,1.054042653133,1452,1.054042653133,0.28093964900599999
,,0.974138013133,47,0.977375853133,1499,,,,,1.054162573133,1452,1.054162573133,0.28105956900599993
,,0.977375853133,47,0.979298333133,1499,,,,,1.057644013133,1452,1.057644013133,0.284541009005999988
,,0.979298333133,47,1.054042653133,1499,,,,,1.063164413133,1452,1.063164413133,0.290061409005999969
