numActiveSessions:vector baselineTestQoS.hostFDO[4].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[4].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[4].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[4].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rtt:vector baselineTestQoS.hostFDO[4].tcp.conn-166 (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[4].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,endToEndDelay:vector baselineTestQoS.hostFDO[4].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),
0,0,0.214651962486,51,0.294861420086,51,0.294861420086,800,0.374946542486,0.080085122399999985,0.375078078486,1452,0.375078078486,0.040137108800000001
0.214651962486,1,0.294861420086,47,0.374946542486,47,,,,,0.455217338486,1452,0.455217338486,0.120276368800000004
0.375078078486,0,0.294861796086,847,0.375078078486,1499,,,,,0.455337258486,1452,0.455337258486,0.1203962888
,,0.375078078486,47,0.455217338486,1499,,,,,0.535456222486,1452,0.535456222486,0.200515252799999987
,,0.375078454486,47,0.455337258486,1499,,,,,0.535576142486,1452,0.535576142486,0.200635172799999982
,,0.455217338486,47,0.456929402486,47,,,,,0.537255822486,1452,0.537255822486,0.202314852799999999
,,0.455337258486,47,0.535456222486,1499,,,,,0.539935502486,1452,0.539935502486,0.204994532799999961
,,0.535456222486,47,0.535576142486,1499,,,,,0.615695106486,1452,0.615695106486,0.280754136799999941
,,0.535576142486,47,0.537255822486,1499,,,,,0.615815026486,1452,0.615815026486,0.280874056799999992
,,0.537255822486,47,0.539935502486,1499,,,,,0.617493507286,1452,0.617493507286,0.282552537599999985
,,0.539935502486,47,0.615695106486,1499,,,,,0.620173187286,1452,0.620173187286,0.285232217599999947
,,0.615695106486,47,0.615815026486,1499,,,,,0.622872787286,1452,0.622872787286,0.287931817599999971
,,0.615815026486,47,0.617493507286,1499,,,,,0.625542913846,1452,0.625542913846,0.290601944159999957
,,0.617493507286,47,0.620173187286,1499,,,,,0.62818867154,1452,0.62818867154,0.293247701853999952
,,0.620173187286,47,0.622872787286,1499,,,,,0.63108747234,1452,0.63108747234,0.296146502653999997
,,0.622872787286,47,0.625542913846,1499,,,,,0.695840951286,1452,0.695840951286,0.360899981599999917
,,0.625542913846,47,0.62818867154,1499,,,,,0.695960871286,1452,0.695960871286,0.361019901599999969
,,0.62818867154,47,0.63108747234,1499,,,,,0.698130792086,1452,0.698130792086,0.36318982239999997
,,0.63108747234,47,0.695840951286,1499,,,,,0.700430792086,1452,0.700430792086,0.36548982239999994
,,0.695840951286,47,0.695960871286,1499,,,,,0.703250312086,1452,0.703250312086,0.368309342400000015
,,0.695960871286,47,0.698130792086,1499,,,,,0.705680598646,1452,0.705680598646,0.37073962896000001
,,0.698130792086,47,0.700430792086,1499,,,,,0.70864627634,1452,0.70864627634,0.373705306653999922
,,0.700430792086,47,0.703250312086,1499,,,,,0.71106539714,1452,0.71106539714,0.376124427453999986
,,0.703250312086,47,0.705680598646,1499,,,,,0.71396459714,1452,0.71396459714,0.379023627453999976
,,0.705680598646,47,0.70864627634,1499,,,,,0.71642555634,1452,0.71642555634,0.381484586653999977
,,0.70864627634,47,0.71106539714,1499,,,,,0.71914387714,1452,0.71914387714,0.384202907453999984
,,0.71106539714,47,0.71396459714,1499,,,,,0.721776149263,1452,0.721776149263,0.386835179576999975
,,0.71396459714,47,0.71642555634,1499,,,,,0.724514390063,1452,0.724514390063,0.389573420376999932
,,0.71642555634,47,0.71914387714,1499,,,,,0.727131685225,1452,0.727131685225,0.392190715538999977
,,0.71914387714,47,0.721776149263,1499,,,,,0.729924959533,1452,0.729924959533,0.394983989847000003
,,0.721776149263,47,0.724514390063,1499,,,,,0.732452212927,1452,0.732452212927,0.397511243240999955
,,0.724514390063,47,0.727131685225,1499,,,,,0.776135475168,1452,0.776135475168,0.441194505482000007
,,0.727131685225,47,0.729924959533,1499,,,,,0.776255395168,1452,0.776255395168,0.441314425481999948
,,0.729924959533,47,0.732452212927,1499,,,,,0.778289596086,1452,0.778289596086,0.443348626399999943
,,0.732452212927,47,0.776135475168,1499,,,,,0.780709516086,1452,0.780709516086,0.445768546399999963
,,0.776135475168,47,0.776255395168,1499,,,,,0.783650155286,1452,0.783650155286,0.448709185599999946
,,0.776255395168,47,0.778289596086,1499,,,,,0.786099162646,1452,0.786099162646,0.451158192959999924
,,0.778289596086,47,0.780709516086,1499,,,,,0.78928595954,1452,0.78928595954,0.454344989853999956
,,0.780709516086,47,0.783650155286,1499,,,,,0.79134571954,1452,0.79134571954,0.456404749853999922
,,0.783650155286,47,0.786099162646,1499,,,,,0.79466204194,1452,0.79466204194,0.459721072253999938
,,0.786099162646,47,0.78928595954,1499,,,,,0.79678316114,1452,0.79678316114,0.461842191453999959
