numActiveSessions:vector baselineTestQoS.hostFDO[39].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[39].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[39].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[39].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rtt:vector baselineTestQoS.hostFDO[39].tcp.conn-194 (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[39].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,endToEndDelay:vector baselineTestQoS.hostFDO[39].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),
0,0,0.497214636269,51,0.577424093869,51,0.577424093869,800,0.657509216269,0.080085122399999985,0.657640752269,1452,0.657640752269,0.040137108800000001
0.497214636269,1,0.577424093869,47,0.657509216269,47,,,,,0.737911972927,1452,0.737911972927,0.120408329457999979
0.657640752269,0,0.577424469869,847,0.657640752269,1499,,,,,0.738031892927,1452,0.738031892927,0.120528249458000002
,,0.657640752269,47,0.737911972927,1499,,,,,0.818249657727,1452,0.818249657727,0.200746014257999982
,,0.657641128269,47,0.738031892927,1499,,,,,0.818369577727,1452,0.818369577727,0.200865934257999977
,,0.737911972927,47,0.739671380269,47,,,,,0.820376681069,1452,0.820376681069,0.202873037599999971
,,0.738031892927,47,0.818249657727,1499,,,,,0.822745334696,1452,0.822745334696,0.205241691226999977
,,0.818249657727,47,0.818369577727,1499,,,,,0.898584728333,1452,0.898584728333,0.281081084863999962
,,0.818369577727,47,0.820376681069,1499,,,,,0.898704648333,1452,0.898704648333,0.281201004864000013
,,0.820376681069,47,0.822745334696,1499,,,,,0.900383528333,1452,0.900383528333,0.282879884863999951
,,0.822745334696,47,0.898584728333,1499,,,,,0.903389368333,1452,0.903389368333,0.285885724863999989
,,0.898584728333,47,0.898704648333,1499,,,,,0.906027608333,1452,0.906027608333,0.288523964864000003
,,0.898704648333,47,0.900383528333,1499,,,,,0.908426008333,1452,0.908426008333,0.290922364864000025
,,0.900383528333,47,0.903389368333,1499,,,,,0.911424008333,1452,0.911424008333,0.29392036486399997
,,0.903389368333,47,0.906027608333,1499,,,,,0.913868352699,1452,0.913868352699,0.296364709230000021
,,0.906027608333,47,0.908426008333,1499,,,,,0.978934813133,1452,0.978934813133,0.361431169664000016
,,0.908426008333,47,0.911424008333,1499,,,,,0.979058493133,1452,0.979058493133,0.361554849663999975
,,0.911424008333,47,0.913868352699,1499,,,,,0.980857293133,1452,0.980857293133,0.363353649663999965
,,0.913868352699,47,0.978934813133,1499,,,,,0.983619213133,1452,0.983619213133,0.366115569663999939
,,0.978934813133,47,0.979058493133,1499,,,,,0.987940093133,1452,0.987940093133,0.37043644966400002
,,0.979058493133,47,0.980857293133,1499,,,,,0.991777533133,1452,0.991777533133,0.37427388966399999
,,0.980857293133,47,0.983619213133,1499,,,,,0.993216573133,1452,0.993216573133,0.375712929663999936
,,0.983619213133,47,0.987940093133,1499,,,,,0.998017133133,1452,0.998017133133,0.380513489664000002
,,0.987940093133,47,0.991777533133,1499,,,,,0.998616733133,1452,0.998616733133,0.381113089663999925
,,0.991777533133,47,0.993216573133,1499,,,,,1.004137133133,1452,1.004137133133,0.386633489664000017
