numActiveSessions:vector baselineTestQoS.hostFDO[26].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[26].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[26].ppp[0].ppp (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[26].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,rtt:vector baselineTestQoS.hostFDO[26].tcp.conn-161 (#0 - testingConfigurator-0-20240322-12:45:14-25600),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[26].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),,endToEndDelay:vector baselineTestQoS.hostFDO[26].app[0] (#0 - testingConfigurator-0-20240322-12:45:14-25600),
0,0,0.166726765933,51,0.246936223533,51,0.246936223533,800,0.327021345933,0.080085122399999985,0.327152881933,1452,0.327152881933,0.040137108800000001
0.166726765933,1,0.246936223533,47,0.327021345933,47,,,,,0.407292141933,1452,0.407292141933,0.120276368800000004
0.327152881933,0,0.246936599533,847,0.327152881933,1499,,,,,0.407412061933,1452,0.407412061933,0.1203962888
,,0.327152881933,47,0.407292141933,1499,,,,,0.487531025933,1452,0.487531025933,0.200515252799999987
,,0.327153257933,47,0.407412061933,1499,,,,,0.487650945933,1452,0.487650945933,0.200635172799999982
,,0.407292141933,47,0.409004205933,47,,,,,0.489370865933,1452,0.489370865933,0.202355092799999968
,,0.407412061933,47,0.487531025933,1499,,,,,0.492016840127,1452,0.492016840127,0.205001066994000001
,,0.487531025933,47,0.487650945933,1499,,,,,0.567769909933,1452,0.567769909933,0.280754136799999941
,,0.487650945933,47,0.489370865933,1499,,,,,0.567889829933,1452,0.567889829933,0.280874056799999992
,,0.489370865933,47,0.492016840127,1499,,,,,0.569608550733,1452,0.569608550733,0.28259277760000001
,,0.492016840127,47,0.567769909933,1499,,,,,0.572254524927,1452,0.572254524927,0.285238751793999932
,,0.567769909933,47,0.567889829933,1499,,,,,0.574987959688,1452,0.574987959688,0.287972186555000008
,,0.567889829933,47,0.569608550733,1499,,,,,0.577655597869,1452,0.577655597869,0.290639824735999917
,,0.569608550733,47,0.572254524927,1499,,,,,0.58044469177,1452,0.58044469177,0.293428918636999934
,,0.572254524927,47,0.574987959688,1499,,,,,0.583031081096,1452,0.583031081096,0.296015307963000016
,,0.574987959688,47,0.577655597869,1499,,,,,0.648008793933,1452,0.648008793933,0.360993020799999951
,,0.577655597869,47,0.58044469177,1499,,,,,0.648128713933,1452,0.648128713933,0.361112940800000003
,,0.58044469177,47,0.583031081096,1499,,,,,0.649846235533,1452,0.649846235533,0.362830462399999941
,,0.583031081096,47,0.648008793933,1499,,,,,0.652492209727,1452,0.652492209727,0.365476436593999974
,,0.648008793933,47,0.648128713933,1499,,,,,0.655212954088,1452,0.655212954088,0.368197180954999978
