numActiveSessions:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHBufferLength:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoBitrate:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoResolution:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostVID[24].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[24].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostVID[24].tcp.conn-235 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHReceivedBytes:vector baselineTestQoS.hostVID[24].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0,0,0,0,0,348,0,360,0.334288302064,0,0.334288302064,51,0.414401228428,51,0.494433070828,0.080031842399999996,0.494564606828,0.040137108800000001,1.168409433634,100000
0.334288302064,1,2.568625745634,5,3.568625745634,1,1.168409433634,293,1.168409433634,360,2.568625745634,1,0.414401228428,47,0.494433070828,47,1.248543481634,0.080134047999999985,0.574803490828,0.120375992799999997,2.568625745634,183125
,,3.568625745634,4,4.568625745634,2,2.568625745634,256,2.568625745634,360,,,0.414401604428,247,0.494564606828,1499,2.649221561634,0.080595815999999986,0.574923410828,0.120495912799999992,3.818883721634,160000
,,3.818883721634,9,,,3.818883721634,322,3.818883721634,360,,,0.494564606828,47,0.574803490828,1499,3.900007721634,0.081124000000000001,0.655108824428,0.20068132639999997,,
,,4.568625745634,8,,,,,,,,,0.574803490828,47,0.574923410828,1499,,,0.655228744428,0.200801246399999965,,
,,,,,,,,,,,,0.574923410828,47,0.655108824428,1499,,,0.65869366869,0.204266170661999978,,
,,,,,,,,,,,,0.655108824428,47,0.655228744428,1499,,,0.664121486772,0.209693988743999969,,
,,,,,,,,,,,,0.655228744428,47,0.65869366869,1499,,,0.735347708428,0.280920210399999924,,
,,,,,,,,,,,,0.65869366869,47,0.664121486772,1499,,,0.735467628428,0.281040130399999975,,
,,,,,,,,,,,,0.664121486772,47,0.735347708428,1499,,,0.73893135349,0.284503855461999964,,
