numActiveSessions:vector baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[3].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[3].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostFDO[3].tcp.conn-244 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0.482627705692,51,0.562757918492,51,0.562757918492,800,0.642920049586,0.080162131093999999,0.643051585586,1452,0.643051585586,0.040214117494000001
0.482627705692,1,0.562757918492,47,0.642920049586,47,,,,,0.723309566386,1452,0.723309566386,0.12047209829399999
0.643051585586,0,0.562758294492,847,0.643051585586,1499,,,,,0.723549406386,1452,0.723549406386,0.120711938293999981
,,0.643051585586,47,0.723309566386,1499,,,,,0.803611614564,1452,0.803611614564,0.20077414647199998
,,0.643051961586,47,0.723549406386,1499,,,,,0.804095374564,1452,0.804095374564,0.20125790647199998
,,0.723309566386,47,0.725002133586,47,,,,,0.805758094564,1452,0.805758094564,0.202920626471999986
,,0.723549406386,47,0.803611614564,1499,,,,,0.808165995186,1452,0.808165995186,0.205328527094000012
,,0.803611614564,47,0.804095374564,1499,,,,,0.883921839186,1452,0.883921839186,0.281084371093999972
,,0.804095374564,47,0.805758094564,1499,,,,,0.884165439186,1452,0.884165439186,0.281327971093999982
,,0.805758094564,47,0.808165995186,1499,,,,,0.886088239186,1452,0.886088239186,0.283250771093999985
,,0.808165995186,47,0.883921839186,1499,,,,,0.888403679986,1452,0.888403679986,0.285566211893999998
,,0.883921839186,47,0.884165439186,1499,,,,,0.891071152333,1452,0.891071152333,0.28823368424099993
,,0.884165439186,47,0.886088239186,1499,,,,,0.893793846527,1452,0.893793846527,0.290956378434999995
,,0.886088239186,47,0.888403679986,1499,,,,,0.896757158828,1452,0.896757158828,0.293919690735999993
,,0.888403679986,47,0.891071152333,1499,,,,,0.89910672309,1452,0.89910672309,0.296269254997999941
,,0.891071152333,47,0.893793846527,1499,,,,,0.964519283986,1452,0.964519283986,0.361681815893999945
,,0.893793846527,47,0.896757158828,1499,,,,,0.964879043986,1452,0.964879043986,0.362041575893999987
,,0.896757158828,47,0.89910672309,1499,,,,,0.967764643986,1452,0.967764643986,0.36492717589399992
,,0.89910672309,47,0.964519283986,1499,,,,,0.968982403986,1452,0.968982403986,0.366144935893999988
,,0.964519283986,47,0.964879043986,1499,,,,,0.971668597133,1452,0.971668597133,0.368831129041000015
,,0.964879043986,47,0.967764643986,1499,,,,,0.974372570527,1452,0.974372570527,0.371535102434999985
