numActiveSessions:vector baselineTestQoS.hostFDO[23].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[23].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[23].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[23].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostFDO[23].tcp.conn-275 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[23].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostFDO[23].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0.723353977764,51,0.803604110564,51,0.803604110564,800,0.883913983186,0.080309872621999983,0.884045519186,1452,0.884045519186,0.040361859021999998
0.723353977764,1,0.803604110564,47,0.883913983186,47,,,,,0.964639203986,1452,0.964639203986,0.120955543821999993
0.884045519186,0,0.803604486564,847,0.884045519186,1499,,,,,0.965118883986,1452,0.965118883986,0.121435223822000004
,,0.884045519186,47,0.964639203986,1499,,,,,1.045100888786,1452,1.045100888786,0.201417228622000009
,,0.884045895186,47,0.965118883986,1499,,,,,1.045220808786,1452,1.045220808786,0.201537148622000005
,,0.964639203986,47,0.967513187986,47,,,,,1.047963928786,1452,1.047963928786,0.204280268621999993
,,0.965118883986,47,1.045100888786,1499,,,,,1.049679848786,1452,1.049679848786,0.205996188621999975
,,1.045100888786,47,1.045220808786,1499,,,,,1.125401017634,1452,1.125401017634,0.281717357469999928
,,1.045220808786,47,1.047963928786,1499,,,,,1.125520937634,1452,1.125520937634,0.281837277469999979
,,1.047963928786,47,1.049679848786,1499,,,,,1.128987337634,1452,1.128987337634,0.285303677469999959
,,1.049679848786,47,1.125401017634,1499,,,,,1.131385737634,1452,1.131385737634,0.287702077469999982
