numActiveSessions:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHBufferLength:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoBitrate:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoResolution:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostVID[4].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[4].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostVID[4].tcp.conn-246 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHReceivedBytes:vector baselineTestQoS.hostVID[4].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0,0,0,0,0,284,0,360,0.493527078088,0,0.493527078088,51,0.573736535688,51,0.653817528428,0.080080992739999995,0.653949064428,0.040186259139999999,1.352243033634,100000
0.493527078088,1,2.947115089634,5,3.947115089634,1,1.352243033634,331,1.352243033634,360,2.947115089634,1,0.573736535688,47,0.653817528428,47,1.432451881634,0.080208847999999998,0.734284188428,0.120521383139999992,2.947115089634,206875
,,3.947115089634,4,4.947115089634,2,2.947115089634,391,2.947115089634,360,,,0.573736911688,247,0.653949064428,1499,3.027202681634,0.080087591999999985,0.734404108428,0.120641303139999988,4.797225553634,244375
,,4.797225553634,9,,,4.797225553634,369,4.797225553634,360,,,0.653949064428,47,0.734284188428,1499,4.877456041634,0.080230487999999988,0.814760514028,0.200997708740000002,,
,,4.947115089634,8,,,,,,,,,0.734284188428,47,0.734404108428,1499,,,0.815120274028,0.201357468739999988,,
,,,,,,,,,,,,0.734404108428,47,0.814760514028,1499,,,0.81835271589,0.20458991060199999,,
,,,,,,,,,,,,0.814760514028,47,0.815120274028,1499,,,0.823689254696,0.209926449407999981,,
,,,,,,,,,,,,0.815120274028,47,0.81835271589,1499,,,0.895118118828,0.281355313539999983,,
,,,,,,,,,,,,0.81835271589,47,0.823689254696,1499,,,0.895238038828,0.281475233539999923,,
,,,,,,,,,,,,0.823689254696,47,0.895118118828,1499,,,0.89869040069,0.284927595401999965,,
