numActiveSessions:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHBufferLength:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoBitrate:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoResolution:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostVID[15].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[15].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostVID[15].tcp.conn-226 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHReceivedBytes:vector baselineTestQoS.hostVID[15].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0,0,0,0,0,288,0,360,0.281345600476,0,0.281345600476,51,0.361555058076,51,0.441586900476,0.080031842399999996,0.441718436476,0.040137108800000001,1.114595433634,100000
0.281345600476,1,3.082757841634,5,4.082757841634,1,1.114595433634,431,1.114595433634,360,3.082757841634,1,0.361555058076,47,0.441586900476,47,1.194676841634,0.080081407999999992,0.521957320476,0.120375992799999997,3.082757841634,269375
,,4.082757841634,4,,,3.082757841634,329,3.082757841634,360,,,0.361555434076,247,0.441718436476,1499,3.163124521634,0.080366679999999995,0.522077240476,0.120495912799999992,4.664737425634,205625
,,4.664737425634,9,,,4.664737425634,331,4.664737425634,360,,,0.441718436476,47,0.521957320476,1499,4.744968041634,0.080230616000000004,0.602196204476,0.200614876800000007,,
,,,,,,,,,,,,0.521957320476,47,0.522077240476,1499,,,0.602316124476,0.200734796800000003,,
,,,,,,,,,,,,0.522077240476,47,0.602196204476,1499,,,0.605994205276,0.204412877599999986,,
,,,,,,,,,,,,0.602196204476,47,0.602316124476,1499,,,0.611128015548,0.20954668787199998,,
,,,,,,,,,,,,0.602316124476,47,0.605994205276,1499,,,0.682435088476,0.280853760800000017,,
,,,,,,,,,,,,0.605994205276,47,0.611128015548,1499,,,0.682555008476,0.280973680799999957,,
,,,,,,,,,,,,0.611128015548,47,0.682435088476,1499,,,0.686353009276,0.284771681599999991,,
,,,,,,,,,,,,0.682435088476,47,0.682555008476,1499,,,0.691386819548,0.289805491871999996,,
,,,,,,,,,,,,0.682555008476,47,0.686353009276,1499,,,0.697017376086,0.295436048409999928,,
,,,,,,,,,,,,0.686353009276,47,0.691386819548,1499,,,0.702158015286,0.300576687610000002,,
,,,,,,,,,,,,0.691386819548,47,0.697017376086,1499,,,0.707797661266,0.30621633359,,
,,,,,,,,,,,,0.697017376086,47,0.702158015286,1499,,,0.712801694063,0.311220366387000012,,
,,,,,,,,,,,,0.702158015286,47,0.707797661266,1499,,,0.762775686058,0.361194358381999978,,
,,,,,,,,,,,,0.707797661266,47,0.712801694063,1499,,,0.762895606058,0.361314278381999918,,
,,,,,,,,,,,,0.712801694063,47,0.762775686058,1499,,,0.766690694076,0.365109366400000021,,
,,,,,,,,,,,,0.762775686058,47,0.762895606058,1499,,,0.771744424348,0.370163096671999978,,
,,,,,,,,,,,,0.762895606058,47,0.766690694076,1499,,,0.777714820886,0.37613349321,,
,,,,,,,,,,,,0.766690694076,47,0.771744424348,1499,,,0.782735540086,0.381154212410000024,,
