txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0.011726256428,51,0.091834698028,51
0.01577821829,51,0.09588665989,51
0.032804268127,51,0.112912709727,51
0.034164002566,51,0.114272444166,51
0.090034364127,51,0.170142805727,51
0.091842458028,47,0.171919852428,47
0.091846218028,847,0.172039772428,1499
0.09589441989,47,0.17597181429,47
0.09589817989,847,0.17609173429,1499
0.112920469727,47,0.192997864127,47
0.112924229727,847,0.193117784127,1499
0.114280204166,47,0.194357598566,47
0.114283964166,847,0.194477518566,1499
0.152823159986,51,0.232931601586,51
0.166827273933,51,0.246935715533,51
0.170145765727,47,0.250174680127,47
0.170149525727,247,0.250294600127,1499
0.172052716428,47,0.252179032428,1499
0.172056476428,47,0.252298952428,1499
0.174057234445,51,0.253902712428,47
0.17610467829,47,0.254165676045,51
0.17610843829,47,0.25623099429,1499
0.193130728127,47,0.25635091429,1499
0.193134488127,47,0.25795467429,47
0.194490462566,47,0.273257044127,1499
0.194494222566,47,0.273376964127,1499
0.19594452187,51,0.274616778566,1499
0.196631010615,51,0.274736698566,1499
0.207868257948,51,0.274940458566,47
0.212610498244,51,0.27605296347,51
0.214752470486,51,0.27635672347,47
0.229873747663,51,0.276739452215,51
0.232934561586,47,0.287976699548,51
0.232938321586,247,0.292718939844,51
0.246938675533,47,0.294860912086,51
0.246942435533,247,0.309982189263,51
0.250407168127,47,0.312963475986,47
0.252291600428,47,0.313083395986,1499
0.252411520428,47,0.326967589933,47
0.254168636045,47,0.327087509933,1499
0.254172396045,247,0.330533484127,1499
0.25634356229,47,0.330653404127,1499
0.25646348229,47,0.332417916428,1499
0.261152826772,51,0.332537836428,1499
0.266607126359,51,0.334257756428,1499
0.273261438402,51,0.334261516428,47
0.273369612127,47,0.334381436428,1499
0.273489532127,47,0.33646987829,1499
0.274729346566,47,0.33658979829,1499
0.274849266566,47,0.33690971829,1499
0.27605592347,47,0.33832963829,1499
0.27605968347,247,0.34094955829,1499
0.276747212215,47,0.341261268372,51
0.276750972215,847,0.346715567959,51
0.281446108476,51,0.353369880002,51
0.287984459548,47,0.353495928127,1499
0.287988219548,847,0.353615848127,1499
0.291939532834,51,0.354855662566,1499
0.292726699844,47,0.354975582566,1499
0.292730459844,847,0.355295502566,1499
0.294863872086,47,0.35608483787,47
0.294867632086,247,0.35620475787,1499
0.303219641846,51,0.35672467787,1499
0.303932998866,51,0.356824606615,47
0.309985149263,47,0.356944526615,1499
0.309988909263,247,0.357964446615,1499
0.313195963986,47,0.359384366615,1499
0.327200077933,47,0.361554550076,51
0.330646052127,47,0.368061853948,47
0.330765972127,47,0.368181773948,1499
0.332530484428,47,0.372047974434,51
0.332650404428,47,0.372804094244,47
0.334288810064,47,0.372924014244,1499
0.334292570064,51,0.374892786486,47
0.334494004428,47,0.375012706486,1499
0.33658244629,47,0.383328083446,51
0.33670236629,47,0.384041440466,51
0.33702228629,47,0.390014063663,47
0.33844220629,47,0.390133983663,1499
0.34106212629,47,0.393322279986,1499
0.341264228372,47,0.393442199986,1499
0.341267988372,247,0.407326393933,1499
0.346723327959,47,0.407446313933,1499
0.346727087959,847,0.410772368127,1499
0.353372840002,47,0.410892288127,1499
0.353376600002,247,0.412656800428,1499
0.353608496127,47,0.412776720428,1499
0.353728416127,47,0.414396640428,1499
0.354968230566,47,0.414400720428,51
0.355088150566,47,0.414520640428,1499
0.355408070566,47,0.414640560428,1499
0.35631732587,47,0.414760480428,1499
0.35683724587,47,0.41670876229,1499
0.356957470615,47,0.41682868229,1499
0.356961230615,47,0.41714740309,1499
0.358077014615,47,0.41856732309,1499
0.359496934615,47,0.41978724309,1499
0.361557510076,47,0.41990716309,1499
0.361561270076,247,0.42118724309,1499
0.368194717948,47,0.421293142772,47
0.368198477948,47,0.421413062772,1499
