rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[1].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[1].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0.229773747663,51,0.309982189263,51
0.309983173263,47,0.390014063663,47
0.309985149263,247,0.390133983663,1499
0.390146551663,47,0.470372867663,1499
0.470385435663,47,0.470492787663,1499
0.470505355663,47,0.550730472463,1499
0.550743040463,47,0.550850392463,1499
0.550862960463,47,0.554339887986,1499
0.554352455986,47,0.559658608786,1499
0.559671176786,47,0.630969356463,1499
0.630981924463,47,0.631089276463,1499
0.631101844463,47,0.634577572786,1499
0.634590140786,47,0.639896293586,1499
0.639908861586,47,0.645259013586,1499
0.645271581586,47,0.650682485933,1499
0.650695053933,47,0.656016252428,1499
0.656028820428,47,0.66135965749,1499
0.66137222549,47,0.711305489266,1499
0.711318057266,47,0.711425409266,1499
0.711437977266,47,0.715036376786,1499
0.715048944786,47,0.720235177586,1499
0.720247745586,47,0.725597897586,1499
0.725610465586,47,0.731021369933,1499
0.731033937933,47,0.736355136428,1499
0.736367704428,47,0.74169854149,1499
0.74171110949,47,0.747030439572,1499
0.747043007572,47,0.752410421559,1499
0.752422989559,47,0.75773901787,1499
0.75775158587,47,0.763123354058,1499
0.763135922058,47,0.768515239934,1499
0.768527807934,47,0.773991692348,1499
0.774004260348,47,0.779287368086,1499
0.779299936086,47,0.784643368086,1499
0.784655936086,47,0.791643174066,1499
0.791655742066,47,0.795375260786,1499
0.795387828786,47,0.800693981586,1499
0.800706549586,47,0.806075422386,1499
0.806087990386,47,0.811378974733,1499
0.811391542733,47,0.816767142028,1499
0.816779710028,47,0.82215734549,1499
0.82216991349,47,0.827489243572,1499
0.827501811572,47,0.832869225559,1499
0.832881793559,47,0.83821654267,1499
0.83822911067,47,0.843720798858,1499
0.843733366858,47,0.849002607676,1499
0.849015175676,47,0.854348897148,1499
0.854361465148,47,0.859644972886,1499
0.859657540886,47,0.864982252086,1499
0.864994820086,47,0.870341818066,1499
0.870354386066,47,0.875732865586,1499
0.875745433586,47,0.881050386386,1499
0.881062954386,47,0.887039267186,1499
0.887051835186,47,0.891836579533,1499
0.891849147533,47,0.897104826828,1499
0.897117394828,47,0.90247607189,1499
0.90248863989,47,0.908178478772,1499
0.908191046772,47,0.913088189559,1499
0.913100757559,47,0.91855542667,1499
0.91856799467,47,0.923939762858,1499
0.923952330858,47,0.930415492476,1499
0.930428060476,47,0.934586581948,1499
0.934599149948,47,0.939982657686,1499
0.939995225686,47,0.945303696086,1499
0.945316264086,47,0.950679502866,1499
0.950692070866,47,0.956070550386,1499
0.956083118386,47,0.961392151186,1499
0.961404719186,47,0.966789431986,1499
0.966801999986,47,0.972074264333,1499
0.972086832333,47,0.977322591628,1499
0.977335159628,47,0.98307015589,1499
0.98308272389,47,1.06329280069,1311
1.06330386469,47,1.143339325634,47
1.06330584069,247,1.143459245634,1499
1.143471813634,47,1.143579165634,1499
1.143591733634,47,1.148499645634,1499
1.148512213634,47,1.152576925634,1499
1.152589493634,47,1.159416125634,1499
1.159428693634,47,1.163493405634,1499
1.163505973634,47,1.172359965634,1499
1.172372533634,47,1.175961325634,1499
1.175973893634,47,1.183276445634,1499
1.183289013634,47,1.186394365634,1499
1.186406933634,47,1.191674605634,1499
1.191687173634,47,1.195635725634,1499
1.195648293634,47,1.204629725634,1499
1.204642293634,47,1.210749405634,1499
1.210761973634,47,1.215306365634,1499
1.215318933634,47,1.226106685634,1499
1.226119253634,47,1.229704285634,1499
1.229716853634,47,1.236783325634,1499
1.236795893634,47,1.247699805634,1499
1.247712373634,47,1.249862125634,1499
1.249874693634,47,1.258361405634,1499
1.258373973634,47,1.268914365634,1499
1.268926933634,47,1.274910365634,1499
1.274922933634,47,1.279587245634,1499
1.279599813634,47,1.290365005634,1499
1.290377573634,47,1.301037885634,1499
1.301050453634,47,1.306674125634,1499
1.306686693634,47,1.312070525634,1499
1.312083093634,47,1.322383645634,1499
1.322396213634,47,1.333416285634,1499
1.333428853634,47,1.344332765634,1499
1.344345333634,47,1.349129565634,1499
1.349142133634,47,1.355230445634,1499
1.355243013634,47,1.366506685634,1499
1.366519253634,47,1.376220205634,1499
1.376232773634,47,1.387013005634,1499
1.387025573634,47,1.397550925634,1499
1.397563493634,47,1.408583565634,1499
1.408596133634,47,1.419256445634,1499
1.419269013634,47,1.424413005634,1499
1.424425573634,47,1.430049245634,1499
1.430061813634,47,1.440725885634,1499
1.440738453634,47,1.451518685634,1499
1.451531253634,47,1.462071645634,1499
1.462084213634,47,1.472984365634,1499
1.472996933634,47,1.483780925634,1499
1.483793493634,47,1.494438765634,1499
1.494451333634,47,1.504392125634,1499
1.504404693634,47,1.516384125634,1499
1.516396693634,47,1.526457405634,1499
1.526469973634,47,1.537130285634,1499
1.537142853634,47,1.548027965634,1499
1.548040533634,47,1.553409325634,1499
1.553421893634,47,1.558445965634,1499
1.558458533634,47,1.568762845634,1499
1.568775413634,47,1.580754845634,1499
1.580767413634,47,1.590693165634,1499
1.590705733634,47,1.601366045634,1499
1.601378613634,47,1.612878365634,1499
1.612890933634,47,1.623075325634,1499
1.623087893634,47,1.634111725634,1499
1.634124293634,47,1.643585405634,1499
1.643597973634,47,1.655577405634,1499
1.655589973634,47,1.665654445634,1499
1.665667013634,47,1.675847645634,1499
1.675860213634,47,1.687599805634,1499
1.687612373634,47,1.698032845634,1499
1.698045413634,47,1.708465885634,1499
1.708478453634,47,1.719378605634,1499
1.719391173634,47,1.730531165634,1499
1.730543733634,47,1.740604445634,1499
1.740617013634,47,1.751277325634,1499
1.751289893634,47,1.761350605634,1499
1.761363173634,47,1.772847885634,1499
1.772860453634,47,1.783400845634,1499
1.783413413634,47,1.793474125634,1499
1.793486693634,47,1.804866525634,1499
1.804879093634,47,1.815539405634,1499
1.815551973634,47,1.825597645634,1499
1.825610213634,47,1.836990045634,1499
1.837002613634,47,1.847662925634,1499
1.847675493634,47,1.857739965634,1499
1.857752533634,47,1.869372205634,1499
1.869384773634,47,1.879805245634,1499
1.879817813634,47,1.890478125634,1499
1.890490693634,47,1.900551405634,1499
1.900563973634,47,1.912187405634,1499
1.912199973634,47,1.917703725634,1499
1.917716293634,47,1.922860285634,1499
1.922872853634,47,1.933413245634,1499
1.933425813634,47,1.944805645634,1499
1.944818213634,47,1.954998845634,1499
1.955011413634,47,1.965536765634,1499
1.965549333634,47,1.976794205634,1499
1.976806773634,47,1.987107325634,1499
1.987119893634,47,1.997660285634,1499
1.997672853634,47,2.008917725634,1499
2.008930293634,47,2.019230845634,1499
2.019243413634,47,2.029783805634,1499
2.029796373634,47,2.041060045634,1499
2.041072613634,47,2.051826525634,1499
2.051839093634,47,2.061899805634,1499
2.061912373634,47,2.067296205634,1499
2.067308773634,47,2.073292205634,1499
2.073304773634,47,2.083485405634,1499
2.083497973634,47,2.094521805634,1499
2.094534373634,47,2.105314605634,1499
2.105327173634,47,2.115627725634,1499
2.115640293634,47,2.125461165634,1499
2.125473733634,47,2.136621245634,1499
2.136633813634,47,2.147294125634,1499
2.147306693634,47,2.157967005634,1499
2.157979573634,47,2.169719165634,1499
2.169731733634,47,2.180272125634,1499
2.180284693634,47,2.190945005634,1499
2.190957573634,47,2.200418685634,1499
