,hostVID0 DAEB TS,hostVID0 DAEB Val,hostVID1 DAEB TS,hostVID1 DAEB Val,hostVID2 DAEB TS,hostVID2 DAEB Val,hostVID3 DAEB TS,hostVID3 DAEB Val,hostVID4 DAEB TS,hostVID4 DAEB Val,hostVID5 DAEB TS,hostVID5 DAEB Val,hostVID6 DAEB TS,hostVID6 DAEB Val,hostVID7 DAEB TS,hostVID7 DAEB Val,hostVID8 DAEB TS,hostVID8 DAEB Val,hostVID9 DAEB TS,hostVID9 DAEB Val,hostVID10 DAEB TS,hostVID10 DAEB Val,hostVID11 DAEB TS,hostVID11 DAEB Val,hostVID12 DAEB TS,hostVID12 DAEB Val,hostVID13 DAEB TS,hostVID13 DAEB Val,hostVID14 DAEB TS,hostVID14 DAEB Val,hostVID15 DAEB TS,hostVID15 DAEB Val,hostVID16 DAEB TS,hostVID16 DAEB Val,hostVID17 DAEB TS,hostVID17 DAEB Val,hostVID18 DAEB TS,hostVID18 DAEB Val,hostLVD0 DAEB TS,hostLVD0 DAEB Val,hostLVD1 DAEB TS,hostLVD1 DAEB Val,hostLVD2 DAEB TS,hostLVD2 DAEB Val,hostLVD3 DAEB TS,hostLVD3 DAEB Val,hostLVD4 DAEB TS,hostLVD4 DAEB Val,hostLVD5 DAEB TS,hostLVD5 DAEB Val,hostLVD6 DAEB TS,hostLVD6 DAEB Val,hostLVD7 DAEB TS,hostLVD7 DAEB Val,hostLVD8 DAEB TS,hostLVD8 DAEB Val,hostLVD9 DAEB TS,hostLVD9 DAEB Val,hostLVD10 DAEB TS,hostLVD10 DAEB Val,hostLVD11 DAEB TS,hostLVD11 DAEB Val,hostLVD12 DAEB TS,hostLVD12 DAEB Val,hostLVD13 DAEB TS,hostLVD13 DAEB Val,hostLVD14 DAEB TS,hostLVD14 DAEB Val,hostLVD15 DAEB TS,hostLVD15 DAEB Val,hostLVD16 DAEB TS,hostLVD16 DAEB Val,hostLVD17 DAEB TS,hostLVD17 DAEB Val,hostLVD18 DAEB TS,hostLVD18 DAEB Val
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5206937832,574.1407454197499,1.5513900552,720.0657927794,1.2156272712,660.6043805521499,1.2337162712,646.22047210539,1.1918300552,406.78196847615993,1.2665254792,482.46204819575,1.1836212872,571.82912504929,1.1836406072,577.21438420511,1.9088517112,644.45402628238,1.8979570232,557.05341028098,1.1786816384,475.70640587992,1.1733386152,467.29345279782,1.1863923912,659.8981815090299,1.6331464152,461.57963444185,1.7303486152,723.5095481502298,1.1920858152,671.5748368284499,1.5235490072,585.6538747424299,1.1790011184,491.61704008661,1.4621836872,603.40324649647
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2909535192,792.9599262217699,2.3827158712,1082.9814317913997,2.4145744712,1189.3180785945997,2.3568502232,951.0465563642299,2.3647282712,912.76024241274,2.3180652152,822.5870232022897,2.3374699672,885.0937145624499,2.3051338872,833.8578942341697,2.4036301432,1167.9908679185,2.3184775752,841.8888068981798,2.3509571032,924.57385730551,2.3126259912,791.7653382194399,2.4736380872,1393.6080977632,2.3331486472,854.9708715035499,2.4182267192,1238.0301965886997,2.3978803672,1102.2457224771997,2.3450569752,910.0676378960899,2.3134002712,804.1533376532199,2.3562121432,947.4182043957398
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3460256312,945.92801279213,3.4553549512,1218.0438263502,3.4796901992,1335.9690668659,3.4793527192,1257.875467714,3.4096590552,1097.4397950017,3.4563828472,1127.1772930813,3.4477700792,1119.0911766503,3.4428613752,1097.3750779441996,3.4214330392,1170.9309343760997,3.4574171272,1132.5074577179998,3.4574790472,1157.1938724450995,3.4273414632,1068.0130217790995,3.4647712632,1360.9118051879,3.4574901912,1147.0021572833998,3.4372183112,1224.7584966431,3.4372538712,1172.7474506805995,3.4373014312,1116.6031696312998,4.8349820872,460.59419156313993,4.6999542712,499.99597127549
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4751613592,1264.9187911471,4.4899483192,1405.5228493365998,4.4427611272,1303.5348306994997,4.4695810152,1347.8022135706,4.3272433672,1071.492972172,4.4041997992,1191.9388668955999,4.4228513912,1203.1715843101997,4.4042176152,1156.9844645798998,4.4432375832,1248.3151253543997,4.4827237112,1357.7258495468,4.4493020472,1250.7819100119,4.4306620552,1199.7476876432995,4.4599903592,1338.0756372869,4.4437373432,1227.5061256896995,4.3911004872,1188.9555463122,4.4502913272,1241.0263490663,4.4520503512,1245.4989914293,,,4.9667627032,1167.957624108
