numActiveSessions:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[6].tcp.conn-494 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,120,0,240,0.152722651986,0,0.152722651986,51,0.232932109586,51,0.232932109586,0.232932109585999968,0.312963951986,0.080031842399999996,0.313095487986,0.040137108800000001,0.909099780972,100000,1.1836212872,571.829125049290039
0.152722651986,1,1.1836212872,1,3.3374699672,1,1,105,1,240,2.3374699672,1,0.232932109586,47,0.312963951986,47,1,1,1.0800314664,0.0800314664,0.393334371986,0.120375992799999997,1.1836212872,13125,2.3374699672,885.0937145624500285
,,2.3374699672,2,4.3374699672,2,2,344,2,360,,,0.232932485586,247,0.313095487986,1499,2,2,2.0808733112,0.080873311199999991,0.393454291986,0.120495912799999992,2.3374699672,43000,3.4477700792,1119.091176650299982
,,3.3374699672,1,,,3,546,3,480,,,0.313095487986,47,0.393334371986,1499,2.3374699672,2.337469967199999657,3.0808832312,0.080883231199999988,0.473573255986,0.200614876800000007,3.4477700792,68250,4.4228513912,1203.1715843101997
,,3.4477700792,2,,,4,524,4,480,,,0.393334371986,47,0.393454291986,1499,3,3,4.0808758712,0.080875871200000004,0.473693175986,0.200734796800000003,4.4228513912,65500,,
,,4.3374699672,1,,,5,429,5,480,,,0.393454291986,47,0.473573255986,1499,3.3374699672,2.337469967199999657,,,0.475849613065,0.202891233878999987,,,,
,,4.4228513912,2,,,,,,,,,0.473573255986,47,0.473693175986,1499,4,3,,,0.479112160206,0.206153781019999981,,,,
,,,,,,,,,,,,0.473693175986,47,0.475849613065,1499,4.3374699672,2.337469967199999657,,,0.553812139986,0.280853760800000017,,,,
,,,,,,,,,,,,0.475849613065,47,0.479112160206,1499,5,3,,,0.553932059986,0.280973680799999957,,,,
,,,,,,,,,,,,0.479112160206,47,0.553812139986,1499,,,,,0.556008417065,0.283050037878999959,,,,
