numActiveSessions:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[15].tcp.conn-471 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,0.596572992966,47,0.599873921328,1499,,,,,0.606464732536,0.453525245208999948,,,,
,,,,,,,,,,,,0.599873921328,47,0.603359566076,1499,,,,,0.609833064007,0.456893576679999967,,,,
,,,,,,,,,,,,0.603359566076,47,0.606464732536,1499,,,,,0.613061388834,0.460121901506999939,,,,
,,,,,,,,,,,,0.606464732536,47,0.609833064007,1499,,,,,0.616408938616,0.463469451288999965,,,,
,,,,,,,,,,,,0.609833064007,47,0.613061388834,1499,,,,,0.619665766128,0.466726278800999925,,,,
,,,,,,,,,,,,0.613061388834,47,0.616408938616,1499,,,,,0.622931126128,0.46999163880099992,,,,
,,,,,,,,,,,,0.616408938616,47,0.619665766128,1499,,,,,0.626224892536,0.473285405208999974,,,,
,,,,,,,,,,,,0.619665766128,47,0.622931126128,1499,,,,,0.629557864899,0.476618377571999983,,,,
,,,,,,,,,,,,0.622931126128,47,0.626224892536,1499,,,,,0.632829818017,0.479890330689999975,,,,
,,,,,,,,,,,,0.626224892536,47,0.629557864899,1499,,,,,0.636124006557,0.48318451922999994,,,,
,,,,,,,,,,,,0.629557864899,47,0.632829818017,1499,,,,,0.639434081328,0.486494594000999922,,,,
,,,,,,,,,,,,0.632829818017,47,0.636124006557,1499,,,,,0.642766036159,0.489826548831999939,,,,
,,,,,,,,,,,,0.636124006557,47,0.639434081328,1499,,,,,0.646037337607,0.49309785027999997,,,,
,,,,,,,,,,,,0.639434081328,47,0.642766036159,1499,,,,,0.649328436323,0.496388948995999943,,,,
,,,,,,,,,,,,0.642766036159,47,0.646037337607,1499,,,,,0.652592133217,0.499652645890000022,,,,
,,,,,,,,,,,,0.646037337607,47,0.649328436323,1499,,,,,0.655903791478,0.502964304150999906,,,,
,,,,,,,,,,,,0.649328436323,47,0.652592133217,1499,,,,,0.659232080206,0.506292592878999857,,,,
,,,,,,,,,,,,0.652592133217,47,0.655903791478,1499,,,,,0.662491325759,0.509551838431999912,,,,
,,,,,,,,,,,,0.655903791478,47,0.659232080206,1499,,,,,0.665788681748,0.512849194420999852,,,,
,,,,,,,,,,,,0.659232080206,47,0.662491325759,1499,,,,,0.669066179797,0.516126692469999868,,,,
,,,,,,,,,,,,0.662491325759,47,0.665788681748,1499,,,,,0.672372863017,0.51943337569000003,,,,
,,,,,,,,,,,,0.665788681748,47,0.669066179797,1499,,,,,0.675709338616,0.522769851288999995,,,,
,,,,,,,,,,,,0.669066179797,47,0.672372863017,1499,,,,,0.679012160206,0.526072672878999945,,,,
,,,,,,,,,,,,0.672372863017,47,0.675709338616,1499,,,,,0.682260877015,0.529321389688000018,,,,
,,,,,,,,,,,,0.675709338616,47,0.679012160206,1499,,,,,0.685622524403,0.53268303707599984,,,,
,,,,,,,,,,,,0.679012160206,47,0.682260877015,1499,,,,,0.688886099797,0.535946612469999858,,,,
,,,,,,,,,,,,0.682260877015,47,0.685622524403,1499,,,,,0.692192133217,0.53925264588999999,,,,
,,,,,,,,,,,,0.685622524403,47,0.688886099797,1499,,,,,0.695489418616,0.542549931288999862,,,,
,,,,,,,,,,,,0.688886099797,47,0.692192133217,1499,,,,,0.698736590385,0.545797103057999997,,,,
,,,,,,,,,,,,0.692192133217,47,0.695489418616,1499,,,,,0.702028970928,0.549089483600999847,,,,
,,,,,,,,,,,,0.695489418616,47,0.698736590385,1499,,,,,0.705492702646,0.552553215319000032,,,,
,,,,,,,,,,,,0.698736590385,47,0.702028970928,1499,,,,,0.708602017336,0.555662530008999898,,,,
,,,,,,,,,,,,0.702028970928,47,0.705492702646,1499,,,,,0.788923007736,0.635983520408999856,,,,
,,,,,,,,,,,,0.705492702646,47,0.708602017336,1499,,,,,1.0809013224,0.040776628799999991,,,,
,,,,,,,,,,,,0.708602017336,47,0.788923007736,1311,,,,,1.0818704424,0.041745748799999995,,,,
,,,,,,,,,,,,0.788923007736,47,1.0807697864,47,,,,,1.0855258024,0.045401108799999992,,,,
,,,,,,,,,,,,1,247,1.0809013224,1499,,,,,1.0885515624,0.048426868799999994,,,,
,,,,,,,,,,,,1.0809013224,47,1.0818704424,1499,,,,,1.0921461224,0.052021428799999991,,,,
,,,,,,,,,,,,1.0818704424,47,1.0855258024,1499,,,,,1.0957677224,0.055643028799999993,,,,
,,,,,,,,,,,,1.0855258024,47,1.0885515624,1499,,,,,1.0986795624,0.058554868799999992,,,,
,,,,,,,,,,,,1.0885515624,47,1.0921461224,1499,,,,,1.1007302024,0.060605508799999998,,,,
,,,,,,,,,,,,1.0921461224,47,1.0957677224,1499,,,,,1.1047295624,0.064604868799999992,,,,
,,,,,,,,,,,,1.0957677224,47,1.0986795624,1499,,,,,1.1063065224,0.06618182879999998,,,,
,,,,,,,,,,,,1.0986795624,47,1.1007302024,1499,,,,,1.1118603624,0.071735668799999985,,,,
,,,,,,,,,,,,1.1007302024,47,1.1047295624,1499,,,,,1.1920858152,0.15196112159999997,,,,
,,,,,,,,,,,,1.1047295624,47,1.1063065224,1499,,,,,2.0821179672,0.041795673599999999,,,,
,,,,,,,,,,,,1.1063065224,47,1.1118603624,1499,,,,,2.0862125272,0.045890233599999996,,,,
,,,,,,,,,,,,1.1118603624,47,1.1920858152,200,,,,,2.0917708472,0.051448553600000001,,,,
,,,,,,,,,,,,1.1920858152,47,2.0819864312,47,,,,,2.0973990872,0.057076793599999994,,,,
,,,,,,,,,,,,2,247,2.0821179672,1499,,,,,2.1036075672,0.063285273599999996,,,,
,,,,,,,,,,,,2.0821179672,47,2.0862125272,1499,,,,,2.1095341272,0.069211833599999994,,,,
,,,,,,,,,,,,2.0862125272,47,2.0917708472,1499,,,,,2.1156158872,0.075293593599999985,,,,
,,,,,,,,,,,,2.0917708472,47,2.0973990872,1499,,,,,2.1214777272,0.081155433599999992,,,,
,,,,,,,,,,,,2.0973990872,47,2.1036075672,1499,,,,,2.1273024472,0.086980153599999998,,,,
,,,,,,,,,,,,2.1036075672,47,2.1095341272,1499,,,,,2.1331233272,0.092801033599999998,,,,
,,,,,,,,,,,,2.1095341272,47,2.1156158872,1499,,,,,2.1422437272,0.101921433599999999,,,,
,,,,,,,,,,,,2.1156158872,47,2.1214777272,1499,,,,,2.1478086872,0.107486393599999979,,,,
,,,,,,,,,,,,2.1214777272,47,2.1273024472,1499,,,,,2.1536267672,0.113304473599999982,,,,
,,,,,,,,,,,,2.1273024472,47,2.1331233272,1499,,,,,2.1593607672,0.119038473599999999,,,,
,,,,,,,,,,,,2.1331233272,47,2.1422437272,1499,,,,,2.1683055672,0.127983273600000002,,,,
,,,,,,,,,,,,2.1422437272,47,2.1478086872,1499,,,,,2.1740857272,0.13376343359999998,,,,
,,,,,,,,,,,,2.1478086872,47,2.1536267672,1499,,,,,2.1795654872,0.139243193599999981,,,,
,,,,,,,,,,,,2.1536267672,47,2.1593607672,1499,,,,,2.1881751672,0.147852873599999989,,,,
,,,,,,,,,,,,2.1593607672,47,2.1683055672,1499,,,,,2.1934863672,0.153164073600000005,,,,
,,,,,,,,,,,,2.1683055672,47,2.1740857272,1499,,,,,2.1994044472,0.159082153599999997,,,,
,,,,,,,,,,,,2.1740857272,47,2.1795654872,1499,,,,,2.2070957272,0.166773433599999964,,,,
,,,,,,,,,,,,2.1795654872,47,2.1881751672,1499,,,,,2.2122822872,0.17195999359999997,,,,
,,,,,,,,,,,,2.1881751672,47,2.1934863672,1499,,,,,2.2195480472,0.17922575359999998,,,,
,,,,,,,,,,,,2.1934863672,47,2.1994044472,1499,,,,,2.2252963672,0.184974073600000009,,,,
,,,,,,,,,,,,2.1994044472,47,2.2070957272,1499,,,,,2.2329100472,0.192587753599999965,,,,
,,,,,,,,,,,,2.2070957272,47,2.2122822872,1499,,,,,2.2388281272,0.198505833599999958,,,,
,,,,,,,,,,,,2.2122822872,47,2.2195480472,1499,,,,,2.2448980472,0.204575753599999964,,,,
,,,,,,,,,,,,2.2195480472,47,2.2252963672,1499,,,,,2.2525802872,0.212257993599999971,,,,
,,,,,,,,,,,,2.2252963672,47,2.2329100472,1499,,,,,2.2544090872,0.21408679359999999,,,,
,,,,,,,,,,,,2.2329100472,47,2.2388281272,1499,,,,,2.2588998872,0.218577593600000007,,,,
,,,,,,,,,,,,2.2388281272,47,2.2448980472,1499,,,,,2.2647486072,0.224426313599999981,,,,
,,,,,,,,,,,,2.2448980472,47,2.2525802872,1499,,,,,2.2714061272,0.231083833600000009,,,,
,,,,,,,,,,,,2.2525802872,47,2.2544090872,1499,,,,,2.2755134072,0.2351911136,,,,
,,,,,,,,,,,,2.2544090872,47,2.2588998872,1499,,,,,2.2784154872,0.238093193599999973,,,,
,,,,,,,,,,,,2.2588998872,47,2.2647486072,1499,,,,,2.2848904472,0.244568153600000003,,,,
,,,,,,,,,,,,2.2647486072,47,2.2714061272,1499,,,,,2.2868271672,0.246504873600000006,,,,
,,,,,,,,,,,,2.2714061272,47,2.2755134072,1499,,,,,2.2913224472,0.251000153599999941,,,,
,,,,,,,,,,,,2.2755134072,47,2.2784154872,1499,,,,,2.2954436472,0.255121353599999988,,,,
,,,,,,,,,,,,2.2784154872,47,2.2848904472,1499,,,,,2.2976058072,0.257283513600000012,,,,
,,,,,,,,,,,,2.2848904472,47,2.2868271672,1499,,,,,2.3028239672,0.262501673599999983,,,,
,,,,,,,,,,,,2.2868271672,47,2.2913224472,1499,,,,,2.3043148472,0.263992553599999956,,,,
,,,,,,,,,,,,2.2913224472,47,2.2954436472,1499,,,,,2.3088778072,0.268555513599999961,,,,
,,,,,,,,,,,,2.2954436472,47,2.2976058072,1499,,,,,2.3115479672,0.271225673599999937,,,,
,,,,,,,,,,,,2.2976058072,47,2.3028239672,1499,,,,,2.3177614072,0.277439113599999952,,,,
,,,,,,,,,,,,2.3028239672,47,2.3043148472,1499,,,,,2.3978803672,0.357558073600000024,,,,
,,,,,,,,,,,,2.3043148472,47,2.3088778072,1499,,,,,3.0821278872,0.0418085064,,,,
,,,,,,,,,,,,2.3088778072,47,2.3115479672,1499,,,,,3.0880951672,0.047775786399999991,,,,
,,,,,,,,,,,,2.3115479672,47,2.3177614072,1499,,,,,3.0937009272,0.053381546399999993,,,,
,,,,,,,,,,,,2.3177614072,47,2.3978803672,159,,,,,3.0994927672,0.059173386399999999,,,,
,,,,,,,,,,,,2.3978803672,47,3.0819963512,47,,,,,3.1055367672,0.065217386399999993,,,,
,,,,,,,,,,,,3,247,3.0821278872,1499,,,,,3.1112450072,0.070925626399999996,,,,
,,,,,,,,,,,,3.0821278872,47,3.0880951672,1499,,,,,3.1170418872,0.0767225064,,,,
,,,,,,,,,,,,3.0880951672,47,3.0937009272,1499,,,,,3.1224957272,0.082176346399999988,,,,
,,,,,,,,,,,,3.0937009272,47,3.0994927672,1499,,,,,3.1283046072,0.087985226400000004,,,,
,,,,,,,,,,,,3.0994927672,47,3.1055367672,1499,,,,,3.1337670072,0.093447626399999982,,,,
,,,,,,,,,,,,3.1055367672,47,3.1112450072,1499,,,,,3.1396610872,0.099341706399999978,,,,
