numActiveSessions:vector baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[9].tcp.conn-473 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.038820442986,51,0.119029900586,51,1.119029900586,40,1.1991074712,0.080077570614000004,1.1991147512,40,1.1991147512,0.040073165014000003
0.038820442986,1,0.119029900586,47,1.1991074712,47,1.169029900586,40,1.2793060312,0.080198560000000001,1.2793133112,40,1.2793133112,0.040190954399999992
,,1.119029900586,87,1.1991147512,87,1.219029900586,40,1.3594341112,0.08012807999999999,1.3594449112,80,1.3594449112,0.040120762399999995
,,1.1991074712,87,1.2793060312,47,1.269029900586,40,1.4404478712,0.081013759999999989,1.4404551512,40,1.3594449112,0.040120762399999995
,,1.1991147512,47,1.2793133112,87,1.319029900586,40,1.5206874712,0.080239599999999993,1.5206982712,80,1.4404551512,0.041005578399999992
,,1.2793060312,127,1.3594341112,47,1.369029900586,40,1.6007845912,0.080097119999999993,1.6007953912,80,1.5206982712,0.040232282399999999
,,1.2793133112,47,1.3594449112,127,1.419029900586,40,1.6808370712,0.080052479999999981,1.6808443512,40,1.5206982712,0.040232282399999999
,,1.3594341112,87,1.4404478712,47,1.469029900586,40,1.7611309112,0.080293840000000004,1.7611811352,528,1.6007953912,0.040092682399999995
,,1.3594449112,47,1.4404551512,87,1.519029900586,40,2.8415806712,0.080399535999999993,2.8415879512,40,1.6007953912,0.040092682399999995
,,1.4404478712,127,1.5206874712,47,1.569029900586,40,2.9217819512,0.080201279999999985,2.9217892312,40,1.6808443512,0.040044298399999997
,,1.4404551512,47,1.5206982712,127,1.619029900586,40,3.0020553912,0.080273440000000001,3.0020661912,80,1.7611811352,0.040329178399999998
,,1.5206874712,127,1.6007845912,47,2.7611811352,40,3.0824910712,0.080435679999999981,3.0824983512,40,2.8415879512,0.040397738399999993
,,1.5206982712,47,1.6007953912,127,2.8111811352,40,3.1632924312,0.080801359999999988,3.1633032312,80,2.9217892312,0.040193674399999989
,,1.6007845912,87,1.6808370712,47,2.8611811352,40,3.2454369112,0.082144479999999991,3.2454477112,80,3.0020661912,0.040266122399999992
,,1.6007953912,47,1.6808443512,87,2.9111811352,40,3.3260100312,0.080573119999999997,3.3260173112,40,3.0020661912,0.040266122399999992
,,1.6808370712,87,1.7611309112,47,2.9611811352,40,3.4061596312,0.080149599999999987,3.4062098552,528,3.0824983512,0.040427498399999997
,,1.6808443512,47,1.7611811352,575,3.0111811352,40,4.4864819512,0.080272095999999986,4.4864892312,40,3.1633032312,0.040794042399999993
,,1.7611811352,47,2.8415806712,47,3.0611811352,40,4.5667413912,0.080259439999999987,4.5667486712,40,3.1633032312,0.040794042399999993
,,2.7611811352,87,2.8415879512,87,3.1111811352,40,4.6467707512,0.080029359999999993,4.6467815512,80,3.2454477112,0.042136586399999994
,,2.8415806712,87,2.9217819512,47,3.1611811352,40,4.7268153112,0.080044559999999986,4.7268225912,40,3.2454477112,0.042136586399999994
,,2.8415879512,47,2.9217892312,87,3.2111811352,40,4.8070889112,0.0802736,4.8070997112,80,3.3260173112,0.0405649384
,,2.9217819512,127,3.0020553912,47,3.2611811352,40,4.8872777912,0.080188879999999989,4.8872885912,80,3.4062098552,0.040184938399999994
,,2.9217892312,47,3.0020661912,127,4.4062098552,40,4.9676072312,0.080329440000000001,4.9676145112,40,4.4864892312,0.0402676904
,,3.0020553912,87,3.0824910712,47,4.4562098552,40,,,,,4.5667486712,0.040251834399999991
,,3.0020661912,47,3.0824983512,87,4.5062098552,40,,,,,4.6467815512,0.040022042399999998
,,3.0824910712,127,3.1632924312,47,4.5562098552,40,,,,,4.6467815512,0.040022042399999998
,,3.0824983512,47,3.1633032312,127,4.6062098552,40,,,,,4.7268225912,0.040036378400000002
,,3.1632924312,127,3.2454369112,47,4.6562098552,40,,,,,4.8070997112,0.040266282399999991
,,3.1633032312,47,3.2454477112,127,4.7062098552,40,,,,,4.8070997112,0.040266282399999991
,,3.2454369112,87,3.3260100312,47,4.7562098552,40,,,,,4.8872885912,0.040180986399999993
,,3.2454477112,47,3.3260173112,87,4.8062098552,40,,,,,4.8872885912,0.040180986399999993
,,3.3260100312,87,3.4061596312,47,4.8562098552,40,,,,,4.9676145112,0.04032125839999999
,,3.3260173112,47,3.4062098552,575,4.9062098552,40,,,,,,
,,3.4062098552,47,4.4864819512,47,,,,,,,,
,,4.4062098552,87,4.4864892312,87,,,,,,,,
,,4.4864819512,87,4.5667413912,47,,,,,,,,
,,4.4864892312,47,4.5667486712,87,,,,,,,,
,,4.5667413912,127,4.6467707512,47,,,,,,,,
,,4.5667486712,47,4.6467815512,127,,,,,,,,
,,4.6467707512,87,4.7268153112,47,,,,,,,,
,,4.6467815512,47,4.7268225912,87,,,,,,,,
,,4.7268153112,127,4.8070889112,47,,,,,,,,
,,4.7268225912,47,4.8070997112,127,,,,,,,,
,,4.8070889112,127,4.8872777912,47,,,,,,,,
,,4.8070997112,47,4.8872885912,127,,,,,,,,
,,4.8872777912,87,4.9676072312,47,,,,,,,,
,,4.8872885912,47,4.9676145112,87,,,,,,,,
,,4.9676072312,87,,,,,,,,,,
,,4.9676145112,47,,,,,,,,,,
