rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[21].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[21].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.951888236794,75,0.951888236794,0.060106859999999997,2.091888236794,0,2.091888236794,0.019999999999999996,2.091888236794,0,2.091888236794,4.369026056673099827,2.091888236794,0
0.971833942723,75,0.971833942723,0.06005256592899999,3.3869075352,0.017241379310345,3.3869075352,0.019999999999999996,3.3869075352,0,3.3869075352,3.945988478775199742,3.3869075352,0
0.991799336972,75,0.991799336972,0.060017960177999998,3.9254243352,0,3.9254243352,0.019999999999999996,3.9254243352,0,3.9254243352,4.368973519356400087,3.9254243352,0
1.011871055207,75,1.011871055207,0.060089678413000002,5,0,5,0.019999999999999996,5,0,5,4.369013687182899717,5,0
1.031888236794,75,1.031888236794,0.060106859999999997,,,,,,,,,,
1.051813066723,75,1.051813066723,0.060031689929,,,,,,,,,,
2.2288033752,75,2.2288033752,0.062099989851,,,,,,,,,,
2.2472684152,75,2.2472684152,0.060565029850999998,,,,,,,,,,
2.2667998552,75,2.2667998552,0.060096469850999992,,,,,,,,,,
2.2868217752,75,2.2868217752,0.060118389851,,,,,,,,,,
2.3068217752,75,2.3068217752,0.060118389851,,,,,,,,,,
2.3268360152,75,2.3268360152,0.060132629850999999,,,,,,,,,,
2.3467461752,75,2.3467461752,0.060042789850999991,,,,,,,,,,
2.3667652952,75,2.3667652952,0.060061909851000002,,,,,,,,,,
