numActiveSessions:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[14].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[14].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[14].tcp.conn-618 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,101,0,240,0.781719436769,0,0.781719436769,51,0.861917156528,51,0.861917156528,0.861917156527999936,0.941948998928,0.080031842399999996,0.942080534928,0.040137108800000001,1.5409938232,100000,1.7303486152,723.509548150229873
0.781719436769,1,1.7303486152,1,3.4182267192,1,1.5409938232,137,1.5409938232,240,2.4182267192,1,0.861917156528,47,0.941948998928,47,1.5409938232,1.540993823199999993,1.6212697912,0.080275968000000002,1.022350150032,0.120406723903999978,1.7303486152,17125,2.4182267192,1238.030196588699706
,,2.4182267192,2,4.4182267192,2,2,610,2,480,,,0.861917532528,247,0.942080534928,1499,2,2,2.0818627512,0.0818627512,1.022470070032,0.120526643904000001,2.4182267192,76250,3.4372183112,1224.758496643099985
,,3.4182267192,1,,,3,533,3,480,,,0.942080534928,47,1.022350150032,1499,2.4182267192,2.418226719199999752,3.0818726712,0.081872671199999996,1.1026609224,0.200717496271999972,3.4372183112,66625,4.3911004872,1188.955546312200108
,,3.4372183112,2,,,4,459,4,480,,,1.022350150032,47,1.022470070032,1499,3,3,4.0818653112,0.081865311199999984,1.1027868424,0.200843416271999974,4.3911004872,57375,,
,,4.3911004872,3,,,5,520,5,480,,,1.022470070032,47,1.1026609224,1499,3.4182267192,2.418226719199999752,,,1.1071519624,0.205208536271999974,,,,
,,4.4182267192,2,,,,,,,,,1.1026609224,47,1.1027868424,1499,4,3,,,1.1089687624,0.207025336271999981,,,,
,,,,,,,,,,,,1.1027868424,47,1.1071519624,1499,4.4182267192,2.418226719199999752,,,1.1830185272,0.281075101071999954,,,,
,,,,,,,,,,,,1.1071519624,47,1.1089687624,1499,5,3,,,1.1831384472,0.281195021072000005,,,,
,,,,,,,,,,,,1.1089687624,47,1.1830185272,1499,,,,,1.1868828472,0.284939421071999986,,,,
