numActiveSessions:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[3].tcp.conn-638 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,354,0,360,0.919424795322,0,0.919424795322,51,0.999440720166,51,1.079475304802,0.080034584635999994,1.079606840802,0.040139851035999998,1.7666568632,100000
0.919424795322,1,2.9399111592,5,3.9399111592,1,1.7666568632,401,1.7666568632,360,2.9399111592,1,0.999440720166,47,1.079475304802,47,1.8467422712,0.080085407999999996,1.159864510021,0.120397520255,2.9399111592,250625
,,3.9399111592,4,4.9399111592,2,2.9399111592,336,2.9399111592,360,,,0.999441096166,247,1.079606840802,1499,3.0200012312,0.080090071999999984,1.159984430021,0.120517440254999996,4.0076547672,210000
,,4.0076547672,9,,,4.0076547672,300,4.0076547672,360,,,1.079606840802,47,1.159864510021,1499,4.0922737112,0.084618944000000001,1.2401218072,0.200654817433999987,4.9837570072,187500
,,4.9399111592,8,,,4.9837570072,297,4.9837570072,360,,,1.159864510021,47,1.159984430021,1499,,,1.2402477272,0.200780737433999988,,
,,4.9837570072,13,,,,,,,,,1.159984430021,47,1.2401218072,1499,,,1.2438813272,0.204414337434000003,,
,,,,,,,,,,,,1.2401218072,47,1.2402477272,1499,,,1.2490858872,0.209618897433999972,,
,,,,,,,,,,,,1.2402477272,47,1.2438813272,1499,,,1.3204312472,0.280964257433999996,,
,,,,,,,,,,,,1.2438813272,47,1.2490858872,1499,,,1.3205511672,0.281084177433999936,,
,,,,,,,,,,,,1.2490858872,47,1.3204312472,1499,,,1.3241787672,0.284711777434,,
