rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[4].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[4].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.919425303322,51,0.999440212166,51
0.999441196166,47,1.079474828802,47
0.999443172166,247,1.079594748802,1499
1.079607316802,47,1.159852418021,1499
1.159864986021,47,1.159972338021,1499
1.159984906021,47,1.2401097152,1499
1.2401222832,47,1.2402356352,1499
1.2402482032,47,1.2438692352,1499
1.2438818032,47,1.2490737952,1499
1.2490863632,47,1.3204191552,1499
1.3204317232,47,1.3205390752,1499
1.3205516432,47,1.3241666752,1499
1.3241792432,47,1.3294761152,1499
1.3294886832,47,1.3349002752,1499
1.3349128432,47,1.3400885152,1499
1.3401010832,47,1.3456545152,1499
1.3456670832,47,1.3508577952,1499
1.3508703632,47,1.4006676352,1499
1.4006802032,47,1.4007875552,1499
1.4008001232,47,1.4068375552,1499
1.4068501232,47,1.4096234752,1499
1.4096360432,47,1.4166227552,1499
1.4166353232,47,1.4204986752,1499
1.4205112432,47,1.4277822752,1499
1.4277948432,47,1.4310381152,1499
1.4310506832,47,1.4407001952,1499
1.4407127632,47,1.4458346752,1499
1.4458472432,47,1.4507921152,1499
1.4508046832,47,1.4617486752,1499
1.4617612432,47,1.4618685952,1499
1.4618811632,47,1.4721977952,1499
1.4722103632,47,1.4752352352,1499
1.4752478032,47,1.4828489152,1499
1.4828614832,47,1.4872080352,1499
1.4872206032,47,1.4935937952,1499
1.4936063632,47,1.4989229952,1499
1.4989355632,47,1.5043828352,1499
1.5043954032,47,1.5093661952,1499
1.5093787632,47,1.5150204352,1499
1.5150330032,47,1.5181623552,1499
1.5181749232,47,1.5257494752,1499
1.5257620432,47,1.5286701952,1499
1.5286827632,47,1.5363955552,1499
1.5364081232,47,1.5378465952,1499
1.5378591632,47,1.5470379552,1499
1.5470505232,47,1.5508046752,1499
1.5508172432,47,1.5579198752,1499
1.5579324432,47,1.5641005152,1499
1.5641130832,47,1.5684536352,1499
1.5684662032,47,1.5769431552,1499
1.5769557232,47,1.5791137152,1499
1.5791262832,47,1.5900307552,1499
1.5900433232,47,1.5907609952,1499
1.5907735632,47,1.6005345152,1499
1.6005470832,47,1.6024870752,1499
1.6024996432,47,1.6113721152,1499
1.6113846832,47,1.6151076352,1499
1.6151202032,47,1.6221087552,1499
1.6221213232,47,1.6281754752,1499
1.6281880432,47,1.6326570752,1499
1.6326696432,47,1.6435621152,1499
1.6435746832,47,1.6438019552,1499
1.6438145232,47,1.6541955552,1499
1.6542081232,47,1.6545553152,1499
1.6545678832,47,1.6613374752,1499
1.6613500432,47,1.6651086752,1499
1.6651212432,47,1.6710533152,1499
1.6710658832,47,1.6755143552,1499
1.6755269232,47,1.6813232352,1499
1.6813358032,47,1.6863321952,1499
1.6863447632,47,1.7666462752,1311
1.7666573392,47,1.8467417952,47
1.7666593152,247,1.8468617152,1499
1.8468742832,47,1.8471015552,1499
1.8471141232,47,1.8523625152,1499
1.8523750832,47,1.8561207552,1499
1.8561333232,47,1.8652006752,1499
1.8652132432,47,1.8687023552,1499
1.8687149232,47,1.8758781152,1499
1.8758906832,47,1.8794151552,1499
1.8794277232,47,1.8870288352,1499
1.8870414032,47,1.8902297152,1499
1.8902422832,47,1.8951010752,1499
1.8951136432,47,1.8989208352,1499
1.8989334032,47,1.9062131552,1499
1.9062257232,47,1.9095729152,1499
1.9095854832,47,1.9149132352,1499
1.9149258032,47,1.9203433952,1499
1.9203559632,47,1.9285649952,1499
1.9285775632,47,1.9309893152,1499
1.9310018832,47,1.9387428352,1499
1.9387554032,47,1.9417528352,1499
1.9417654032,47,1.9486561952,1499
1.9486687632,47,1.9524210752,1499
1.9524336432,47,1.9593849152,1499
1.9593974832,47,1.9631542752,1499
1.9631668432,47,1.9707809152,1499
1.9707934832,47,1.9738303552,1499
1.9738429232,47,1.9807944352,1499
1.9808070032,47,1.9845419552,1499
1.9845545232,47,1.9929133152,1499
1.9929258832,47,1.9953297152,1499
1.9953422832,47,2.0034243552,1499
2.0034369232,47,2.0060044352,1499
2.0060170032,47,2.0141511552,1499
2.0141637232,47,2.0166694752,1499
2.0166820432,47,2.0249697952,1499
2.0249823632,47,2.0273909152,1499
2.0274034832,47,2.0362734752,1499
2.0362860432,47,2.0381009952,1499
2.0381135632,47,2.0462640352,1499
2.0462766032,47,2.0488003552,1499
