numActiveSessions:vector baselineTestQoS.hostSSH[17].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[17].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[17].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[17].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[17].tcp.conn-651 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[17].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[17].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,roundTripTime:vector baselineTestQoS.hostSSH[17].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.965266144485,51,1.045292615603,51,2.045292615603,40,2.1276543512,0.082361735596999996,2.1276616312,40,2.1276616312,0.042357329996999995,2.6932731352,0.080991286948999985
0.965266144485,1,1.045292615603,47,2.1276543512,47,2.095292615603,40,2.2126341912,0.08497984,2.2126414712,40,2.2126414712,0.044972234399999991,,
3.6932731352,0,2.045292615603,87,2.1276616312,87,2.145292615603,40,2.2928855512,0.080251359999999993,2.2928963512,80,2.2928963512,0.040244042399999998,,
4.7733333112,1,2.1276543512,87,2.2126341912,47,2.195292615603,40,2.3729207512,0.0800352,2.3729280312,40,2.2928963512,0.040244042399999998,,
,,2.1276616312,47,2.2126414712,87,2.245292615603,40,2.4529718712,0.080051120000000003,2.4529826712,80,2.3729280312,0.040027018400000002,,
,,2.2126341912,127,2.2928855512,47,2.295292615603,40,2.5330222712,0.080050399999999993,2.5330330712,80,2.4529826712,0.040043802399999994,,
,,2.2126414712,47,2.2928963512,127,2.345292615603,40,2.6131605912,0.080138319999999984,2.6131678712,40,2.4529826712,0.040043802399999994,,
,,2.2928855512,87,2.3729207512,47,2.395292615603,40,2.6932229112,0.080062319999999992,2.6932731352,528,2.5330330712,0.040042506399999996,,
,,2.2928963512,47,2.3729280312,87,2.445292615603,40,,,,,2.5330330712,0.040042506399999996,,
,,2.3729207512,127,2.4529718712,47,2.495292615603,40,,,,,2.6131678712,0.0401301384,,
,,2.3729280312,47,2.4529826712,127,2.545292615603,40,,,,,2.6932731352,0.040097658399999999,,
,,2.4529718712,127,2.5330222712,47,,,,,,,,,,
,,2.4529826712,47,2.5330330712,127,,,,,,,,,,
,,2.5330222712,87,2.6131605912,47,,,,,,,,,,
,,2.5330330712,47,2.6131678712,87,,,,,,,,,,
,,2.6131605912,87,2.6932229112,47,,,,,,,,,,
,,2.6131678712,47,2.6932731352,575,,,,,,,,,,
,,2.6932731352,47,3.7733295512,47,,,,,,,,,,
,,3.6932731352,47,3.7733333112,47,,,,,,,,,,
,,3.7733333112,47,4.8535567832,51,,,,,,,,,,
,,4.7733333112,51,,,,,,,,,,,,
,,4.8535567832,47,,,,,,,,,,,,
