rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[20].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[20].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.647791524323,75,0.647791524323,0.06012677999999999,4.367791524323,0,4.367791524323,0.019999999999999996,4.367791524323,0,4.367791524323,4.369015300417299112,4.367791524323,0
0.667990349607,75,0.667990349607,0.060325605283999994,,,,,,,,,,
0.687736465336,75,0.687736465336,0.060071721012999998,,,,,,,,,,
0.70771786661,75,0.70771786661,0.060053122286999993,,,,,,,,,,
0.727771604323,75,0.727771604323,0.060106859999999997,,,,,,,,,,
0.74783778661,75,0.74783778661,0.060173042287000002,,,,,,,,,,
0.76772194661,75,0.76772194661,0.060057202286999996,,,,,,,,,,
0.787791524323,75,0.787791524323,0.06012677999999999,,,,,,,,,,
0.807771604323,75,0.807771604323,0.060106859999999997,,,,,,,,,,
0.827771604323,75,0.827771604323,0.060106859999999997,,,,,,,,,,
0.84773939141,75,0.84773939141,0.060074647086999999,,,,,,,,,,
0.867728553336,75,0.867728553336,0.060063809012999999,,,,,,,,,,
0.887771604323,75,0.887771604323,0.060106859999999997,,,,,,,,,,
0.907959492972,75,0.907959492972,0.060294748649000001,,,,,,,,,,
0.927736586003,75,0.927736586003,0.060071841680000001,,,,,,,,,,
0.947791524323,75,0.947791524323,0.06012677999999999,,,,,,,,,,
0.967694750407,75,0.967694750407,0.060030006083999998,,,,,,,,,,
0.98771786661,75,0.98771786661,0.060053122286999993,,,,,,,,,,
1.007731314876,75,1.007731314876,0.060066570552999992,,,,,,,,,,
1.027718242936,75,1.027718242936,0.060053498612999994,,,,,,,,,,
1.047691324807,75,1.047691324807,0.060026580484000002,,,,,,,,,,
1.06771571141,75,1.06771571141,0.060050967087,,,,,,,,,,
1.0877007304,75,1.0877007304,0.060035986077000002,,,,,,,,,,
1.1077521704,75,1.1077521704,0.060087426077000002,,,,,,,,,,
1.127688409442,75,1.127688409442,0.060023665118999993,,,,,,,,,,
1.147719924948,75,1.147719924948,0.060055180624999995,,,,,,,,,,
1.1677888152,75,1.1677888152,0.060124070877000001,,,,,,,,,,
1.1877228952,75,1.1877228952,0.06005815087699999,,,,,,,,,,
1.2077236952,75,1.2077236952,0.060058950877,,,,,,,,,,
1.2277499352,75,1.2277499352,0.060085190876999996,,,,,,,,,,
1.2477493752,75,1.2477493752,0.060084630877,,,,,,,,,,
1.2677392152,75,1.2677392152,0.060074470876999991,,,,,,,,,,
1.2876780952,75,1.2876780952,0.060013350876999993,,,,,,,,,,
1.3077455352,75,1.3077455352,0.060080790876999995,,,,,,,,,,
1.3279268952,75,1.3279268952,0.060262150877,,,,,,,,,,
