numActiveSessions:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[5].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[5].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[5].tcp.conn-586 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[5].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,380,0,360,0.615626422961,0,0.615626422961,51,0.695703759416,51,0.775854322616,0.080150563199999996,0.775985858616,0.0402558296,1.4516410232,100000
0.615626422961,1,2.3609189992,5,3.3609189992,1,1.4516410232,285,1.4516410232,360,2.3609189992,1,0.695703759416,47,0.775854322616,47,1.5316951512,0.080054128000000001,0.856224742616,0.120494713599999997,2.3609189992,178125
,,3.3609189992,4,4.3609189992,2,2.3609189992,371,2.3609189992,360,,,0.695704135416,247,0.775985858616,1499,2.4409880312,0.080069031999999984,0.856344662616,0.120614633599999992,3.5071539272,231875
,,3.5071539272,9,,,3.5071539272,374,3.5071539272,360,,,0.775985858616,47,0.856224742616,1499,3.5871865112,0.080032583999999989,0.936463626616,0.200733597599999978,4.6485893912,233750
,,4.3609189992,8,,,4.6485893912,334,4.6485893912,360,,,0.856224742616,47,0.856344662616,1499,4.7286248312,0.080035439999999985,0.936583546616,0.200853517599999974,,
,,4.6485893912,13,,,,,,,,,0.856344662616,47,0.936463626616,1499,,,0.940109205006,0.204379175989999994,,
,,,,,,,,,,,,0.936463626616,47,0.936583546616,1499,,,0.94545042113,0.209720392114000008,,
,,,,,,,,,,,,0.936583546616,47,0.940109205006,1499,,,1.016707311416,0.280977282399999971,,
,,,,,,,,,,,,0.940109205006,47,0.94545042113,1499,,,1.016827231416,0.281097202400000022,,
,,,,,,,,,,,,0.94545042113,47,1.016707311416,1499,,,1.020404288637,0.284674259621000012,,
,,,,,,,,,,,,1.016707311416,47,1.016827231416,1499,,,1.02580202593,0.290071996913999984,,
,,,,,,,,,,,,1.016827231416,47,1.020404288637,1499,,,1.031143965336,0.295413936320000013,,
,,,,,,,,,,,,1.020404288637,47,1.02580202593,1499,,,1.036460879617,0.30073085060100002,,
,,,,,,,,,,,,1.02580202593,47,1.031143965336,1499,,,1.041875005865,0.306144976848999993,,
,,,,,,,,,,,,1.031143965336,47,1.036460879617,1499,,,1.047214999603,0.311484970586999975,,
,,,,,,,,,,,,1.036460879617,47,1.041875005865,1499,,,1.0970988424,0.361368813383999952,,
,,,,,,,,,,,,1.041875005865,47,1.047214999603,1499,,,1.0972187624,0.361488733384000003,,
,,,,,,,,,,,,1.047214999603,47,1.0970988424,1499,,,1.1009760424,0.365246013383999976,,
,,,,,,,,,,,,1.0970988424,47,1.0972187624,1499,,,1.1060666824,0.370336653384000012,,
,,,,,,,,,,,,1.0972187624,47,1.1009760424,1499,,,1.1115006024,0.375770573383999994,,
,,,,,,,,,,,,1.1009760424,47,1.1060666824,1499,,,1.1167958024,0.381065773383999937,,
,,,,,,,,,,,,1.1060666824,47,1.1115006024,1499,,,1.122635923837,0.386905894821000016,,
,,,,,,,,,,,,1.1115006024,47,1.1167958024,1499,,,1.127447961442,0.391717932425999946,,
,,,,,,,,,,,,1.1167958024,47,1.122635923837,1499,,,1.133117788597,0.39738775958099992,,
,,,,,,,,,,,,1.122635923837,47,1.127447961442,1499,,,1.138146217395,0.402416188378999948,,
,,,,,,,,,,,,1.127447961442,47,1.133117788597,1499,,,1.143502411829,0.407772382812999988,,
,,,,,,,,,,,,1.133117788597,47,1.138146217395,1499,,,1.148936516948,0.413206487931999986,,
,,,,,,,,,,,,1.138146217395,47,1.143502411829,1499,,,1.154384177772,0.418654148755999931,,
,,,,,,,,,,,,1.143502411829,47,1.148936516948,1499,,,1.159624670021,0.42389464100499996,,
,,,,,,,,,,,,1.148936516948,47,1.154384177772,1499,,,1.1653740472,0.429644018183999996,,
,,,,,,,,,,,,1.154384177772,47,1.159624670021,1499,,,1.1703305272,0.434600498183999925,,
,,,,,,,,,,,,1.159624670021,47,1.1653740472,1499,,,1.1774377264,0.44170769738399995,,
,,,,,,,,,,,,1.1653740472,47,1.1703305272,1499,,,1.1810566864,0.445326657384000011,,
,,,,,,,,,,,,1.1703305272,47,1.1774377264,1499,,,1.1866370072,0.450906978183999938,,
,,,,,,,,,,,,1.1774377264,47,1.1810566864,1499,,,1.1918235672,0.456093538184,,
,,,,,,,,,,,,1.1810566864,47,1.1866370072,1499,,,1.1987555672,0.463025538183999938,,
,,,,,,,,,,,,1.1866370072,47,1.1918235672,1499,,,1.2026217272,0.466891698184000001,,
,,,,,,,,,,,,1.1918235672,47,1.1987555672,1499,,,1.2086944472,0.472964418183999922,,
,,,,,,,,,,,,1.1987555672,47,1.2026217272,1499,,,1.2131494872,0.477419458183999998,,
,,,,,,,,,,,,1.2026217272,47,1.2086944472,1499,,,1.2186735672,0.482943538183999929,,
,,,,,,,,,,,,1.2086944472,47,1.2131494872,1499,,,1.2238781272,0.488148098183999955,,
,,,,,,,,,,,,1.2131494872,47,1.2186735672,1499,,,1.2294522072,0.493722178183999992,,
,,,,,,,,,,,,1.2186735672,47,1.2238781272,1499,,,1.2345634872,0.498833458183999931,,
,,,,,,,,,,,,1.2238781272,47,1.2294522072,1499,,,1.2400018872,0.504271858183999997,,
,,,,,,,,,,,,1.2294522072,47,1.2345634872,1499,,,1.2452184472,0.509488418184000033,,
,,,,,,,,,,,,1.2345634872,47,1.2400018872,1499,,,1.2507707672,0.515040738183999865,,
,,,,,,,,,,,,1.2400018872,47,1.2452184472,1499,,,1.2559362872,0.5202062581839999,,
,,,,,,,,,,,,1.2452184472,47,1.2507707672,1499,,,1.2615113272,0.525781298183999987,,
,,,,,,,,,,,,1.2507707672,47,1.2559362872,1499,,,1.2666533272,0.530923298183999967,,
,,,,,,,,,,,,1.2559362872,47,1.2615113272,1499,,,1.2721996472,0.53646961818399985,,
,,,,,,,,,,,,1.2615113272,47,1.2666533272,1499,,,1.2773982072,0.541668178184000035,,
,,,,,,,,,,,,1.2666533272,47,1.2721996472,1499,,,1.2836794072,0.54794937818399991,,
,,,,,,,,,,,,1.2721996472,47,1.2773982072,1499,,,1.2880492472,0.55231921818399998,,
,,,,,,,,,,,,1.2773982072,47,1.2836794072,1499,,,1.2939660472,0.558236018184000036,,
,,,,,,,,,,,,1.2836794072,47,1.2880492472,1499,,,1.2987928472,0.563062818183999833,,
,,,,,,,,,,,,1.2880492472,47,1.2939660472,1499,,,1.3043631672,0.568633138183999961,,
,,,,,,,,,,,,1.2939660472,47,1.2987928472,1499,,,1.3095677272,0.573837698183999875,,
,,,,,,,,,,,,1.2987928472,47,1.3043631672,1499,,,1.3149928472,0.579262818184000047,,
,,,,,,,,,,,,1.3043631672,47,1.3095677272,1499,,,1.3201914072,0.58446137818400001,,
,,,,,,,,,,,,1.3095677272,47,1.3149928472,1499,,,1.3256358072,0.589905778184000026,,
,,,,,,,,,,,,1.3149928472,47,1.3201914072,1499,,,1.3309332472,0.595203218183999902,,
,,,,,,,,,,,,1.3201914072,47,1.3256358072,1499,,,1.3363681272,0.600638098184000043,,
