numActiveSessions:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[0].tcp.conn-511 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,325,0,360,0.229773239663,0,0.229773239663,51,0.309888697263,51,0.389925340463,0.080036643199999978,0.390056876463,0.040141909599999997,1.062669877806,100000
0.229773239663,1,2.0238865912,5,3.0238865912,1,1.062669877806,350,1.062669877806,360,2.0238865912,1,0.309888697263,47,0.389925340463,47,1.142753275829,0.08008339802299999,0.470202501099,0.120287534235999998,2.0238865912,218750
,,3.0238865912,4,4.0238865912,2,2.0238865912,356,2.0238865912,360,,,0.309889073263,247,0.390056876463,1499,2.1062846712,0.082398079999999984,0.470322421099,0.120407454235999993,3.0847285432,222500
,,3.0847285432,9,,,3.0847285432,322,3.0847285432,360,,,0.390056876463,47,0.470202501099,1499,3.1656255512,0.080897007999999992,0.550441385099,0.20052641823599998,4.0798971832,201250
,,4.0238865912,8,,,4.0798971832,307,4.0798971832,360,,,0.470202501099,47,0.470322421099,1499,4.1607308312,0.080833647999999979,0.550561305099,0.200646338235999976,,
,,4.0798971832,13,,,,,,,,,0.470322421099,47,0.550441385099,1499,,,0.554171899986,0.204256933122999972,,
,,,,,,,,,,,,0.550441385099,47,0.550561305099,1499,,,0.559464000206,0.209549033343000012,,
,,,,,,,,,,,,0.550561305099,47,0.554171899986,1499,,,0.630680269099,0.280765302235999934,,
,,,,,,,,,,,,0.554171899986,47,0.559464000206,1499,,,0.630800189099,0.280885222235999985,,
,,,,,,,,,,,,0.559464000206,47,0.630680269099,1499,,,0.634530703986,0.284615737122999922,,
