numActiveSessions:vector baselineTestQoS.hostSSH[2].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[2].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[2].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[2].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[2].tcp.conn-543 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[2].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[2].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.348111811667,51,0.428441189267,51,1.428441189267,40,1.5085082712,0.080067081932999994,1.5085155512,40,1.5085155512,0.040062676332999993
0.348111811667,1,0.428441189267,47,1.5085082712,47,1.478441189267,40,1.5888130712,0.080304799999999981,1.5888203512,40,1.5888203512,0.040297194399999999
,,1.428441189267,87,1.5085155512,87,1.528441189267,40,1.6689822712,0.080169199999999995,1.6689930712,80,1.6689930712,0.040161882400000001
,,1.5085082712,87,1.5888130712,47,1.578441189267,40,1.7496298712,0.080647599999999985,1.7496371512,40,1.6689930712,0.040161882400000001
,,1.5085155512,47,1.5888203512,87,1.628441189267,40,1.8297306712,0.080100799999999999,1.8297414712,80,1.7496371512,0.040639418400000001
,,1.5888130712,127,1.6689822712,47,1.678441189267,40,1.9099369112,0.080206239999999983,1.9099477112,80,1.8297414712,0.040093482399999991
,,1.5888203512,47,1.6689930712,127,1.728441189267,40,1.9901167512,0.080179840000000001,1.9901240312,40,1.8297414712,0.040093482399999991
,,1.6689822712,87,1.7496298712,47,1.778441189267,40,2.0702805112,0.08016376,2.0703307352,528,1.9099477112,0.040198346400000001
,,1.6689930712,47,1.7496371512,87,1.828441189267,40,3.1541077912,0.083777055999999988,3.1541150712,40,1.9099477112,0.040198346400000001
,,1.7496298712,127,1.8297306712,47,1.878441189267,40,3.2345566712,0.08044888,3.2345639512,40,1.9901240312,0.04017165839999999
,,1.7496371512,47,1.8297414712,127,1.928441189267,40,3.3146169112,0.080060240000000004,3.3146277112,80,2.0703307352,0.040199098399999993
,,1.8297306712,127,1.9099369112,47,3.0703307352,40,3.3948684312,0.080251519999999992,3.3948757112,40,3.1541150712,0.043772650400000001
,,1.8297414712,47,1.9099477112,127,3.1203307352,40,3.4749201912,0.080051759999999999,3.4749309912,80,3.2345639512,0.040443898399999997
,,1.9099369112,87,1.9901167512,47,3.1703307352,40,3.5550702712,0.080150079999999984,3.5550810712,80,3.3146277112,0.040049722400000001
,,1.9099477112,47,1.9901240312,87,3.2203307352,40,3.6351079512,0.080037679999999999,3.6351152312,40,3.3146277112,0.040049722400000001
,,1.9901167512,87,2.0702805112,47,3.2703307352,40,3.7152116312,0.080103679999999982,3.7152618552,528,3.3948757112,0.040243338399999994
,,1.9901240312,47,2.0703307352,575,3.3203307352,40,4.7955673912,0.080305535999999982,4.7955746712,40,3.4749309912,0.040047066399999997
,,2.0703307352,47,3.1541077912,47,3.3703307352,40,4.8761640312,0.080596639999999996,4.8761713112,40,3.4749309912,0.040047066399999997
,,3.0703307352,87,3.1541150712,87,3.4203307352,40,4.9561960312,0.080031999999999991,4.9562068312,80,3.5550810712,0.040142762399999989
,,3.1541077912,87,3.2345566712,47,3.4703307352,40,,,,,3.5550810712,0.040142762399999989
,,3.1541150712,47,3.2345639512,87,3.5203307352,40,,,,,3.6351152312,0.040029514399999993
,,3.2345566712,127,3.3146169112,47,3.5703307352,40,,,,,3.7152618552,0.040139018399999989
,,3.2345639512,47,3.3146277112,127,4.7152618552,40,,,,,4.7955746712,0.040301130399999995
,,3.3146169112,87,3.3948684312,47,4.7652618552,40,,,,,4.8761713112,0.040589034400000001
,,3.3146277112,47,3.3948757112,87,4.8152618552,40,,,,,4.9562068312,0.040024682399999997
,,3.3948684312,127,3.4749201912,47,4.8652618552,40,,,,,4.9562068312,0.040024682399999997
,,3.3948757112,47,3.4749309912,127,4.9152618552,40,,,,,,
,,3.4749201912,127,3.5550702712,47,4.9652618552,40,,,,,,
,,3.4749309912,47,3.5550810712,127,,,,,,,,
,,3.5550702712,87,3.6351079512,47,,,,,,,,
,,3.5550810712,47,3.6351152312,87,,,,,,,,
,,3.6351079512,87,3.7152116312,47,,,,,,,,
,,3.6351152312,47,3.7152618552,575,,,,,,,,
,,3.7152618552,47,4.7955673912,47,,,,,,,,
,,4.7152618552,87,4.7955746712,87,,,,,,,,
,,4.7955673912,87,4.8761640312,47,,,,,,,,
,,4.7955746712,47,4.8761713112,87,,,,,,,,
,,4.8761640312,127,4.9561960312,47,,,,,,,,
,,4.8761713112,47,4.9562068312,127,,,,,,,,
,,4.9561960312,87,,,,,,,,,,
,,4.9562068312,47,,,,,,,,,,
