numActiveSessions:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[9].tcp.conn-648 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,132,0,240,0.960624454611,0,0.960624454611,51,1.040782864637,51,1.040782864637,1.040782864636999867,1.121053347837,0.080270483199999992,1.121184883837,0.040375749599999996,1.7184410232,100000,1.8979570232,557.053410280979959
0.960624454611,1,1.8979570232,1,3.3184775752,1,1.7184410232,100,1.7184410232,240,2.3184775752,1,1.040782864637,47,1.121053347837,47,1.7184410232,1.718441023200000022,1.7985179512,0.080076927999999991,1.2016563672,0.120847232962999983,1.8979570232,12500,2.3184775752,841.888806898179835
,,2.3184775752,2,4.3184775752,2,2,307,2,360,,,1.040783240637,247,1.121184883837,1499,2,2,2.0812443512,0.08124435119999998,1.2020221272,0.121212992963000004,2.3184775752,38375,3.4574171272,1132.507457717999838
,,3.3184775752,1,,,3,575,3,480,,,1.121184883837,47,1.2016563672,1499,2.3184775752,2.318477575200000187,3.0812542712,0.081254271200000005,1.2820904472,0.201281312963000002,3.4574171272,71875,4.4827237112,1357.72584954679996
,,3.4574171272,2,,,4,702,4,480,,,1.2016563672,47,1.2020221272,1499,3,3,4.0812469112,0.081246911199999993,1.2825761272,0.20176699296299999,4.4827237112,87750,,
,,4.3184775752,1,,,5,653,5,480,,,1.2020221272,47,1.2820904472,1499,3.3184775752,2.318477575200000187,,,1.2846447672,0.203835632963000001,,,,
,,4.4827237112,2,,,,,,,,,1.2820904472,47,1.2825761272,1499,4,3,,,1.2876834872,0.206874352962999995,,,,
,,,,,,,,,,,,1.2825761272,47,1.2846447672,1499,4.3184775752,2.318477575200000187,,,1.3624502872,0.281641152962999962,,,,
,,,,,,,,,,,,1.2846447672,47,1.2876834872,1499,5,3,,,1.3630558872,0.282246752962999945,,,,
,,,,,,,,,,,,1.2876834872,47,1.3624502872,1499,,,,,1.3656316472,0.284822512962999983,,,,
,,,,,,,,,,,,1.3624502872,47,1.3630558872,1499,,,,,1.3680679672,0.287258832962999919,,,,
,,,,,,,,,,,,1.3630558872,47,1.3656316472,1499,,,,,1.3715683672,0.29075923296299999,,,,
,,,,,,,,,,,,1.3656316472,47,1.3680679672,1499,,,,,1.3747042872,0.293895152962999949,,,,
,,,,,,,,,,,,1.3680679672,47,1.3715683672,1499,,,,,1.3790514072,0.298242272962999987,,,,
,,,,,,,,,,,,1.3715683672,47,1.3747042872,1499,,,,,1.3812219672,0.300412832962999919,,,,
,,,,,,,,,,,,1.3747042872,47,1.3790514072,1499,,,,,1.4430204472,0.362211312963000018,,,,
,,,,,,,,,,,,1.3790514072,47,1.3812219672,1499,,,,,1.4431570872,0.362347952962999928,,,,
,,,,,,,,,,,,1.3812219672,47,1.4430204472,1499,,,,,1.4460866072,0.365277472962999948,,,,
,,,,,,,,,,,,1.4430204472,47,1.4431570872,1499,,,,,1.4485137272,0.367704592962999952,,,,
,,,,,,,,,,,,1.4431570872,47,1.4460866072,1499,,,,,1.4527278072,0.371918672962999961,,,,
,,,,,,,,,,,,1.4460866072,47,1.4485137272,1499,,,,,1.4551382072,0.374329072962999996,,,,
,,,,,,,,,,,,1.4485137272,47,1.4527278072,1499,,,,,1.4615149272,0.380705792962999999,,,,
,,,,,,,,,,,,1.4527278072,47,1.4551382072,1499,,,,,1.4625486072,0.381739472962999925,,,,
,,,,,,,,,,,,1.4551382072,47,1.4615149272,1499,,,,,1.4655886072,0.384779472962999967,,,,
,,,,,,,,,,,,1.4615149272,47,1.4625486072,1499,,,,,1.4684846872,0.387675552962999934,,,,
