numActiveSessions:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[13].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[13].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[13].tcp.conn-605 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[13].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,100,0,240,0.702845175683,0,0.702845175683,51,0.782903086803,51,0.782903086803,0.782903086803000022,0.862986244528,0.080083157724999992,0.863117780528,0.040186640124999991,1.4598285432,100000,1.6331464152,461.579634441849974
0.702845175683,1,1.6331464152,1,3.3331486472,1,1.4598285432,80,1.4598285432,240,2.3331486472,1,0.782903086803,47,0.862986244528,47,1.4598285432,1.459828543199999987,1.5399014712,0.080072927999999987,0.943407494928,0.120476354524999995,1.6331464152,10000,2.3331486472,854.9708715035499125
,,2.3331486472,2,4.3331486472,2,2,341,2,360,,,0.782903462803,247,0.863117780528,1499,2,2,2.0817390712,0.081739071199999985,0.943527414928,0.12059627452499999,2.3331486472,42625,3.4574901912,1147.002157283399806
,,3.3331486472,1,,,3,582,3,480,,,0.863117780528,47,0.943407494928,1499,2.3331486472,2.333148647199999805,3.0817489912,0.081748991199999981,1.023693270032,0.200762129628999973,3.4574901912,72750,4.4437373432,1227.506125689699726
,,3.4574901912,2,,,4,560,4,480,,,0.943407494928,47,0.943527414928,1499,3,3,4.0817416312,0.081741631199999997,1.023813190032,0.200882049628999969,4.4437373432,70000,,
,,4.3331486472,1,,,5,554,5,480,,,0.943527414928,47,1.023693270032,1499,3.3331486472,2.333148647199999805,,,1.02616778593,0.203236645526999992,,,,
,,4.4437373432,2,,,,,,,,,1.023693270032,47,1.023813190032,1499,4,3,,,1.029324761123,0.206393620720000003,,,,
,,,,,,,,,,,,1.023813190032,47,1.02616778593,1499,4.3331486472,2.333148647199999805,,,1.1040040424,0.281072901996999967,,,,
,,,,,,,,,,,,1.02616778593,47,1.029324761123,1499,5,3,,,1.1041239624,0.281192821997000018,,,,
,,,,,,,,,,,,1.029324761123,47,1.1040040424,1499,,,,,1.1077575624,0.284826421996999922,,,,
,,,,,,,,,,,,1.1040040424,47,1.1041239624,1499,,,,,1.1095781224,0.286646981997000004,,,,
,,,,,,,,,,,,1.1041239624,47,1.1077575624,1499,,,,,1.1135572424,0.290626101997000006,,,,
,,,,,,,,,,,,1.1077575624,47,1.1095781224,1499,,,,,1.1161902024,0.293259061997000024,,,,
,,,,,,,,,,,,1.1095781224,47,1.1135572424,1499,,,,,1.119744590021,0.296813449617999935,,,,
,,,,,,,,,,,,1.1135572424,47,1.1161902024,1499,,,,,1.122755843837,0.299824703433999915,,,,
,,,,,,,,,,,,1.1161902024,47,1.119744590021,1499,,,,,1.1842623672,0.361331226797000025,,,,
,,,,,,,,,,,,1.119744590021,47,1.122755843837,1499,,,,,1.1843882872,0.361457146796999915,,,,
,,,,,,,,,,,,1.122755843837,47,1.1842623672,1499,,,,,1.1878542072,0.364923066796999926,,,,
,,,,,,,,,,,,1.1842623672,47,1.1843882872,1499,,,,,1.1897849272,0.366853786796999978,,,,
,,,,,,,,,,,,1.1843882872,47,1.1878542072,1499,,,,,1.1942727672,0.371341626797,,,,
,,,,,,,,,,,,1.1878542072,47,1.1897849272,1499,,,,,1.1970406872,0.374109546796999923,,,,
,,,,,,,,,,,,1.1897849272,47,1.1942727672,1499,,,,,1.2000914072,0.377160266796999986,,,,
,,,,,,,,,,,,1.1942727672,47,1.1970406872,1499,,,,,1.2029874872,0.380056346796999953,,,,
,,,,,,,,,,,,1.1970406872,47,1.2000914072,1499,,,,,1.2077290872,0.384797946796999966,,,,
,,,,,,,,,,,,1.2000914072,47,1.2029874872,1499,,,,,1.2096658072,0.386734666796999969,,,,
,,,,,,,,,,,,1.2029874872,47,1.2077290872,1499,,,,,1.2133893272,0.390458186796999949,,,,
,,,,,,,,,,,,1.2077290872,47,1.2096658072,1499,,,,,1.2161177272,0.393186586797000024,,,,
,,,,,,,,,,,,1.2096658072,47,1.2133893272,1499,,,,,1.2204843672,0.397553226797000001,,,,
,,,,,,,,,,,,1.2133893272,47,1.2161177272,1499,,,,,1.2231346072,0.400203466796999916,,,,
,,,,,,,,,,,,1.2161177272,47,1.2204843672,1499,,,,,1.2260606872,0.403129546796999969,,,,
,,,,,,,,,,,,1.2204843672,47,1.2231346072,1499,,,,,1.2293262872,0.406395146796999949,,,,
,,,,,,,,,,,,1.2231346072,47,1.2260606872,1499,,,,,1.2645560472,0.441624906796999947,,,,
,,,,,,,,,,,,1.2260606872,47,1.2293262872,1499,,,,,1.2646759672,0.441744826797,,,,
,,,,,,,,,,,,1.2293262872,47,1.2645560472,1499,,,,,1.2670190872,0.44408794679699992,,,,
,,,,,,,,,,,,1.2645560472,47,1.2646759672,1499,,,,,1.2701610072,0.44722986679699994,,,,
,,,,,,,,,,,,1.2646759672,47,1.2670190872,1499,,,,,1.2748558872,0.451924746797000007,,,,
,,,,,,,,,,,,1.2670190872,47,1.2701610072,1499,,,,,1.2766606872,0.453729546796999947,,,,
,,,,,,,,,,,,1.2701610072,47,1.2748558872,1499,,,,,1.2812510072,0.458319866796999984,,,,
,,,,,,,,,,,,1.2748558872,47,1.2766606872,1499,,,,,1.2834335672,0.460502426796999928,,,,
,,,,,,,,,,,,1.2766606872,47,1.2812510072,1499,,,,,1.2884090072,0.465477866796999981,,,,
,,,,,,,,,,,,1.2812510072,47,1.2834335672,1499,,,,,1.2903397272,0.467408586796999923,,,,
,,,,,,,,,,,,1.2834335672,47,1.2884090072,1499,,,,,1.2934863672,0.470555226797000012,,,,
,,,,,,,,,,,,1.2884090072,47,1.2903397272,1499,,,,,1.2964903672,0.473559226797000018,,,,
,,,,,,,,,,,,1.2903397272,47,1.2934863672,1499,,,,,1.3009694072,0.478038266797000008,,,,
,,,,,,,,,,,,1.2934863672,47,1.2964903672,1499,,,,,1.3031399672,0.480208826796999941,,,,
,,,,,,,,,,,,1.2964903672,47,1.3009694072,1499,,,,,1.3069054872,0.483974346797000019,,,,
,,,,,,,,,,,,1.3009694072,47,1.3031399672,1499,,,,,1.3096876472,0.486756506796999996,,,,
,,,,,,,,,,,,1.3031399672,47,1.3069054872,1499,,,,,1.3130621272,0.490130986796999955,,,,
,,,,,,,,,,,,1.3069054872,47,1.3096876472,1499,,,,,1.3163179672,0.493386826796999963,,,,
,,,,,,,,,,,,1.3096876472,47,1.3130621272,1499,,,,,1.3199455672,0.497014426796999917,,,,
,,,,,,,,,,,,1.3130621272,47,1.3163179672,1499,,,,,1.3228416472,0.499910506796999996,,,,
,,,,,,,,,,,,1.3163179672,47,1.3199455672,1499,,,,,1.3264812472,0.50355010679699985,,,,
,,,,,,,,,,,,1.3199455672,47,1.3228416472,1499,,,,,1.3296081272,0.506676986797000015,,,,
,,,,,,,,,,,,1.3228416472,47,1.3264812472,1499,,,,,1.3330978072,0.510166666796999955,,,,
