rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[18].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.558580848206,75,0.558580848206,0.060099945042000002,1.678580848206,0,1.678580848206,0.019999999999999996,1.678580848206,0,1.678580848206,4.369029790476400145,1.678580848206,0
0.578700768206,75,0.578700768206,0.060219865041999997,5,0,5,0.019999999999999996,5,0,5,4.369007106668400177,5,0
0.598493079415,75,0.598493079415,0.060012176250999998,,,,,,,,,,
0.618580848206,75,0.618580848206,0.060099945042000002,,,,,,,,,,
0.638580848206,75,0.638580848206,0.060099945042000002,,,,,,,,,,
2.8044866552,75,2.8044866552,0.060141953923999999,,,,,,,,,,
2.8245729752,75,2.8245729752,0.060228273924,,,,,,,,,,
2.8443617752,75,2.8443617752,0.060017073923999991,,,,,,,,,,
2.8643572952,75,2.8643572952,0.06001259392399999,,,,,,,,,,
2.8844584952,75,2.8844584952,0.060113793924,,,,,,,,,,
2.9045536952,75,2.9045536952,0.060208993923999989,,,,,,,,,,
2.9243699352,75,2.9243699352,0.060025233923999998,,,,,,,,,,
2.9446292152,75,2.9446292152,0.060284513923999999,,,,,,,,,,
2.9649424952,75,2.9649424952,0.060597793923999998,,,,,,,,,,
2.9845302552,75,2.9845302552,0.06018555392399999,,,,,,,,,,
3.0043969752,75,3.0043969752,0.06005227392399999,,,,,,,,,,
3.0243665752,75,3.0243665752,0.06002187392399999,,,,,,,,,,
3.0445678552,75,3.0445678552,0.060223153924000002,,,,,,,,,,
3.0645352952,75,3.0645352952,0.060190593924000001,,,,,,,,,,
3.0885164152,75,3.0885164152,0.064171713924000006,,,,,,,,,,
3.1059211352,75,3.1059211352,0.061576433924000001,,,,,,,,,,
3.1286829752,75,3.1286829752,0.064338273923999988,,,,,,,,,,
3.1487778552,75,3.1487778552,0.06443315392399998,,,,,,,,,,
