numActiveSessions:vector baselineTestQoS.hostFDO[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[1].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[1].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostFDO[1].tcp.conn-641 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostFDO[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.926387051803,51,1.006494002876,51,1.006494002876,800,1.0867231464,0.080229143523999984,1.0868546824,1452,1.0868546824,0.040281129924
0.926387051803,1,1.006494002876,47,1.0867231464,47,,,,,1.1670686872,1452,1.1670686872,0.120495134724000002
1.0868546824,0,1.006494378876,847,1.0868546824,1499,,,,,1.1673085272,1452,1.1673085272,0.120734974723999993
,,1.0868546824,47,1.1670686872,1499,,,,,1.2473950072,1452,1.2473950072,0.20082145472399998
,,1.0868550584,47,1.1673085272,1499,,,,,1.2475149272,1452,1.2475149272,0.200941374723999976
,,1.1670686872,47,1.1703226712,47,,,,,1.2511305272,1452,1.2511305272,0.204556974723999972
,,1.1673085272,47,1.2473950072,1499,,,,,1.2540266072,1452,1.2540266072,0.207453054723999996
,,1.2473950072,47,1.2475149272,1499,,,,,1.3276924472,1452,1.3276924472,0.281118894723999978
,,1.2475149272,47,1.2511305272,1499,,,,,1.3278123672,1452,1.3278123672,0.281238814723999917
,,1.2511305272,47,1.2540266072,1499,,,,,1.3312930072,1452,1.3312930072,0.284719454723999952
,,1.2540266072,47,1.3276924472,1499,,,,,1.3347924472,1452,1.3347924472,0.288218894723999973
,,1.3276924472,47,1.3278123672,1499,,,,,1.3367338872,1452,1.3367338872,0.290160334723999934
,,1.3278123672,47,1.3312930072,1499,,,,,1.3411918872,1452,1.3411918872,0.294618334724000007
,,1.3312930072,47,1.3347924472,1499,,,,,1.3420162872,1452,1.3420162872,0.295442734723999954
,,1.3347924472,47,1.3367338872,1499,,,,,1.3473682072,1452,1.3473682072,0.300794654724000019
,,1.3367338872,47,1.3411918872,1499,,,,,1.4081807672,1452,1.4081807672,0.361607214723999924
,,1.3411918872,47,1.3420162872,1499,,,,,1.4085405272,1452,1.4085405272,0.361966974723999966
,,1.3420162872,47,1.3473682072,1499,,,,,1.4119140472,1452,1.4119140472,0.365340494723999985
,,1.3473682072,47,1.4081807672,1499,,,,,1.4168746872,1452,1.4168746872,0.370301134723999945
,,1.4081807672,47,1.4085405272,1499,,,,,1.4171205272,1452,1.4171205272,0.370546974723999998
,,1.4085405272,47,1.4119140472,1499,,,,,1.4225591672,1452,1.4225591672,0.375985614723999937
,,1.4119140472,47,1.4168746872,1499,,,,,1.4279202872,1452,1.4279202872,0.381346734723999933
,,1.4168746872,47,1.4171205272,1499,,,,,1.4302107672,1452,1.4302107672,0.383637214723999918
,,1.4171205272,47,1.4225591672,1499,,,,,1.4332147672,1452,1.4332147672,0.386641214723999924
,,1.4225591672,47,1.4279202872,1499,,,,,1.4385272472,1452,1.4385272472,0.391953694723999988
,,1.4279202872,47,1.4302107672,1499,,,,,1.4438993272,1452,1.4438993272,0.39732577472399999
,,1.4302107672,47,1.4332147672,1499,,,,,1.4452471672,1452,1.4452471672,0.398673614723999979
,,1.4332147672,47,1.4385272472,1499,,,,,1.4492392472,1452,1.4492392472,0.402665694723999932
,,1.4385272472,47,1.4438993272,1499,,,,,1.4546585272,1452,1.4546585272,0.408084974723999958
,,1.4438993272,47,1.4452471672,1499,,,,,1.4599499672,1452,1.4599499672,0.413376414723999994
,,1.4452471672,47,1.4492392472,1499,,,,,1.4623087672,1452,1.4623087672,0.415735214723999988
,,1.4492392472,47,1.4546585272,1499,,,,,1.4884313272,1452,1.4884313272,0.441857774724000006
,,1.4546585272,47,1.4599499672,1499,,,,,1.4887910872,1452,1.4887910872,0.442217534723999936
,,1.4599499672,47,1.4623087672,1499,,,,,1.4920409272,1452,1.4920409272,0.445467374723999995
,,1.4623087672,47,1.4884313272,1499,,,,,1.4973641272,1452,1.4973641272,0.450790574723999969
,,1.4884313272,47,1.4887910872,1499,,,,,1.4997852472,1452,1.4997852472,0.453211694724000023
,,1.4887910872,47,1.4920409272,1499,,,,,1.5028012472,1452,1.5028012472,0.45622769472399993
,,1.4920409272,47,1.4973641272,1499,,,,,1.5081563672,1452,1.5081563672,0.461582814723999976
,,1.4973641272,47,1.4997852472,1499,,,,,1.5109372472,1452,1.5109372472,0.464363694723999963
,,1.4997852472,47,1.5028012472,1499,,,,,1.5134735672,1452,1.5134735672,0.466900014724
,,1.5028012472,47,1.5081563672,1499,,,,,1.5187800472,1452,1.5187800472,0.472206494724
,,1.5081563672,47,1.5109372472,1499,,,,,1.5216853272,1452,1.5216853272,0.47511177472400001
,,1.5109372472,47,1.5134735672,1499,,,,,1.5241706872,1452,1.5241706872,0.477597134724000003
,,1.5134735672,47,1.5187800472,1499,,,,,1.5295337272,1452,1.5295337272,0.482960174723999989
,,1.5187800472,47,1.5216853272,1499,,,,,1.5348426872,1452,1.5348426872,0.488269134724000018
,,1.5216853272,47,1.5241706872,1499,,,,,1.5353223672,1452,1.5353223672,0.488748814724
,,1.5241706872,47,1.5295337272,1499,,,,,1.5402788472,1452,1.5402788472,0.49370529472399993
,,1.5295337272,47,1.5348426872,1499,,,,,1.5456050072,1452,1.5456050072,0.499031454724000009
,,1.5348426872,47,1.5353223672,1499,,,,,1.5491066872,1452,1.5491066872,0.50253313472399985
,,1.5353223672,47,1.5402788472,1499,,,,,1.5509366872,1452,1.5509366872,0.504363134723999848
,,1.5402788472,47,1.5456050072,1499,,,,,1.5563610072,1452,1.5563610072,0.509787454723999997
,,1.5456050072,47,1.5491066872,1499,,,,,1.5616902072,1452,1.5616902072,0.515116654724000031
,,1.5491066872,47,1.5509366872,1499,,,,,1.5645982872,1452,1.5645982872,0.5180247347239999
,,1.5509366872,47,1.5563610072,1499,,,,,1.5670146872,1452,1.5670146872,0.520441134723999885
,,1.5563610072,47,1.5616902072,1499,,,,,1.5723151672,1452,1.5723151672,0.525741614723999936
,,1.5616902072,47,1.5645982872,1499,,,,,1.5777946872,1452,1.5777946872,0.531221134723999897
,,1.5645982872,47,1.5670146872,1499,,,,,1.5807106872,1452,1.5807106872,0.534137134724000038
,,1.5670146872,47,1.5723151672,1499,,,,,1.5832470072,1452,1.5832470072,0.536673454723999963
,,1.5723151672,47,1.5777946872,1499,,,,,1.5885810872,1452,1.5885810872,0.54200753472399987
,,1.5777946872,47,1.5807106872,1499,,,,,1.5937890872,1452,1.5937890872,0.547215534723999972
,,1.5807106872,47,1.5832470072,1499,,,,,1.5957138072,1452,1.5957138072,0.549140254723999851
,,1.5832470072,47,1.5885810872,1499,,,,,1.5992154872,1452,1.5992154872,0.552641934723999914
,,1.5885810872,47,1.5937890872,1499,,,,,1.6045924472,1452,1.6045924472,0.5580188947239999
,,1.5937890872,47,1.5957138072,1499,,,,,1.6099312472,1452,1.6099312472,0.563357694723999988
,,1.5957138072,47,1.5992154872,1499,,,,,1.6121037272,1452,1.6121037272,0.56553017472400002
,,1.5992154872,47,1.6045924472,1499,,,,,1.6153595672,1452,1.6153595672,0.56878601472400003
,,1.6045924472,47,1.6099312472,1499,,,,,1.6205581272,1452,1.6205581272,0.573984574723999993
,,1.6099312472,47,1.6121037272,1499,,,,,1.6258910872,1452,1.6258910872,0.579317534724000046
,,1.6121037272,47,1.6153595672,1499,,,,,1.6263707672,1452,1.6263707672,0.57979721472400003
,,1.6153595672,47,1.6205581272,1499,,,,,1.6314560472,1452,1.6314560472,0.584882494723999888
,,1.6205581272,47,1.6258910872,1499,,,,,1.6367800472,1452,1.6367800472,0.590206494723999995
,,1.6258910872,47,1.6263707672,1499,,,,,1.6419912472,1452,1.6419912472,0.595417694723999965
,,1.6263707672,47,1.6314560472,1499,,,,,1.6440538872,1452,1.6440538872,0.597480334723999859
,,1.6314560472,47,1.6367800472,1499,,,,,1.6473157272,1452,1.6473157272,0.600742174724000041
,,1.6367800472,47,1.6419912472,1499,,,,,1.6527408472,1452,1.6527408472,0.606167294723999992
